AOI_ID,TIPO_AOI,PUREZA,RANK_AREA,BOSQUE,LEYENDA_N1,LEYENDA_N2,LEYENDA_N3,GRUPO,R,G,B,HEX,N_POLIG,N_FRAG,AREA_M2,AREA_HA,AREA_KM2,PERIM_M,PERIM_KM,PCT_AOI
BOSQUE_NW_02,bosque,0.906978,1,SI,Otras tierras forestales,Ñire,Ñire Bajo,nire,179,151,52,#B39734,292,302,78385658.5,7838.5659,78.385659,699671.76,699.6718,34.83807
BOSQUE_NW_02,bosque,0.906978,2,SI,Tierras forestales,Lenga,Lenga,lenga,83,163,51,#53A333,285,296,74292179.07,7429.2179,74.292179,508394.08,508.3941,33.018746
BOSQUE_NW_02,bosque,0.906978,3,SI,Tierras forestales,Ñire,Ñire,nire,166,137,48,#A68930,184,186,26022847.63,2602.2848,26.022848,470357.22,470.3572,11.56571
BOSQUE_NW_02,bosque,0.906978,4,SI,Tierras forestales,Cipres,Cipres,cipres,123,159,56,#7B9F38,62,69,11035190.14,1103.519,11.03519,143307.38,143.3074,4.904529
BOSQUE_NW_02,bosque,0.906978,5,NO,Otras tierras,Herbaceo Subarbustivo,Estepa,estepa,202,170,88,#CAAA58,303,311,8286317.64,828.6318,8.286318,252220.28,252.2203,3.682808
BOSQUE_NW_02,bosque,0.906978,6,SI,Otras tierras forestales,Lenga,Lenga Baja,lenga,89,186,59,#59BA3B,163,163,7089483.23,708.9483,7.089483,208169.04,208.169,3.150881
BOSQUE_NW_02,bosque,0.906978,7,NO,Otras tierras forestales,Arbustal Nativo,Arbustal Nativo,arbustonat,129,195,96,#81C360,131,137,6530159.28,653.0159,6.530159,175484.45,175.4844,2.902293
BOSQUE_NW_02,bosque,0.906978,8,SI,Otras tierras forestales,Lenga,Lenga Achaparrada,lenga,86,174,55,#56AE37,90,95,5186638.28,518.6638,5.186638,110423.33,110.4233,2.305173
BOSQUE_NW_02,bosque,0.906978,9,NO,Otras tierras,Humedales,Mallin,humedal,81,179,184,#51B3B8,80,84,2717143.11,271.7143,2.717143,80698.79,80.6988,1.207619
BOSQUE_NW_02,bosque,0.906978,10,SI,Otras tierras forestales,Matorral Mixto,Matorral Mixto,matorral,101,189,109,#65BD6D,31,31,2233378.0,223.3378,2.233378,56298.51,56.2985,0.992612
BOSQUE_NW_02,bosque,0.906978,11,NO,Otras tierras,Erial,Erial,estepa,163,118,51,#A37633,87,87,1064335.53,106.4336,1.064336,35255.65,35.2557,0.473038
BOSQUE_NW_02,bosque,0.906978,12,NO,Otras tierras,Exotico-Artificial,Forestacion,exotico,211,153,105,#D39969,17,17,870001.98,87.0002,0.870002,10613.7,10.6137,0.386668
BOSQUE_NW_02,bosque,0.906978,13,NO,Otras tierras,Agua,Agua,agua,77,157,213,#4D9DD5,36,36,751744.85,75.1745,0.751745,7526.03,7.526,0.334109
BOSQUE_NW_02,bosque,0.906978,14,NO,Otras tierras,Humedales,Otros Humedales,humedal,117,189,199,#75BDC7,3,3,306865.8,30.6866,0.306866,5200.56,5.2006,0.136385
BOSQUE_NW_02,bosque,0.906978,15,SI,Otras tierras forestales,Lenga,Lenga Juvenil Briznal,lenga,93,195,65,#5DC341,9,9,140862.89,14.0863,0.140863,4651.78,4.6518,0.062606
BOSQUE_NW_02,bosque,0.906978,16,SI,Tierras forestales,Lenga,Lenga-Ñire Bajo,lenga,150,221,146,#96DD92,5,5,38009.39,3.8009,0.038009,2220.27,2.2203,0.016893
BOSQUE_NW_02,bosque,0.906978,17,NO,Otras tierras,Herbaceo Subarbustivo,Pradera,pasto,187,219,148,#BBDB94,1,1,27207.59,2.7208,0.027208,900.13,0.9001,0.012092
BOSQUE_NW_02,bosque,0.906978,18,NO,Otras tierras,Exotico-Artificial,Arboles Exoticos,exotico,166,84,48,#A65430,1,1,21977.05,2.1977,0.021977,2148.87,2.1489,0.009768
