nombre_corto,aoi,sensor,fecha,nombre_original,archivo_origen
NISAR_GCOV_20251204,BOSQUE_NW_02,NISAR_GCOV,20251204,NISAR_L2_PR_GCOV_007_003_A_156_4005_DHDH_A_20251204T105003_20251204T105038_X05009_N_F_J_001,NISAR_L2_PR_GCOV_007_003_A_156_4005_DHDH_A_20251204T105003_20251204T105038_X05009_N_F_J_001.h5
NISAR_GCOV_20251228,BOSQUE_NW_02,NISAR_GCOV,20251228,NISAR_L2_PR_GCOV_009_003_A_156_4005_DHDH_A_20251228T105004_20251228T105039_X05009_N_F_J_001,NISAR_L2_PR_GCOV_009_003_A_156_4005_DHDH_A_20251228T105004_20251228T105039_X05009_N_F_J_001.h5
NISAR_GCOV_20260108,BOSQUE_NW_02,NISAR_GCOV,20260108,NISAR_L2_PR_GCOV_009_169_D_110_4005_DHDH_A_20260108T224424_20260108T224459_X05009_N_F_J_001,NISAR_L2_PR_GCOV_009_169_D_110_4005_DHDH_A_20260108T224424_20260108T224459_X05009_N_F_J_001.h5
PALSAR2_2023,BOSQUE_NW_02,PALSAR2_MOSAIC,2023,JAXA_global_mosaic_2023,tile S42W072
PALSAR2_2024,BOSQUE_NW_02,PALSAR2_MOSAIC,2024,JAXA_global_mosaic_2024,tile S42W072
PALSAR2_2025,BOSQUE_NW_02,PALSAR2_MOSAIC,2025,JAXA_global_mosaic_2025,tile S42W072
S1A_IW_GRD_20231017_050811_R164_E344,BOSQUE_NW_02,S1_GRD,20231017,S1A_IW_GRDH_1SDV_20231017T234233_20231017T234258_050811_061FC5_E344,S1A_IW_GRDH_1SDV_20231017T234233_20231017T234258_050811_061FC5_E344.zip
S1A_IW_GRD_20231204_051511_R164_8045,BOSQUE_NW_02,S1_GRD,20231204,S1A_IW_GRDH_1SDV_20231204T234232_20231204T234257_051511_0637C5_8045,S1A_IW_GRDH_1SDV_20231204T234232_20231204T234257_051511_0637C5_8045.zip
S1A_IW_GRD_20240109_052036_R164_7CD5,BOSQUE_NW_02,S1_GRD,20240109,S1A_IW_GRDH_1SDV_20240109T234230_20240109T234255_052036_0649EA_7CD5,S1A_IW_GRDH_1SDV_20240109T234230_20240109T234255_052036_0649EA_7CD5.zip
S1A_IW_GRD_20240226_052736_R164_C6A4,BOSQUE_NW_02,S1_GRD,20240226,S1A_IW_GRDH_1SDV_20240226T234228_20240226T234253_052736_066197_C6A4,S1A_IW_GRDH_1SDV_20240226T234228_20240226T234253_052736_066197_C6A4.zip
S1A_IW_GRD_20251123_062011_R164_B6B6,BOSQUE_NW_02,S1_GRD,20251123,S1A_IW_GRDH_1SDV_20251123T234218_20251123T234243_062011_07C1DF_B6B6,S1A_IW_GRDH_1SDV_20251123T234218_20251123T234243_062011_07C1DF_B6B6.zip
S1A_IW_GRD_20260110_062711_R164_4F77,BOSQUE_NW_02,S1_GRD,20260110,S1A_IW_GRDH_1SDV_20260110T234213_20260110T234238_062711_07DD05_4F77,S1A_IW_GRDH_1SDV_20260110T234213_20260110T234238_062711_07DD05_4F77.zip
S1A_IW_GRD_20260227_063411_R164_6569,BOSQUE_NW_02,S1_GRD,20260227,S1A_IW_GRDH_1SDV_20260227T234211_20260227T234236_063411_07F739_6569,S1A_IW_GRDH_1SDV_20260227T234211_20260227T234236_063411_07F739_6569.zip
S1A_IW_SLC_20231017_050811_R164_C2DB,BOSQUE_NW_02,S1_SLC,20231017,S1A_IW_SLC__1SDV_20231017T234232_20231017T234259_050811_061FC5_C2DB,S1A_IW_SLC__1SDV_20231017T234232_20231017T234259_050811_061FC5_C2DB.zip
S1A_IW_SLC_20231204_051511_R164_BE8D,BOSQUE_NW_02,S1_SLC,20231204,S1A_IW_SLC__1SDV_20231204T234230_20231204T234257_051511_0637C5_BE8D,S1A_IW_SLC__1SDV_20231204T234230_20231204T234257_051511_0637C5_BE8D.zip
S1A_IW_SLC_20240109_052036_R164_2BDC,BOSQUE_NW_02,S1_SLC,20240109,S1A_IW_SLC__1SDV_20240109T234228_20240109T234255_052036_0649EA_2BDC,S1A_IW_SLC__1SDV_20240109T234228_20240109T234255_052036_0649EA_2BDC.zip
S1A_IW_SLC_20240226_052736_R164_F83D,BOSQUE_NW_02,S1_SLC,20240226,S1A_IW_SLC__1SDV_20240226T234227_20240226T234254_052736_066197_F83D,S1A_IW_SLC__1SDV_20240226T234227_20240226T234254_052736_066197_F83D.zip
S1A_IW_SLC_20251123_062011_R164_2611,BOSQUE_NW_02,S1_SLC,20251123,S1A_IW_SLC__1SDV_20251123T234217_20251123T234244_062011_07C1DF_2611,S1A_IW_SLC__1SDV_20251123T234217_20251123T234244_062011_07C1DF_2611.zip
S1A_IW_SLC_20260110_062711_R164_7E2D,BOSQUE_NW_02,S1_SLC,20260110,S1A_IW_SLC__1SDV_20260110T234212_20260110T234239_062711_07DD05_7E2D,S1A_IW_SLC__1SDV_20260110T234212_20260110T234239_062711_07DD05_7E2D.zip
S1A_IW_SLC_20260227_063411_R164_93A9,BOSQUE_NW_02,S1_SLC,20260227,S1A_IW_SLC__1SDV_20260227T234210_20260227T234236_063411_07F739_93A9,S1A_IW_SLC__1SDV_20260227T234210_20260227T234236_063411_07F739_93A9.zip
S2A_L2A_20231022_R053_T18GYT,BOSQUE_NW_02,S2_L2A,20231022,S2A_MSIL2A_20231022T142711_N0510_R053_T18GYT_20241108T033139,S2A_MSIL2A_20231022T142711_N0510_R053_T18GYT_20241108T033139.zip
