epoca,aoi,sensor,fecha,producto,GB,procesado,recorte_crudo
00_alos,BOSQUE_NW_02,ALOS_QP,20070721,ALPSRP079284470-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20070721,ALPSRP079284480-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20070905,ALPSRP085994470-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20070905,ALPSRP085994480-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20071206,ALPSRP099414470-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20071206,ALPSRP099414480-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20090421,ALPSRP172576320-L1.1.zip,0.69,no,-
00_alos,BOSQUE_NW_02,ALOS_QP,20090421,ALPSRP172576330-L1.1.zip,0.69,no,-
00_alos,ESTEPA_NW_02,ALOS_QP,20090606,ALPSRP179286320-L1.1.zip,0.60,no,-
00_alos,ESTEPA_NW_02,ALOS_QP,20090606,ALPSRP179286330-L1.1.zip,0.60,no,-
01_base,BOSQUE_NW_02,S2_L2A,20231022,S2A_MSIL2A_20231022T142711_N0510_R053_T18GYT_20241108T033139,1.26,si,-
01_base,BOSQUE_NW_02,S2_L2A,20240110,S2A_MSIL2A_20240110T142711_N0510_R053_T18GYT_20240110T195056,1.24,si,-
01_base,BOSQUE_NW_02,S2_L2A,20240229,S2A_MSIL2A_20240229T142711_N0510_R053_T18GYT_20240229T190551,1.20,si,-
01_base,BOSQUE_NW_02,S2_L2A,20231206,S2B_MSIL2A_20231206T142709_N0510_R053_T18GYT_20241114T085658,1.26,si,-
01_base,BOSQUE_NW_02,S1_GRD,20231017,S1A_IW_GRDH_1SDV_20231017T234233_20231017T234258_050811_061FC5_E344,1.76,si,-
01_base,BOSQUE_NW_02,S1_GRD,20231204,S1A_IW_GRDH_1SDV_20231204T234232_20231204T234257_051511_0637C5_8045,1.76,si,-
01_base,BOSQUE_NW_02,S1_GRD,20240109,S1A_IW_GRDH_1SDV_20240109T234230_20240109T234255_052036_0649EA_7CD5,1.76,si,-
01_base,BOSQUE_NW_02,S1_GRD,20240226,S1A_IW_GRDH_1SDV_20240226T234228_20240226T234253_052736_066197_C6A4,1.76,si,-
01_base,BOSQUE_NW_02,S1_SLC,20231017,S1A_IW_SLC__1SDV_20231017T234232_20231017T234259_050811_061FC5_C2DB,7.79,si,no
01_base,BOSQUE_NW_02,S1_SLC,20231204,S1A_IW_SLC__1SDV_20231204T234230_20231204T234257_051511_0637C5_BE8D,7.79,si,no
01_base,BOSQUE_NW_02,S1_SLC,20240109,S1A_IW_SLC__1SDV_20240109T234228_20240109T234255_052036_0649EA_2BDC,7.79,si,no
01_base,BOSQUE_NW_02,S1_SLC,20240226,S1A_IW_SLC__1SDV_20240226T234227_20240226T234254_052736_066197_F83D,7.79,si,no
01_base,ESTEPA_NW_02,S2_L2A,20231022,S2A_MSIL2A_20231022T142711_N0510_R053_T19GCN_20241108T033139,1.14,si,-
01_base,ESTEPA_NW_02,S2_L2A,20240110,S2A_MSIL2A_20240110T142711_N0510_R053_T19GCN_20240110T195056,1.13,si,-
01_base,ESTEPA_NW_02,S2_L2A,20240229,S2A_MSIL2A_20240229T142711_N0510_R053_T19GCN_20240229T190551,1.12,si,-
01_base,ESTEPA_NW_02,S2_L2A,20231206,S2B_MSIL2A_20231206T142709_N0510_R053_T19GCN_20241114T085658,1.13,si,-
01_base,ESTEPA_NW_02,S1_GRD,20231017,S1A_IW_GRDH_1SDV_20231017T234208_20231017T234233_050811_061FC5_297D,1.77,si,-
01_base,ESTEPA_NW_02,S1_GRD,20231204,S1A_IW_GRDH_1SDV_20231204T234207_20231204T234232_051511_0637C5_E72A,1.77,si,-
01_base,ESTEPA_NW_02,S1_GRD,20240109,S1A_IW_GRDH_1SDV_20240109T234205_20240109T234230_052036_0649EA_2C12,1.77,si,-
01_base,ESTEPA_NW_02,S1_GRD,20240226,S1A_IW_GRDH_1SDV_20240226T234203_20240226T234228_052736_066197_4F96,1.77,si,-
01_base,ESTEPA_NW_02,S1_SLC,20231017,S1A_IW_SLC__1SDV_20231017T234207_20231017T234234_050811_061FC5_21D1,7.79,si,no
01_base,ESTEPA_NW_02,S1_SLC,20231204,S1A_IW_SLC__1SDV_20231204T234206_20231204T234233_051511_0637C5_B685,7.79,si,no
01_base,ESTEPA_NW_02,S1_SLC,20240109,S1A_IW_SLC__1SDV_20240109T234204_20240109T234231_052036_0649EA_9C65,7.79,si,no
01_base,ESTEPA_NW_02,S1_SLC,20240226,S1A_IW_SLC__1SDV_20240226T234202_20240226T234229_052736_066197_3A62,7.79,si,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20240225,EOL1ASARSAO1A15229975,5.38,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20240225,EOL1ASARSAO1A15229975,5.38,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20231121,EOL1ASARSAO1A15230003,5.39,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20231121,EOL1ASARSAO1A15230003,5.39,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20231027,EOL1ASARSAO1A15233586,2.50,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20231027,EOL1ASARSAO1A15233586,2.50,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20240116,EOL1ASARSAO1B15229867,6.09,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20240116,EOL1ASARSAO1B15229867,6.09,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20240217,EOL1ASARSAO1B15229870,2.33,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20240217,EOL1ASARSAO1B15229870,2.33,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20231129,EOL1ASARSAO1B15229890,2.14,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20231129,EOL1ASARSAO1B15229890,2.14,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20240123,EOL1ASARSAO1B15233591,2.51,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20240123,EOL1ASARSAO1B15233591,2.51,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20240116,EOL1DSARSAO1B8718151,0.51,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20240116,EOL1DSARSAO1B8718151,0.51,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20240217,EOL1DSARSAO1B8949053,0.56,no,no
01_base,ESTEPA_NW_02,SAOCOM_L1A,20240217,EOL1DSARSAO1B8949053,0.56,no,no
01_base,BOSQUE_NW_02,SAOCOM_L1A,20231121,S4_solo,1.44,no,no
