aoi,sensor,fecha_objetivo,prioridad,producto
BOSQUE_NW_02,S2_L2A,2023-10-22,PRINCIPAL,S2A_MSIL2A_20231022T142711_N0510_R053_T18GYT_20241108T033139.SAFE
ESTEPA_NW_02,S2_L2A,2023-10-22,PRINCIPAL,S2A_MSIL2A_20231022T142711_N0510_R053_T19GCN_20241108T033139.SAFE
BOSQUE_NW_02,S2_L2A,2023-12-06,PRINCIPAL,S2B_MSIL2A_20231206T142709_N0510_R053_T18GYT_20241114T085658.SAFE
ESTEPA_NW_02,S2_L2A,2023-12-06,PRINCIPAL,S2B_MSIL2A_20231206T142709_N0510_R053_T19GCN_20241114T085658.SAFE
BOSQUE_NW_02,S2_L2A,2024-01-10,PRINCIPAL,S2A_MSIL2A_20240110T142711_N0510_R053_T18GYT_20240110T195056.SAFE
ESTEPA_NW_02,S2_L2A,2024-01-10,PRINCIPAL,S2A_MSIL2A_20240110T142711_N0510_R053_T19GCN_20240110T195056.SAFE
BOSQUE_NW_02,S2_L2A,2024-02-29,PRINCIPAL,S2A_MSIL2A_20240229T142711_N0510_R053_T18GYT_20240229T190551.SAFE
ESTEPA_NW_02,S2_L2A,2024-02-29,PRINCIPAL,S2A_MSIL2A_20240229T142711_N0510_R053_T19GCN_20240229T190551.SAFE
BOSQUE_NW_02,S1_GRD,2023-10-22,PRINCIPAL,S1A_IW_GRDH_1SDV_20231017T234233_20231017T234258_050811_061FC5_E344
ESTEPA_NW_02,S1_GRD,2023-10-22,PRINCIPAL,S1A_IW_GRDH_1SDV_20231017T234208_20231017T234233_050811_061FC5_297D
BOSQUE_NW_02,S1_GRD,2023-12-06,PRINCIPAL,S1A_IW_GRDH_1SDV_20231204T234232_20231204T234257_051511_0637C5_8045
ESTEPA_NW_02,S1_GRD,2023-12-06,PRINCIPAL,S1A_IW_GRDH_1SDV_20231204T234207_20231204T234232_051511_0637C5_E72A
BOSQUE_NW_02,S1_GRD,2024-01-10,PRINCIPAL,S1A_IW_GRDH_1SDV_20240109T234230_20240109T234255_052036_0649EA_7CD5
ESTEPA_NW_02,S1_GRD,2024-01-10,PRINCIPAL,S1A_IW_GRDH_1SDV_20240109T234205_20240109T234230_052036_0649EA_2C12
BOSQUE_NW_02,S1_GRD,2024-02-29,PRINCIPAL,S1A_IW_GRDH_1SDV_20240226T234228_20240226T234253_052736_066197_C6A4
ESTEPA_NW_02,S1_GRD,2024-02-29,PRINCIPAL,S1A_IW_GRDH_1SDV_20240226T234203_20240226T234228_052736_066197_4F96
BOSQUE_NW_02,S1_SLC,2023-10-22,PRINCIPAL,S1A_IW_SLC__1SDV_20231017T234232_20231017T234259_050811_061FC5_C2DB
ESTEPA_NW_02,S1_SLC,2023-10-22,PRINCIPAL,S1A_IW_SLC__1SDV_20231017T234207_20231017T234234_050811_061FC5_21D1
BOSQUE_NW_02,S1_SLC,2023-12-06,PRINCIPAL,S1A_IW_SLC__1SDV_20231204T234230_20231204T234257_051511_0637C5_BE8D
ESTEPA_NW_02,S1_SLC,2023-12-06,PRINCIPAL,S1A_IW_SLC__1SDV_20231204T234206_20231204T234233_051511_0637C5_B685
BOSQUE_NW_02,S1_SLC,2024-01-10,PRINCIPAL,S1A_IW_SLC__1SDV_20240109T234228_20240109T234255_052036_0649EA_2BDC
ESTEPA_NW_02,S1_SLC,2024-01-10,PRINCIPAL,S1A_IW_SLC__1SDV_20240109T234204_20240109T234231_052036_0649EA_9C65
BOSQUE_NW_02,S1_SLC,2024-02-29,PRINCIPAL,S1A_IW_SLC__1SDV_20240226T234227_20240226T234254_052736_066197_F83D
ESTEPA_NW_02,S1_SLC,2024-02-29,PRINCIPAL,S1A_IW_SLC__1SDV_20240226T234202_20240226T234229_052736_066197_3A62
