aoi,sensor,fecha_objetivo,prioridad,producto
BOSQUE_NW_02,S2_L2A,2025-11-23,PRINCIPAL,S2B_MSIL2A_20251125T142709_N0511_R053_T18GYT_20251125T180610.SAFE
ESTEPA_NW_02,S2_L2A,2025-11-23,PRINCIPAL,S2B_MSIL2A_20251125T142709_N0511_R053_T19GCN_20251125T180610.SAFE
BOSQUE_NW_02,S2_L2A,2026-01-10,PRINCIPAL,S2C_MSIL2A_20260109T142721_N0511_R053_T18GYT_20260109T180225.SAFE
ESTEPA_NW_02,S2_L2A,2026-01-10,PRINCIPAL,S2C_MSIL2A_20260109T142721_N0511_R053_T19GCN_20260109T180225.SAFE
BOSQUE_NW_02,S2_L2A,2026-01-10,ALTERNATIVA,S2B_MSIL2A_20260104T142709_N0511_R053_T18GYT_20260104T194048.SAFE
ESTEPA_NW_02,S2_L2A,2026-01-10,ALTERNATIVA,S2B_MSIL2A_20260104T142709_N0511_R053_T19GCN_20260104T194048.SAFE
BOSQUE_NW_02,S2_L2A,2026-02-27,PRINCIPAL,S2B_MSIL2A_20260305T142749_N0512_R053_T18GYT_20260305T192326.SAFE
ESTEPA_NW_02,S2_L2A,2026-02-27,PRINCIPAL,S2B_MSIL2A_20260305T142749_N0512_R053_T19GCN_20260305T192326.SAFE
ESTEPA_NW_02,S1_SLC,2025-11-23,PRINCIPAL,S1A_IW_SLC__1SDV_20251123T234152_20251123T234219_062011_07C1DF_7EF7
BOSQUE_NW_02,S1_SLC,2025-11-23,PRINCIPAL,S1A_IW_SLC__1SDV_20251123T234217_20251123T234244_062011_07C1DF_2611
AMBOS,S1_SLC,2025-11-23,ALTERNATIVA,S1C_IW_SLC__1SDV_20251117T234058_20251117T234125_005060_00A069_38B7
AMBOS,S1_SLC,2025-11-23,ALTERNATIVA,S1C_IW_SLC__1SDV_20251129T234057_20251129T234124_005235_00A649_B23E
ESTEPA_NW_02,S1_SLC,2026-01-10,PRINCIPAL,S1A_IW_SLC__1SDV_20260110T234147_20260110T234214_062711_07DD05_A64B
BOSQUE_NW_02,S1_SLC,2026-01-10,PRINCIPAL,S1A_IW_SLC__1SDV_20260110T234212_20260110T234239_062711_07DD05_7E2D
AMBOS,S1_SLC,2026-01-10,ALTERNATIVA,S1C_IW_SLC__1SDV_20260104T234056_20260104T234122_005760_00B84F_0AE4
AMBOS,S1_SLC,2026-01-10,ALTERNATIVA,S1C_IW_SLC__1SDV_20260116T234055_20260116T234122_005935_00BE7E_D4A3
ESTEPA_NW_02,S1_SLC,2026-02-27,PRINCIPAL,S1A_IW_SLC__1SDV_20260227T234145_20260227T234212_063411_07F739_A651
BOSQUE_NW_02,S1_SLC,2026-02-27,PRINCIPAL,S1A_IW_SLC__1SDV_20260227T234210_20260227T234236_063411_07F739_93A9
AMBOS,S1_SLC,2026-02-27,ALTERNATIVA,S1C_IW_SLC__1SDV_20260221T234054_20260221T234121_006460_00D03F_D35A
AMBOS,S1_SLC,2026-02-27,ALTERNATIVA,S1C_IW_SLC__1SDV_20260305T234054_20260305T234121_006635_00D651_43FF
ESTEPA_NW_02,S1_GRD,2025-11-23,PRINCIPAL,S1A_IW_GRDH_1SDV_20251123T234153_20251123T234218_062011_07C1DF_5F88
BOSQUE_NW_02,S1_GRD,2025-11-23,PRINCIPAL,S1A_IW_GRDH_1SDV_20251123T234218_20251123T234243_062011_07C1DF_B6B6
AMBOS,S1_GRD,2025-11-23,ALTERNATIVA,S1C_IW_GRDH_1SDV_20251117T234059_20251117T234124_005060_00A069_FA61
AMBOS,S1_GRD,2025-11-23,ALTERNATIVA,S1C_IW_GRDH_1SDV_20251129T234058_20251129T234123_005235_00A649_8C90
ESTEPA_NW_02,S1_GRD,2026-01-10,PRINCIPAL,S1A_IW_GRDH_1SDV_20260110T234148_20260110T234213_062711_07DD05_5B9E
BOSQUE_NW_02,S1_GRD,2026-01-10,PRINCIPAL,S1A_IW_GRDH_1SDV_20260110T234213_20260110T234238_062711_07DD05_4F77
AMBOS,S1_GRD,2026-01-10,ALTERNATIVA,S1C_IW_GRDH_1SDV_20260104T234056_20260104T234121_005760_00B84F_E13C
AMBOS,S1_GRD,2026-01-10,ALTERNATIVA,S1C_IW_GRDH_1SDV_20260116T234056_20260116T234121_005935_00BE7E_3F11
ESTEPA_NW_02,S1_GRD,2026-02-27,PRINCIPAL,S1A_IW_GRDH_1SDV_20260227T234146_20260227T234211_063411_07F739_7B72
BOSQUE_NW_02,S1_GRD,2026-02-27,PRINCIPAL,S1A_IW_GRDH_1SDV_20260227T234211_20260227T234236_063411_07F739_6569
AMBOS,S1_GRD,2026-02-27,ALTERNATIVA,S1C_IW_GRDH_1SDV_20260221T234055_20260221T234120_006460_00D03F_C1C2
AMBOS,S1_GRD,2026-02-27,ALTERNATIVA,S1C_IW_GRDH_1SDV_20260305T234055_20260305T234120_006635_00D651_E000
