aoi,fecha,azul_mediano,rojo_mediano,ndvi_mediano,nubes_scl_pct,azul_veces_lo_normal,ndvi_fraccion_de_lo_normal,veredicto
BOSQUE_NW_02,20231022,0.0363,0.0552,0.506,17.9,1.54,0.66,SOSPECHOSA
BOSQUE_NW_02,20240110,0.0176,0.0281,0.812,0.1,0.75,1.05,limpia
BOSQUE_NW_02,20240229,0.0135,0.0262,0.812,0.0,0.57,1.05,limpia
BOSQUE_NW_02,20231206,0.0260,0.0325,0.772,2.4,1.11,1.00,limpia
BOSQUE_NW_02,20251125,0.0235,0.0290,0.802,0.0,1.00,1.04,limpia
BOSQUE_NW_02,20260109,0.1577,0.1240,0.343,7.4,6.71,0.44,BRUMA
BOSQUE_NW_02,20260305,0.0207,0.0432,0.301,0.0,0.88,0.39,limpia
ESTEPA_NW_02,20231022,0.0608,0.0982,0.244,0.9,0.98,1.00,limpia
ESTEPA_NW_02,20240110,0.0621,0.1078,0.272,0.0,1.00,1.12,limpia
ESTEPA_NW_02,20240229,0.0557,0.1090,0.247,0.0,0.90,1.01,limpia
ESTEPA_NW_02,20231206,0.0688,0.1058,0.276,4.1,1.11,1.13,limpia
ESTEPA_NW_02,20251125,0.0698,0.1088,0.216,0.0,1.12,0.89,limpia
ESTEPA_NW_02,20260109,0.0993,0.1324,0.151,0.0,1.60,0.62,SOSPECHOSA
ESTEPA_NW_02,20260305,0.0596,0.1027,0.201,0.5,0.96,0.83,limpia
