archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198851,-42.708605,-71.034021,333426.1,5269537.4,897.6833,1,0,0.88731307,-1.04,-0.07,0.86,2.09,2.5
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198852,-42.708892,-71.033448,333473.9,5269506.7,897.57605,1,0,0.90031546,-1.16,-0.14,0.78,2.02,2.47
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198853,-42.709178,-71.032875,333521.5,5269476.0,896.4569,1,0,0.9062534,-1.04,-0.03,1.01,2.47,2.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198854,-42.709464,-71.032302,333569.2,5269445.4,895.7302,0,0,0.8491172,0.14,2.2,4.19,6.32,6.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198855,-42.709753,-71.031724,333617.3,5269414.4,905.8928,0,0,0.77546376,-1.34,-0.11,1.04,2.62,3.14
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198856,-42.710040,-71.031150,333665.1,5269383.7,907.9048,0,0,0.86649734,-1.01,-0.07,0.89,2.17,2.65
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198857,-42.710326,-71.030577,333712.8,5269353.0,905.613,0,0,0.8619472,-0.82,0.26,1.53,4.67,5.57
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198858,-42.710613,-71.030002,333760.6,5269322.3,908.17084,0,0,0.8633267,-1.34,-0.22,0.86,2.28,2.76
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198859,-42.710900,-71.029429,333808.3,5269291.6,906.96313,0,0,0.84058326,-1.16,0.0,1.16,2.73,3.29
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198860,-42.711188,-71.028853,333856.3,5269260.8,913.2784,0,0,0.82505256,-1.27,-0.03,1.16,2.95,3.51
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198861,-42.711475,-71.028278,333904.1,5269230.0,914.3842,0,0,0.7953161,-1.27,-0.22,0.78,2.02,2.47
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198862,-42.711761,-71.027705,333951.8,5269199.4,912.805,0,0,0.8590136,-0.93,0.0,0.97,2.28,2.69
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198863,-42.712047,-71.027132,333999.6,5269168.7,911.3612,0,0,0.79894346,-1.42,-0.22,0.89,2.28,2.73
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198864,-42.712334,-71.026558,334047.3,5269138.0,910.69604,1,0,0.85042685,-1.04,-0.07,0.86,2.13,2.58
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198865,-42.712620,-71.025984,334095.0,5269107.4,909.44775,0,0,0.83855546,-0.97,0.0,1.01,2.39,2.84
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193441,-42.708528,-71.047890,332290.1,5269518.5,918.7958,1,0,0.89208794,-1.23,0.11,1.49,3.59,4.19
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193442,-42.708816,-71.047315,332338.0,5269487.7,923.48193,1,0,0.8971134,-0.59,1.04,3.51,6.7,7.44
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193443,-42.709103,-71.046742,332385.7,5269457.0,925.4974,0,0,0.87751013,-1.04,0.03,1.16,3.06,3.78
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193444,-42.709389,-71.046169,332433.4,5269426.3,925.6864,1,0,0.89189786,-1.12,0.26,1.83,4.15,4.82
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193445,-42.709677,-71.045594,332481.3,5269395.5,931.49457,0,0,0.86404645,-1.01,-0.03,0.93,2.43,2.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193446,-42.709964,-71.045020,332529.0,5269364.7,933.4102,0,0,0.8750833,-1.12,0.03,1.27,2.91,3.48
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193447,-42.710252,-71.044446,332576.8,5269333.9,938.5207,0,0,0.88323134,-1.12,0.14,1.49,3.21,3.81
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193448,-42.710538,-71.043872,332624.6,5269303.2,940.3944,0,0,0.8859568,-1.19,-0.18,0.74,1.98,2.43
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193449,-42.710825,-71.043299,332672.3,5269272.5,943.33716,0,0,0.8731798,-1.16,-0.07,1.04,2.5,3.03
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193450,-42.711112,-71.042726,332720.0,5269241.8,943.347,0,0,0.83143234,-1.08,0.0,1.08,2.54,2.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193451,-42.711399,-71.042152,332767.7,5269211.1,946.67993,1,0,0.894341,-1.16,-0.14,0.82,2.17,2.69
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193452,-42.711685,-71.041580,332815.4,5269180.4,947.35706,0,0,0.870627,-1.19,-0.07,1.01,2.43,2.95
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193453,-42.711972,-71.041006,332863.1,5269149.7,949.13635,0,0,0.88277954,-1.08,0.03,1.16,2.77,3.33
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193454,-42.712259,-71.040433,332910.9,5269119.0,951.19324,0,0,0.88166535,-1.27,-0.03,1.19,2.8,3.33
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193455,-42.712545,-71.039862,332958.4,5269088.4,947.53046,1,0,0.9009073,-1.08,-0.07,0.93,2.39,2.88
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193456,-42.712831,-71.039289,333006.0,5269057.7,947.246,0,0,0.8543926,-1.16,0.14,1.49,3.36,3.96
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193457,-42.713118,-71.038716,333053.8,5269027.0,948.8437,0,0,0.88483465,-1.16,-0.07,0.97,2.35,2.84
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193458,-42.713404,-71.038143,333101.4,5268996.3,949.38513,0,0,0.87414867,-1.23,0.0,1.19,2.88,3.48
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193459,-42.713691,-71.037570,333149.2,5268965.6,950.87317,0,0,0.85486513,-1.23,-0.18,0.82,2.17,2.65
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193460,-42.713977,-71.036996,333196.9,5268934.9,951.6454,1,0,0.9091852,-1.19,0.18,1.72,3.85,4.52
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193461,-42.714265,-71.036421,333244.8,5268904.1,957.793,0,0,0.8729656,-1.38,-0.26,0.82,2.17,2.62
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193462,-42.714551,-71.035850,333292.3,5268873.6,954.0554,0,0,0.836668,-1.16,-0.14,0.78,1.98,2.39
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193463,-42.714837,-71.035277,333340.0,5268842.9,952.6101,1,0,0.8681799,-1.08,0.0,1.08,2.58,3.1
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193464,-42.715123,-71.034704,333387.7,5268812.2,953.1543,0,0,0.8309339,-1.12,0.07,1.27,2.99,3.59
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193465,-42.715410,-71.034130,333435.5,5268781.5,954.90027,0,0,0.87671185,-1.12,0.03,1.23,2.95,3.51
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193466,-42.715696,-71.033557,333483.2,5268750.8,954.15,0,0,0.8198817,-1.04,0.0,1.01,2.54,3.1
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193467,-42.715983,-71.032983,333530.9,5268720.1,954.53735,1,0,0.8814088,-1.16,-0.11,0.86,2.28,2.77
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193468,-42.716269,-71.032410,333578.6,5268689.5,953.6609,1,0,0.8976972,-1.16,-0.11,0.93,2.35,2.88
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193469,-42.716556,-71.031837,333626.3,5268658.8,952.35223,1,0,0.8964424,-0.97,0.0,0.97,2.32,2.8
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193470,-42.716842,-71.031263,333674.0,5268628.1,951.82214,0,0,0.8445714,-0.93,0.14,1.34,3.18,3.78
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193471,-42.717129,-71.030689,333721.8,5268597.4,952.47955,0,0,0.8601179,-1.01,0.11,1.23,2.88,3.4
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193472,-42.717415,-71.030115,333769.5,5268566.7,952.4239,1,0,0.8697664,-1.08,0.0,1.04,2.54,3.03
