archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192369,-42.556395,-71.415344,301713.8,5285617.4,0.00843521,1.0569588,0.0042087114,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192370,-42.556684,-71.414772,301761.7,5285586.6,0.31060818,1.6569328,0.14383052,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192371,-42.556974,-71.414196,301809.9,5285555.7,0.3715244,2.260403,0.16950835,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192372,-42.557264,-71.413621,301858.1,5285524.9,0.008273533,0.7560512,0.0041282102,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192373,-42.557553,-71.413048,301906.0,5285494.1,0.047371317,1.1934412,0.023406982,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192374,-42.557842,-71.412477,301953.8,5285463.4,0.02697545,1.5683905,0.013397051,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192375,-42.558131,-71.411904,302001.7,5285432.7,0.45784548,1.694434,0.20457962,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192376,-42.558420,-71.411332,302049.7,5285401.9,0.039044555,1.6283463,0.019332698,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192377,-42.558709,-71.410757,302097.7,5285371.1,0.27489394,2.070959,0.12840779,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192378,-42.558999,-71.410182,302145.9,5285340.3,0.0114770755,0.6365142,0.0057220818,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM1011,332031100400192379,-42.559286,-71.409616,302193.3,5285309.8,0.21823467,1.5905154,0.10336733,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262725,-42.635609,-71.597691,287013.4,5276377.5,0.64883024,1.9494371,0.27700186,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262726,-42.635897,-71.597119,287061.4,5276346.9,0.1199447,1.6465273,0.05820747,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262727,-42.636182,-71.596554,287108.6,5276316.6,4.1734486,2.3848486,0.8752098,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262728,-42.636469,-71.595987,287156.1,5276286.2,2.3702393,2.1210537,0.6939151,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262729,-42.636755,-71.595420,287203.6,5276255.8,3.2031488,2.2542608,0.79788357,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262730,-42.637040,-71.594858,287250.7,5276225.6,4.0283723,2.649114,0.86589545,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262731,-42.637326,-71.594294,287297.8,5276195.4,2.467964,2.4784472,0.7084738,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262732,-42.637610,-71.593732,287344.9,5276165.1,2.0979536,2.946541,0.649385,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262733,-42.637898,-71.593161,287392.7,5276134.6,3.3786614,2.1644223,0.8147879,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262734,-42.638182,-71.592600,287439.6,5276104.5,4.133436,2.520758,0.872708,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262735,-42.638468,-71.592036,287486.9,5276074.2,1.9510677,2.601565,0.6227204,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262736,-42.638760,-71.591451,287535.8,5276043.2,1.497693,2.5966392,0.5268927,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262737,-42.639049,-71.590874,287584.1,5276012.6,1.8738346,2.6540387,0.6078936,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262738,-42.639338,-71.590299,287632.3,5275981.9,4.109632,2.7832615,0.87119573,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262739,-42.639628,-71.589721,287680.7,5275951.2,0.6554533,2.4864404,0.2793911,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262740,-42.639916,-71.589146,287728.8,5275920.6,-9999.0,-9999.0,-9999.0,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262741,-42.640205,-71.588573,287776.7,5275890.0,3.5812595,2.5946863,0.832541,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262742,-42.640493,-71.587999,287824.8,5275859.4,3.73579,2.9372244,0.84492195,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262743,-42.640783,-71.587418,287873.4,5275828.6,3.14566,2.2481728,0.79201573,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262744,-42.641072,-71.586843,287921.5,5275798.0,4.4176755,2.5177033,0.88943994,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262745,-42.641362,-71.586266,287969.8,5275767.3,3.8578236,2.6007025,0.85404456,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262746,-42.641651,-71.585689,288018.1,5275736.7,3.9311304,2.7859378,0.8592626,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262747,-42.641940,-71.585111,288066.5,5275706.0,3.658015,2.9825199,0.8388103,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262748,-42.642231,-71.584530,288115.0,5275675.2,3.8350196,2.8838282,0.8523819,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262749,-42.642522,-71.583947,288163.9,5275644.3,1.8447347,2.9589603,0.60215676,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262750,-42.642816,-71.583355,288213.4,5275613.1,4.0943155,2.6607099,0.8702131,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262751,-42.643107,-71.582771,288262.3,5275582.3,0.021689601,0.6365142,0.010786142,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262752,-42.643392,-71.582207,288309.5,5275552.0,0.4701526,1.909058,0.2094627,1
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262753,-42.643680,-71.581633,288357.5,5275521.5,1.2049192,2.2804515,0.45239782,0
GEDI02_B_2024311132120_O33432_04_T08775_02_004_01_V003.h5,BEAM0000,334320000400262754,-42.643968,-71.581058,288405.6,5275490.9,0.50276715,1.8293065,0.22224572,1
