archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198851,-42.708605,-71.034021,333426.1,5269537.4,0.042281646,1.2248977,0.020918727,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198852,-42.708892,-71.033448,333473.9,5269506.7,0.015544339,0.6365142,0.0077420175,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198853,-42.709178,-71.032875,333521.5,5269476.0,0.10258023,1.2526398,0.04999585,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198854,-42.709464,-71.032302,333569.2,5269445.4,1.6389492,1.8427262,0.55916095,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198855,-42.709753,-71.031724,333617.3,5269414.4,0.024387475,1.560633,0.012119629,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198856,-42.710040,-71.031150,333665.1,5269383.7,0.08619224,1.3099008,0.04217988,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198857,-42.710326,-71.030577,333712.8,5269353.0,0.38756108,1.8417566,0.17614666,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198858,-42.710613,-71.030002,333760.6,5269322.3,0.04545266,1.4508774,0.022469807,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198859,-42.710900,-71.029429,333808.3,5269291.6,0.08440723,1.5456908,0.041324675,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198860,-42.711188,-71.028853,333856.3,5269260.8,0.16506715,1.4855322,0.07921662,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198861,-42.711475,-71.028278,333904.1,5269230.0,0.009772036,0.6365142,0.00487409,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198862,-42.711761,-71.027705,333951.8,5269199.4,0.14695218,1.1626881,0.07083936,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198863,-42.712047,-71.027132,333999.6,5269168.7,0.01251247,0.6365142,0.006236688,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198864,-42.712334,-71.026558,334047.3,5269138.0,0.06605991,1.1759006,0.032489948,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0010,332030200400198865,-42.712620,-71.025984,334095.0,5269107.4,0.1795862,1.1584744,0.08587633,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193441,-42.708528,-71.047890,332290.1,5269518.5,0.3040635,1.4969919,0.14103015,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193442,-42.708816,-71.047315,332338.0,5269487.7,0.80848134,1.9618827,0.3324635,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193443,-42.709103,-71.046742,332385.7,5269457.0,0.22051373,1.5031593,0.104391165,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193444,-42.709389,-71.046169,332433.4,5269426.3,0.24530943,1.6926025,0.115425095,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193445,-42.709677,-71.045594,332481.3,5269395.5,0.11226013,1.4087325,0.05458256,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193446,-42.709964,-71.045020,332529.0,5269364.7,0.13012639,1.3937814,0.06299004,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193447,-42.710252,-71.044446,332576.8,5269333.9,0.27107713,1.4127405,0.12674741,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193448,-42.710538,-71.043872,332624.6,5269303.2,0.035989255,1.4628723,0.017833555,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193449,-42.710825,-71.043299,332672.3,5269272.5,0.02257826,1.5190147,0.011225593,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193450,-42.711112,-71.042726,332720.0,5269241.8,0.095662385,1.1498579,0.046704367,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193451,-42.711399,-71.042152,332767.7,5269211.1,0.04289645,1.371474,0.021219656,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193452,-42.711685,-71.041580,332815.4,5269180.4,0.07814797,1.3331333,0.038319815,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193453,-42.711972,-71.041006,332863.1,5269149.7,0.12782274,1.4329721,0.06191021,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193454,-42.712259,-71.040433,332910.9,5269119.0,0.094812065,1.354934,0.046298996,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193455,-42.712545,-71.039862,332958.4,5269088.4,0.12282118,1.2440224,0.059561443,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193456,-42.712831,-71.039289,333006.0,5269057.7,0.30012032,1.5248227,0.13933517,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193457,-42.713118,-71.038716,333053.8,5269027.0,0.051888015,1.0823275,0.025610074,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193458,-42.713404,-71.038143,333101.4,5268996.3,0.1593653,1.4437366,0.07658811,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193459,-42.713691,-71.037570,333149.2,5268965.6,0.01978625,1.3579772,0.009844308,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193460,-42.713977,-71.036996,333196.9,5268934.9,0.3578261,1.5360725,0.16380937,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193461,-42.714265,-71.036421,333244.8,5268904.1,0.013691499,1.009012,0.006822351,0
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0011,332030300400193462,-42.714551,-71.035850,333292.3,5268873.6,0.023454815,0.86872876,0.011658852,0
