archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,l4_quality_flag,l2_quality_flag,algorithm_run_flag,predictor_limit_flag,response_limit_flag,surface_flag,selected_algorithm,degrade_flag,sensitivity,solar_elevation,predict_stratum,pft_class,region_class,leaf_off_flag,landsat_treecover,urban_proportion
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192369,-42.556392,-71.415382,301710.71,5285617.58,3.797947,2.9960902,-9999.0,23.295961,1,1,1,255,255,1,1,0,0.957664,28.996635,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192370,-42.556681,-71.414811,301758.56,5285586.85,7.7867794,2.9887779,-9999.0,32.08909,1,1,1,255,255,1,1,0,0.95420444,28.99614,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192371,-42.556971,-71.414234,301806.78,5285555.95,20.730427,2.9818618,2.829637,55.11553,1,1,1,255,255,1,1,0,0.9571815,28.99564,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192372,-42.557262,-71.413659,301854.94,5285525.07,3.1725235,2.9978564,-9999.0,21.71339,1,1,1,255,255,1,1,0,0.95971465,28.995146,GSW_SA,6,6,0,37.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192373,-42.557550,-71.413087,301902.84,5285494.33,4.0015283,2.9955676,-9999.0,23.793789,1,1,1,255,255,1,1,0,0.9678785,28.99465,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192374,-42.557839,-71.412515,301950.66,5285463.63,3.797947,2.9960902,-9999.0,23.295961,1,1,1,255,255,1,1,0,0.95617,28.994156,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192375,-42.558128,-71.411943,301998.59,5285432.88,8.89522,2.987473,0.011852699,34.29392,1,1,1,255,255,1,1,0,0.95816684,28.993658,GSW_SA,6,6,0,8.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192376,-42.558417,-71.411370,302046.54,5285402.13,6.8846097,2.9900198,-9999.0,30.23563,1,1,1,255,255,1,1,0,0.9665464,28.993164,GSW_SA,6,6,0,58.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192377,-42.558706,-71.410796,302094.58,5285371.33,15.311873,2.983059,1.0848205,46.029858,1,1,1,255,255,1,1,0,0.95501584,28.992666,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192378,-42.558996,-71.410220,302142.73,5285340.49,2.2214549,3.001162,-9999.0,19.102547,1,1,1,255,255,1,1,0,0.95576614,28.99217,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM1011,332031100400192379,-42.559283,-71.409654,302190.14,5285309.99,3.899083,2.9958272,-9999.0,23.544233,1,1,1,255,255,1,1,0,0.9602973,28.99168,GSW_SA,6,6,0,0.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262725,-42.635619,-71.597714,287011.63,5276376.23,14.769809,2.9832804,0.9439147,45.087852,0,1,1,255,255,1,1,0,0.9116058,55.394897,GSW_SA,6,6,0,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262726,-42.635907,-71.597141,287059.56,5276345.67,0.0,13.123249,-9999.0,35.001663,0,0,1,255,255,1,1,0,0.8371285,55.395042,DBT_SA,4,6,1,86.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262727,-42.636193,-71.596577,287106.81,5276315.37,25.874544,13.09758,-9999.0,121.906494,0,1,1,255,255,1,2,0,0.94928366,55.395187,DBT_SA,4,6,1,98.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262728,-42.636479,-71.596011,287154.21,5276285.02,11.647235,13.109349,-9999.0,87.79511,0,1,1,255,255,1,2,0,0.93101734,55.39533,DBT_SA,4,6,1,98.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262729,-42.636766,-71.595443,287201.77,5276254.60,17.797163,13.10835,-9999.0,103.54163,0,1,1,255,255,1,2,0,0.91620034,55.395473,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262730,-42.637051,-71.594880,287248.84,5276224.38,57.162918,13.096606,2.5805619,182.65036,0,1,1,255,255,1,2,0,0.9551766,55.395615,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262731,-42.637335,-71.594320,287295.78,5276194.21,37.848564,13.097176,0.039119277,146.56616,0,0,1,255,255,1,2,0,0.8990769,55.395756,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262732,-42.637621,-71.593754,287343.11,5276163.89,70.714516,13.0887375,6.0357575,206.25577,0,1,1,255,255,1,2,0,0.9359448,55.395897,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262733,-42.637908,-71.593187,287390.63,5276133.49,12.674526,13.107426,-9999.0,90.56935,0,1,1,255,255,1,2,0,0.92352223,55.396038,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262734,-42.638193,-71.592623,287437.82,5276103.23,39.669212,13.092951,0.11900983,150.10469,0,1,1,255,255,1,2,0,0.94941866,55.396183,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262735,-42.638478,-71.592060,287484.92,5276073.00,28.889751,13.09691,-9999.0,128.35057,0,1,1,255,255,1,2,0,0.9125269,55.396324,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262736,-42.638770,-71.591474,287533.99,5276042.01,17.88579,13.098176,-9999.0,103.70813,0,0,1,255,255,1,1,0,0.87127936,55.396473,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262737,-42.639060,-71.590897,287582.29,5276011.31,29.41812,13.096498,-9999.0,129.45946,0,0,1,255,255,1,1,0,0.85508007,55.396618,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262738,-42.639349,-71.590321,287630.46,5275980.67,62.388004,13.093672,3.7833014,191.88191,0,1,1,255,255,1,2,0,0.9381816,55.396763,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262739,-42.639639,-71.589743,287678.87,5275949.94,8.98117,13.1013975,-9999.0,80.141045,0,0,1,255,255,1,1,0,0.83385974,55.39691,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262740,-42.639927,-71.589168,287726.96,5275919.33,-9999.0,-9999.0,-9999.0,-9999.0,0,0,0,255,255,1,2,0,0.98116165,55.39707,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262741,-42.640215,-71.588596,287774.92,5275888.78,55.68749,13.097266,2.2742186,180.00941,0,1,1,255,255,1,2,0,0.9616071,55.3972,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262742,-42.640504,-71.588021,287822.99,5275858.18,85.34315,13.091854,10.791306,230.77435,0,1,1,255,255,1,2,0,0.9516948,55.39735,DBT_SA,4,6,1,99.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262743,-42.640794,-71.587441,287871.54,5275827.40,17.272196,13.106502,-9999.0,102.26136,0,1,1,255,255,1,2,0,0.93368095,55.39749,DBT_SA,4,6,1,97.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262744,-42.641083,-71.586866,287919.69,5275796.78,36.22173,13.098818,0.004063131,143.35645,0,1,1,255,255,1,2,0,0.94212806,55.39764,DBT_SA,4,6,1,99.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262745,-42.641372,-71.586289,287967.92,5275766.12,40.11298,13.094258,0.14425635,150.97408,0,1,1,255,255,1,2,0,0.9392766,55.397785,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262746,-42.641661,-71.585712,288016.25,5275735.43,60.52808,13.0916605,3.3375638,188.5969,0,1,1,255,255,1,2,0,0.96266884,55.397934,DBT_SA,4,6,1,95.0,0
GEDI04_A_2024311132120_O33432_04_T08775_02_004_01_V002.h5,BEAM0000,334320000400262747,-42.641951,-71.585134,288064.64,5275704.72,100.37145,13.088659,16.533644,255.07132,0,1,1,255,255,1,2,0,0.95250225,55.39808,DBT_SA,4,6,1,90.0,0
