archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,agbd,agbd_se,agbd_pi_lower,agbd_pi_upper,l4_quality_flag,l2_quality_flag,algorithm_run_flag,predictor_limit_flag,response_limit_flag,surface_flag,selected_algorithm,degrade_flag,sensitivity,solar_elevation,predict_stratum,pft_class,region_class,leaf_off_flag,landsat_treecover,urban_proportion
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198851,-42.708625,-71.034053,333423.57,5269535.09,1.0619253,3.0070245,-9999.0,15.315489,0,0,1,255,255,1,1,0,0.88731307,28.677929,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198852,-42.708912,-71.033480,333471.28,5269504.41,1.0221772,3.00729,-9999.0,15.164469,0,1,1,255,255,1,1,0,0.90031546,28.677437,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198853,-42.709198,-71.032907,333518.96,5269473.76,1.81738,3.0028937,-9999.0,17.885494,0,1,1,255,255,1,1,0,0.9062534,28.676943,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198854,-42.709484,-71.032334,333566.65,5269443.09,15.311873,2.983059,1.0848205,46.029858,0,0,1,255,255,1,1,0,0.8491172,28.676449,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198855,-42.709773,-71.031756,333614.74,5269412.15,2.088537,3.001705,-9999.0,18.71107,0,0,1,255,255,1,1,0,0.77546376,28.675932,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198856,-42.710060,-71.031182,333662.55,5269381.41,1.271942,3.0057197,-9999.0,16.081556,0,0,1,255,255,1,1,0,0.86649734,28.675457,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198857,-42.710346,-71.030609,333710.22,5269350.77,9.048458,2.9873092,0.018098015,34.593243,0,0,1,255,255,1,1,0,0.8619472,28.674965,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198858,-42.710633,-71.030034,333758.06,5269320.01,1.4378811,3.0047858,-9999.0,16.654942,0,0,1,255,255,1,1,0,0.8633267,28.674469,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198859,-42.710920,-71.029461,333805.77,5269289.35,2.3783236,3.000551,-9999.0,19.554787,0,0,1,255,255,1,1,0,0.84058326,28.673977,GSW_SA,5,6,0,0.0,0
GEDI04_A_2024296191058_O33203_04_T06235_02_004_01_V002.h5,BEAM0010,332030200400198860,-42.711208,-71.028885,333853.74,5269258.50,2.8369577,2.9989226,-9999.0,20.82502,0,0,1,255,255,1,1,0,0.82505256,28.67348,GSW_SA,5,6,0,0.0,0
