archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262730,-42.637040,-71.594858,287250.7,5276225.6,1334.6172,1,0,0.9551766,7.48,10.44,12.83,15.34,16.05,19.38
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262741,-42.640205,-71.588573,287776.7,5275890.0,1303.4106,1,0,0.9616071,6.66,10.4,12.49,15.08,15.79,6.96
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262742,-42.640493,-71.587999,287824.8,5275859.4,1305.9578,1,0,0.9516948,7.82,12.46,15.75,18.44,19.16,8.61
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262746,-42.641651,-71.585689,288018.1,5275736.7,1337.9109,1,0,0.96266884,4.86,9.46,13.32,16.98,17.73,10.09
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262747,-42.641940,-71.585111,288066.5,5275706.0,1347.4855,1,0,0.95250225,7.97,12.94,16.76,20.32,21.1,18.24
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262754,-42.643968,-71.581058,288405.6,5275490.9,1423.0781,1,0,0.95165527,-0.93,0.52,2.09,4.6,5.35,7.14
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262766,-42.647366,-71.574353,288966.8,5275130.3,1091.0823,1,0,0.95928645,8.83,16.39,19.94,22.75,23.5,12.46
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262785,-42.653088,-71.562976,289918.8,5274523.3,917.33813,1,0,0.95201623,-1.57,1.6,4.37,7.03,7.89,17.60
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262792,-42.655113,-71.558922,290257.9,5274308.4,994.0831,1,0,0.9535539,-0.63,1.27,3.4,5.87,6.66,11.53
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262799,-42.657430,-71.554287,290645.6,5274062.6,1084.1539,1,0,0.9526721,-1.3,-0.14,0.89,2.28,2.73,9.48
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262858,-42.674468,-71.520394,293480.1,5272254.0,1209.8843,1,0,0.9729388,5.98,10.7,14.22,16.91,17.62,17.42
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262859,-42.674757,-71.519820,293528.2,5272223.3,1211.3269,1,0,0.96730614,9.76,14.59,16.87,19.64,20.35,9.35
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262866,-42.676783,-71.515787,293865.3,5272008.1,1240.9305,1,0,0.9533646,8.38,18.29,21.89,24.84,25.55,14.14
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262877,-42.679983,-71.509412,294398.2,5271668.3,1362.7559,1,0,0.9585775,1.01,5.01,7.63,10.06,10.81,8.04
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262885,-42.682284,-71.504861,294778.7,5271423.8,1298.7028,1,0,0.9705311,2.54,6.28,8.41,10.59,11.26,15.40
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262886,-42.682573,-71.504289,294826.5,5271393.2,1297.0762,1,0,0.9576607,0.03,1.94,5.42,11.11,12.23,14.22
