archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,pai,fhd_normal,cover,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033576,-42.608088,-71.438076,300012.9,5279823.4,1170.5927,1,0,0.93665624,-1.23,-0.03,1.16,3.4,4.68,8.77,0.2111195,1.8010532,0.100176945,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033577,-42.608376,-71.437504,300060.8,5279792.8,1169.7189,1,0,0.953125,-1.19,-0.18,0.74,2.02,2.5,6.77,0.07623627,1.3690549,0.03740046,1.0619253,3.0070245,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033578,-42.608664,-71.436932,300108.6,5279762.1,1169.2699,1,0,0.9547218,-1.16,-0.18,0.74,2.02,2.5,6.22,0.0876107,1.3797076,0.04285933,1.0619253,3.0070245,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033579,-42.608952,-71.436360,300156.5,5279731.5,1169.5897,1,0,0.94895524,-1.23,-0.11,0.93,2.54,3.25,9.69,0.11805783,1.4396158,0.057319734,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033580,-42.609241,-71.435787,300204.5,5279700.7,1174.772,1,0,0.9573634,-1.53,-0.14,1.23,3.14,3.89,8.89,0.12906912,1.7456306,0.062495388,3.7229545,2.996288,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033581,-42.609530,-71.435214,300252.4,5279670.0,1178.6077,1,0,0.95297647,-1.42,-0.22,0.89,2.5,3.18,6.10,0.110889725,1.6732756,0.053935148,2.1639936,3.0013936,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033582,-42.609818,-71.434642,300300.2,5279639.4,1178.6361,1,0,0.9349363,-1.01,0.11,1.38,5.05,8.38,5.30,0.3409434,2.2461023,0.1567272,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033583,-42.610106,-71.434070,300348.1,5279608.8,1177.9937,1,0,0.94197035,-1.16,-0.07,1.01,2.73,3.7,2.65,0.19035253,1.761781,0.09078542,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033610,-42.617891,-71.418616,301640.4,5278780.7,1194.5903,1,0,0.9588904,7.41,11.45,13.7,16.43,17.6,13.19,3.234379,2.6453874,0.8013274,70.56301,13.094082,DBT_SA,hoja_caida,1
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033611,-42.618179,-71.418044,301688.3,5278750.0,1195.1143,1,0,0.95140886,6.77,10.11,12.2,14.6,15.5,15.63,3.472501,2.5555248,0.82358646,52.86734,13.097623,DBT_SA,hoja_caida,1
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033612,-42.618466,-71.417472,301736.1,5278719.4,1190.9199,1,0,0.94951624,-1.61,-0.29,0.89,2.5,3.14,14.84,0.029863877,1.2015013,0.01482096,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033613,-42.618752,-71.416901,301783.8,5278689.0,1181.4875,1,0,0.94409484,-1.38,-0.14,1.04,2.73,3.44,9.80,0.08557408,1.6669973,0.04188419,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033614,-42.619039,-71.416330,301831.5,5278658.5,1173.5939,1,0,0.9370679,-1.27,-0.18,0.86,2.32,2.92,7.77,0.10942528,1.5773968,0.053242177,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033615,-42.619327,-71.415758,301879.4,5278627.9,1172.3282,1,0,0.92728055,-1.38,-0.18,0.89,2.43,2.99,2.63,0.09164759,1.4455544,0.044789277,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033616,-42.619615,-71.415184,301927.4,5278597.2,1176.5776,1,0,0.952164,-1.53,-0.11,1.23,3.1,3.81,7.16,0.149891,1.5047088,0.07220475,3.5265787,2.9968245,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033617,-42.619905,-71.414609,301975.4,5278566.4,1183.9629,1,0,0.9583817,-1.53,-0.18,1.12,2.92,3.66,7.16,0.13498412,1.6929448,0.065263875,3.1725235,2.9978564,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033618,-42.620194,-71.414034,302023.5,5278535.6,1191.4053,1,0,0.9562968,-1.46,-0.07,1.27,3.22,4.0,8.58,0.18789744,1.6264607,0.08966869,4.0015283,2.9955676,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033619,-42.620484,-71.413459,302071.6,5278504.8,1199.8208,1,0,0.95709866,-1.49,-0.07,1.34,3.44,4.26,9.54,0.2169063,1.7193022,0.102776594,4.699281,2.9939382,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033620,-42.620774,-71.412884,302119.7,5278473.9,1208.6965,1,0,0.9437488,-1.31,-0.03,1.27,3.18,3.96,10.32,0.22370408,1.6782689,0.105820835,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401033621,-42.621064,-71.412308,302167.8,5278443.0,1220.36,1,0,0.92857254,-1.72,-0.26,1.16,3.07,3.81,12.89,0.06658735,1.8153085,0.032745298,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197326,-42.623157,-71.426769,300988.5,5278176.7,1142.3346,1,0,0.94823205,-1.23,0.07,1.42,3.51,4.53,4.91,0.14963117,1.8025926,0.07208374,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197327,-42.623444,-71.426195,301036.5,5278146.1,1144.249,1,0,0.9628981,-1.79,-0.33,1.01,2.77,3.48,2.89,0.005614194,0.65223545,0.0028031585,2.7720664,2.9991407,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197328,-42.623732,-71.425621,301084.5,5278115.6,1145.0797,1,0,0.96111304,-1.27,0.07,1.46,4.19,5.39,5.20,0.23471281,1.8661381,0.11072782,8.368969,2.988065,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197329,-42.624019,-71.425047,301132.5,5278085.0,1147.6412,1,0,0.96594,-1.72,-0.26,1.08,2.95,3.74,6.36,0.02755338,1.1471359,0.013682167,3.3590548,2.9973016,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197330,-42.624307,-71.424472,301180.6,5278054.3,1151.4657,1,0,0.9569888,-1.68,0.22,2.28,5.39,6.7,15.07,0.2972504,2.0742612,0.13810164,13.903283,2.983682,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197331,-42.624598,-71.423893,301228.9,5278023.4,1168.1135,1,0,0.95288044,-1.38,-0.07,1.23,3.25,4.11,14.13,0.08671596,1.7239089,0.04243089,4.289997,2.9948657,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197334,-42.625463,-71.422169,301373.1,5277931.5,1181.7627,1,0,0.9364473,-1.57,0.07,1.72,4.04,4.94,10.56,0.1959858,1.8502787,0.09334184,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197335,-42.625751,-71.421594,301421.2,5277900.8,1187.824,1,0,0.94539464,-1.83,0.03,1.94,4.86,6.06,16.56,0.19581284,2.0810962,0.09326343,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197336,-42.626040,-71.421018,301469.3,5277870.1,1195.0172,1,0,0.96300125,-2.65,-0.59,1.19,3.66,4.6,13.98,0.01803848,0.6365142,0.008978663,5.6947904,2.9919653,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197337,-42.626328,-71.420443,301517.4,5277839.4,1201.9083,1,0,0.96466345,-1.38,0.26,2.13,5.42,6.62,10.80,0.31321847,2.0436785,0.14495498,13.526342,2.9838755,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197338,-42.626617,-71.419868,301565.5,5277808.7,1206.9521,1,0,0.9655018,-1.79,-0.29,1.12,2.92,3.59,5.76,0.014587011,1.1090913,0.007266956,3.0136228,2.9983494,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197339,-42.626904,-71.419294,301613.4,5277778.2,1207.9451,1,0,0.9626638,-1.49,-0.14,1.16,2.95,3.63,5.00,0.023861941,1.4732906,0.011860034,3.10393,2.9980667,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197340,-42.627192,-71.418720,301661.4,5277747.6,1210.806,1,0,0.95189035,-1.53,0.0,1.49,3.4,4.04,4.42,0.15675351,1.3118129,0.075382166,4.1052823,2.9953103,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197341,-42.627479,-71.418147,301709.4,5277717.0,1210.9456,1,0,0.9589238,-1.42,-0.11,1.16,3.03,3.81,4.09,0.05463133,1.8330089,0.026945736,3.5265787,2.9968245,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197342,-42.627766,-71.417573,301757.3,5277686.5,1213.2185,1,0,0.9560066,-1.79,-0.29,1.08,2.88,3.59,6.09,0.015004072,1.0029547,0.0074739484,3.0136228,2.9983494,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197343,-42.628054,-71.416998,301805.4,5277655.8,1218.1641,1,0,0.962635,-1.42,0.07,1.6,3.89,4.75,6.73,0.19913474,1.6952784,0.09476814,6.1638074,2.991151,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197344,-42.628343,-71.416424,301853.4,5277625.1,1222.975,1,0,0.96497524,-1.75,-0.33,0.97,2.69,3.33,5.39,0.012005976,0.7708521,0.005984995,2.458741,3.0002494,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197345,-42.628631,-71.415849,301901.4,5277594.5,1227.1562,1,0,0.9605023,-1.42,-0.14,1.08,2.88,3.59,6.43,0.0850454,1.6124763,0.04163074,3.0136228,2.9983494,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197346,-42.628919,-71.415275,301949.5,5277563.8,1233.2848,1,0,0.95107454,-1.57,0.0,1.6,3.7,4.45,7.82,0.14676507,1.548856,0.070753105,5.244015,2.9928136,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197347,-42.629208,-71.414699,301997.6,5277533.1,1241.6802,1,0,0.95842934,-1.94,-0.26,1.27,3.4,4.26,8.58,0.006591385,0.92577964,0.0032902644,4.699281,2.9939382,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197348,-42.629497,-71.414124,302045.7,5277502.4,1248.598,1,0,0.9196135,-1.38,-0.14,1.04,2.62,3.21,6.52,0.01203646,1.560209,0.006000146,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197349,-42.629784,-71.413551,302093.5,5277471.9,1247.4276,1,0,0.96026874,-1.53,-0.18,1.04,2.8,3.55,5.57,0.033698533,1.6374449,0.016708024,2.9246318,2.998635,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197350,-42.630072,-71.412977,302141.6,5277441.2,1253.5388,1,0,0.9525492,-1.75,0.07,1.94,4.56,5.5,9.51,0.14540334,1.8756236,0.07012022,8.78113,2.9875972,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197351,-42.630362,-71.412401,302189.7,5277410.4,1263.5723,1,0,0.9366076,-2.09,-0.18,1.68,4.3,5.16,10.04,0.026397413,1.8084053,0.013111931,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192061,-42.626124,-71.434239,300385.4,5277829.6,1164.6921,1,0,0.9122636,-2.17,0.22,2.77,6.25,7.41,17.12,0.2702272,2.1201706,0.12637846,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192062,-42.626415,-71.433661,300433.7,5277798.6,1179.6711,1,0,0.9484355,-2.54,-0.52,1.42,3.96,4.97,14.55,0.008993169,0.95083654,0.0044864845,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192063,-42.626705,-71.433084,300482.0,5277767.8,1191.1333,1,0,0.9419479,-2.84,-0.52,1.68,4.6,5.69,13.96,0.006845647,0.92165875,0.003416969,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192064,-42.626995,-71.432506,300530.3,5277736.9,1204.3925,1,0,0.94449824,-1.49,0.82,3.44,6.47,7.33,14.90,0.4527042,1.9218175,0.20254984,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192065,-42.627287,-71.431926,300578.7,5277706.0,1222.0697,1,0,0.9251053,-2.65,-0.63,1.19,3.48,4.26,15.04,0.012211871,0.7703381,0.0060873213,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192066,-42.627576,-71.431351,300626.9,5277675.2,1228.7659,1,0,0.9651872,-1.72,-0.22,1.23,3.18,3.96,10.91,0.0049371365,1.2608764,0.0024655221,3.899083,2.9958272,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192067,-42.627863,-71.430776,300674.9,5277644.6,1230.8185,1,0,0.95291513,-1.64,-0.07,1.46,3.78,4.68,8.84,0.072899796,1.8698083,0.035793222,5.9426656,2.9915268,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192068,-42.628152,-71.430201,300723.0,5277613.9,1236.0522,1,0,0.93132913,-1.53,-0.22,1.04,2.65,3.25,7.63,0.027614972,1.1154143,0.013712545,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192069,-42.628440,-71.429625,300771.1,5277583.3,1240.7869,1,0,0.9298795,-1.27,-0.18,0.82,2.17,2.65,4.63,0.015686685,1.1780157,0.007812646,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192070,-42.628727,-71.429052,300819.0,5277552.8,1237.9955,1,0,0.94625235,-0.78,0.44,2.47,7.78,8.98,4.30,0.6095663,2.2559776,0.26269457,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192071,-42.629013,-71.428480,300866.8,5277522.4,1231.8116,1,0,0.9681025,0.71,8.64,14.15,18.01,19.05,9.42,1.9740711,2.8915026,0.6271687,129.2509,3.0620713,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192072,-42.629298,-71.427909,300914.6,5277492.0,1222.7461,1,0,0.9683402,1.34,11.64,15.65,19.43,20.55,9.20,2.2450476,2.870657,0.6743622,150.53467,3.085376,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192073,-42.629586,-71.427336,300962.5,5277461.5,1221.9279,1,0,0.950581,1.27,10.07,14.71,18.27,19.35,9.83,2.1635876,2.8045964,0.66084135,133.38838,3.0665061,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192074,-42.629872,-71.426763,301010.4,5277431.0,1220.2168,1,0,0.9190378,-1.27,0.18,1.68,3.66,4.3,8.04,0.25643483,1.5474098,0.120333485,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192078,-42.631021,-71.424468,301202.3,5277308.8,1220.8021,1,0,0.9609872,-1.53,-0.07,1.38,3.59,4.56,3.55,0.12549326,1.8500088,0.06081749,5.5727983,2.9921882,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192079,-42.631308,-71.423894,301250.2,5277278.3,1221.1934,1,0,0.96422094,-1.53,-0.11,1.34,3.18,3.85,2.97,0.061376132,1.2305918,0.030221699,3.624111,2.9965553,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192080,-42.631596,-71.423320,301298.2,5277247.7,1221.9844,1,0,0.9568153,-1.31,0.03,1.42,3.29,4.04,4.40,0.21418512,1.5175849,0.10155437,4.1052823,2.9953103,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192081,-42.631883,-71.422746,301346.2,5277217.1,1225.1694,1,0,0.96348447,-1.49,-0.18,1.04,2.77,3.4,4.72,0.017630324,1.4261966,0.0087764,2.60265,2.9997275,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192082,-42.632171,-71.422172,301394.2,5277186.6,1226.0365,1,0,0.96334314,-1.57,0.0,1.57,3.7,4.49,4.68,0.13097227,1.6457765,0.06338677,5.3624363,2.992584,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192083,-42.632458,-71.421598,301442.2,5277156.0,1227.7651,1,0,0.9588852,-1.19,0.41,2.2,4.75,5.65,4.05,0.3704479,1.6902871,0.16907296,9.358772,2.986989,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192084,-42.632745,-71.421024,301490.2,5277125.4,1229.9491,1,0,0.9574884,-1.34,-0.18,0.93,2.43,3.07,2.04,0.016177747,1.5911314,0.008056228,1.9596764,3.0022554,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192085,-42.633032,-71.420451,301538.0,5277094.9,1227.4869,1,0,0.9680487,-1.31,-0.11,1.01,2.54,3.14,4.60,0.03406979,1.4345455,0.016890539,2.088537,3.001705,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192086,-42.633318,-71.419879,301585.9,5277064.5,1222.9739,1,0,0.9639105,-1.04,0.41,1.98,4.49,5.54,2.53,0.440812,1.7898494,0.19779469,8.933409,2.9874318,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1011,356601100400192087,-42.633605,-71.419306,301633.7,5277034.0,1221.2406,1,0,0.96472645,-0.59,0.74,3.89,8.53,9.62,2.82,0.75720054,2.2931933,0.31514806,31.063122,2.9830527,GSW_SA,certificada,0
