archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,pai,fhd_normal,cover,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034239,-42.803302,-71.046853,332630.4,5258995.9,882.20874,1,0,0.946747,-1.23,-0.18,0.74,1.98,2.47,1.89,0.017748248,1.513138,0.008834847,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034240,-42.803588,-71.046278,332678.2,5258965.4,879.77313,1,0,0.9360224,-1.31,-0.22,0.78,2.13,2.58,7.59,0.031879857,1.1213305,0.015813503,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034241,-42.803872,-71.045704,332725.9,5258935.0,869.7817,1,0,0.94016147,-1.53,-0.22,1.04,2.77,3.44,11.52,0.054350056,1.5590003,0.026808945,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034242,-42.804156,-71.045129,332773.7,5258904.6,862.2981,1,0,0.9260576,-1.46,-0.26,0.86,2.32,2.84,9.20,0.044928066,1.0132599,0.022213483,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034243,-42.804442,-71.044554,332821.5,5258874.0,859.7411,1,0,0.94806576,-1.57,-0.26,0.89,2.54,3.18,9.16,0.045779575,1.6664765,0.022629686,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034244,-42.804726,-71.043979,332869.3,5258843.5,853.70044,1,0,0.9376697,-1.57,-0.26,0.93,2.5,3.1,11.12,0.03722644,1.2193096,0.018440986,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034245,-42.805011,-71.043404,332917.1,5258813.0,849.0382,1,0,0.9424849,-1.34,-0.18,0.89,2.32,2.88,9.48,0.04976043,1.4347599,0.024573117,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM0110,356600600401034246,-42.805297,-71.042827,332965.0,5258782.4,849.02124,1,0,0.93844503,-1.49,-0.29,0.78,2.2,2.69,4.97,0.041911554,1.0453966,0.020737633,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197954,-42.803176,-71.065986,331065.5,5258971.8,871.20135,1,0,0.9478419,-1.08,-0.14,0.74,1.94,2.43,5.51,0.0370215,1.2746316,0.018340372,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197955,-42.803462,-71.065410,331113.4,5258941.2,869.0678,1,0,0.9448887,-1.04,-0.14,0.71,1.9,2.35,2.92,0.04477419,1.0479949,0.022138208,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197956,-42.803748,-71.064834,331161.3,5258910.6,867.9405,1,0,0.9463686,-1.12,-0.18,0.71,1.9,2.35,1.16,0.011705789,0.92811155,0.005835789,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197957,-42.804034,-71.064257,331209.2,5258880.0,867.29346,1,0,0.9425111,-1.16,-0.18,0.71,1.94,2.39,0.92,0.011995124,0.6365142,0.005979601,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197958,-42.804320,-71.063681,331257.1,5258849.4,867.00946,1,0,0.9458873,-1.27,-0.22,0.67,1.9,2.35,0.97,0.011274138,1.0621274,0.005621201,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197959,-42.804606,-71.063104,331305.1,5258818.7,867.28827,1,0,0.9477547,-1.23,-0.18,0.78,2.13,2.65,2.85,0.06135343,1.2884698,0.03021067,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197960,-42.804893,-71.062527,331353.1,5258788.0,869.7681,1,0,0.9429461,-1.34,-0.11,1.04,2.92,3.85,6.00,0.12642816,1.8540585,0.061256316,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197961,-42.805181,-71.061948,331401.1,5258757.3,874.67365,1,0,0.94414765,-1.27,0.14,1.57,3.48,4.15,7.58,0.24445647,1.5439224,0.11504932,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197962,-42.805468,-71.061370,331449.2,5258726.5,880.3243,1,0,0.9528386,-1.42,-0.26,0.78,2.17,2.69,6.23,0.02981189,0.7343937,0.014795333,1.3311168,3.0053778,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197963,-42.805755,-71.060793,331497.1,5258695.8,880.85944,1,0,0.95157385,-1.16,-0.18,0.71,1.9,2.35,1.73,0.023539098,1.5056227,0.011700516,0.8707129,3.0083652,GSW_SA,certificada,0
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197964,-42.806041,-71.060217,331545.1,5258665.2,880.87463,1,0,0.9474517,-1.12,-0.14,0.74,1.98,2.47,1.33,0.033891134,1.2941267,0.01680271,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197965,-42.806327,-71.059640,331593.0,5258634.6,880.6303,1,0,0.9426592,-1.12,-0.14,0.74,1.94,2.39,1.27,0.027863331,1.0203456,0.013835008,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197966,-42.806613,-71.059064,331640.9,5258604.0,879.1658,1,0,0.94598657,-1.16,-0.18,0.67,1.87,2.28,4.70,0.02598399,1.2733468,0.012907911,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197967,-42.806898,-71.058489,331688.7,5258573.5,873.81396,1,0,0.94287646,-1.38,-0.22,0.82,2.28,2.88,8.68,0.019665705,1.5215436,0.009784638,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197968,-42.807182,-71.057916,331736.3,5258543.1,862.4156,1,0,0.9486174,-1.31,0.07,1.46,3.7,4.75,10.08,0.15314831,1.8848429,0.07371403,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197969,-42.807467,-71.057341,331784.1,5258512.6,857.5356,1,0,0.94275194,-1.23,0.03,1.34,3.25,4.0,6.97,0.15448871,1.6308186,0.07433459,,,,,
GEDI02_A_2025089042733_O35660_04_T01966_02_004_02_V003.h5,BEAM1000,356600800400197970,-42.807753,-71.056764,331832.0,5258482.0,857.2928,1,0,0.9245132,-1.23,-0.03,1.12,2.77,3.36,7.92,0.12461401,1.3914338,0.06040445,,,,,
