aoi,granule,acquisition_datetime,beam,longitude,latitude,delta_time,rgt,cycle,region,version,revision,orbit_number,sc_orient,segment_id_beg,segment_id_end,h_te_best_fit_m,h_te_uncertainty_m,h_canopy_m,h_canopy_uncertainty_m,h_max_canopy_m,canopy_openness_m,rh50_m,rh75_m,rh90_m,rh95_m,rh98_m,rh100_m,n_ca_photons,n_te_photons,segment_landcover,segment_snowcover,cloud_flag_atm,msw_flag,night_flag,terrain_flg,year,month,season,landcover_label,qa_valid_height,qa_operational,qa_uncertainty_available,qa_conservative,uncertainty_ratio,height_class,segment_key,este_utm19s,norte_utm19s,aoi_normalizado,nivel,dentro_aoi,fuera_del_borde_m,fecha,extremo_3iqr
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54549407958984,-42.67149353027344,28319367.008656565,872.0,1.0,13.0,007,02,1073.0,1.0,1769827.0,1769831.0,1089.466064453125,77.75824737548828,10.3958740234375,44.17817687988281,11.5216064453125,3.1328625679016113,,,,,,,34.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Arbustos,1,1,1,1,4.249587555628618,10–20 m,872_gt1l_1769827,291413.4,5272522.6,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.5466537475586,-42.66254806518555,28319367.149575923,872.0,1.0,13.0,007,02,1073.0,1.0,1769877.0,1769881.0,1102.4019775390625,39.389915466308594,16.274169921875,47.60184097290039,17.76904296875,4.194454669952393,,,,,,,56.0,28.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,1,1,2.924993483625617,10–20 m,872_gt1l_1769877,291288.4,5273513.2,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54898834228516,-42.644657135009766,28319367.431452956,872.0,1.0,13.0,007,02,1073.0,1.0,1769977.0,1769981.0,1054.567626953125,70.2439956665039,17.85791015625,62.588069915771484,17.881591796875,4.6583051681518555,,,,,,,67.0,15.0,126.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque abierto desconocido,1,1,1,1,3.504781319210893,10–20 m,872_gt1l_1769977,291037.2,5275494.2,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54944610595703,-42.64107894897461,28319367.487903725,872.0,1.0,13.0,007,02,1073.0,1.0,1769997.0,1770001.0,968.2887573242188,42.15372085571289,16.3182373046875,52.965641021728516,16.3182373046875,2.8460967540740967,,,,,,,46.0,23.0,126.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque abierto desconocido,1,1,1,1,3.2457942627488237,10–20 m,872_gt1l_1769997,290987.6,5275890.4,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.55226135253906,-42.61943054199219,28319367.828952406,872.0,1.0,13.0,007,02,1073.0,1.0,1770118.0,1770122.0,1110.766357421875,111.52867126464844,20.450927734375,75.54380798339844,24.3807373046875,5.393912315368652,,,,,,,68.0,10.0,30.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Herbáceas,1,1,1,1,3.693906162331228,20–30 m,872_gt1l_1770118,290684.2,5278287.5,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.55400085449219,-42.60601043701172,28319368.04040843,872.0,1.0,13.0,007,02,1073.0,1.0,1770193.0,1770197.0,1215.896240234375,110.33078002929688,21.76123046875,82.46868896484375,23.02392578125,5.5621018409729,,,,,,,53.0,11.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,1,1,3.789707070253775,20–30 m,872_gt1l_1770193,290496.6,5279773.5,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.55504608154297,-42.59796142578125,28319368.167141117,872.0,1.0,13.0,007,02,1073.0,1.0,1770238.0,1770242.0,1371.1759033203125,228.1967315673828,24.468017578125,130.14479064941406,25.0181884765625,5.164793014526367,,,,,,,60.0,6.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,1,1,5.318975688727911,20–30 m,872_gt1l_1770238,290383.8,5280664.8,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.55528259277344,-42.59617233276367,28319368.195375662,872.0,1.0,13.0,007,02,1073.0,1.0,1770248.0,1770252.0,1359.41455078125,226.9383544921875,24.14599609375,102.03079223632812,24.9130859375,6.396184921264648,,,,,,,60.0,6.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,1,1,4.225578097510667,20–30 m,872_gt1l_1770248,290358.4,5280862.9,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.5572509765625,-42.580963134765625,28319368.434911273,872.0,1.0,13.0,007,02,1073.0,1.0,1770333.0,1770337.0,1069.8631591796875,134.4349365234375,21.1427001953125,69.50657653808594,23.6610107421875,5.297640323638916,,,,,,,70.0,8.0,116.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado desconocido,1,1,1,1,3.2874976183740277,20–30 m,872_gt1l_1770333,290145.9,5282547.0,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.55760192871094,-42.578277587890625,28319368.477247547,872.0,1.0,13.0,007,02,1073.0,1.0,1770348.0,1770352.0,1000.5059814453125,77.1568374633789,19.58343505859375,54.915340423583984,19.90325927734375,4.910488605499268,,,,,,,62.0,13.0,116.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado desconocido,1,1,1,1,2.8041730298733074,10–20 m,872_gt1l_1770348,290108.1,5282844.3,BOSQUE_NW_02,conservador,SI,,2018-11-24,NO
