aoi,granule,acquisition_datetime,beam,longitude,latitude,delta_time,rgt,cycle,region,version,revision,orbit_number,sc_orient,segment_id_beg,segment_id_end,h_te_best_fit_m,h_te_uncertainty_m,h_canopy_m,h_canopy_uncertainty_m,h_max_canopy_m,canopy_openness_m,rh50_m,rh75_m,rh90_m,rh95_m,rh98_m,rh100_m,n_ca_photons,n_te_photons,segment_landcover,segment_snowcover,cloud_flag_atm,msw_flag,night_flag,terrain_flg,year,month,season,landcover_label,qa_valid_height,qa_operational,qa_uncertainty_available,qa_conservative,uncertainty_ratio,height_class,segment_key,este_utm19s,norte_utm19s,aoi_normalizado,nivel,dentro_aoi,fuera_del_borde_m,fecha,extremo_3iqr,fabdem_m,n_egm2008_m,n_geoide_ar16_m,delta_terreno_m,control_terreno
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.03827667236328,-42.84559631347656,33320493.266509525,369.0,2.0,13.0,007,01,1957.0,0.0,1768868.0,1768872.0,776.8734741210938,1.8313215970993042,6.18756103515625,2.5710980892181396,7.56219482421875,1.520806908607483,,,,,,,98.0,424.0,40.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Cultivos/manejo,1,1,1,1,0.4155269054494609,5–10 m,369_gt1l_1768868,333445.3,5254316.2,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,755.37,21.178,21.161,0.33,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.03838348388672,-42.844703674316406,33320493.2805779,369.0,2.0,13.0,007,01,1957.0,0.0,1768873.0,1768877.0,776.7477416992188,1.7030572891235352,7.50079345703125,2.403965950012207,7.50079345703125,2.1629371643066406,,,,,,,20.0,456.0,20.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Arbustos,1,1,1,1,0.32049488681210486,5–10 m,369_gt1l_1768873,333434.2,5254415.1,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,755.60,21.178,21.162,-0.03,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.03861236572266,-42.84291458129883,33320493.308748934,369.0,2.0,13.0,007,01,1957.0,0.0,1768883.0,1768887.0,777.4842529296875,2.0139243602752686,6.9970703125,2.824251174926758,7.152099609375,2.068727493286133,,,,,,,46.0,386.0,40.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Cultivos/manejo,1,1,1,1,0.40363338494417306,5–10 m,369_gt1l_1768883,333410.7,5254613.3,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,756.40,21.178,21.165,-0.09,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.03919219970703,-42.83843994140625,33320493.37916489,369.0,2.0,13.0,007,01,1957.0,0.0,1768908.0,1768912.0,779.351806640625,2.813681125640869,7.3951416015625,3.9122233390808105,7.49169921875,2.0162203311920166,,,,,,,65.0,277.0,30.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Herbáceas,1,1,1,1,0.5290261566126343,5–10 m,369_gt1l_1768908,333351.3,5255109.1,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,758.32,21.177,21.171,-0.14,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.03929901123047,-42.83754348754883,33320493.393427897,369.0,2.0,13.0,007,01,1957.0,0.0,1768913.0,1768917.0,779.9443969726562,2.2427480220794678,7.7012939453125,3.157752752304077,7.7012939453125,2.024502992630005,,,,,,,42.0,348.0,30.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Herbáceas,1,1,1,1,0.41002885680348394,5–10 m,369_gt1l_1768913,333340.1,5255208.4,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,758.86,21.177,21.173,-0.09,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.03964233398438,-42.834861755371094,33320493.435597654,369.0,2.0,13.0,007,01,1957.0,0.0,1768928.0,1768932.0,784.2660522460938,4.130830764770508,7.50262451171875,5.843098163604736,9.15997314453125,1.5055809020996094,,,,,,,220.0,190.0,30.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Herbáceas,1,1,1,1,0.7788072233227304,5–10 m,369_gt1l_1768928,333304.9,5255505.6,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,763.71,21.177,21.177,-0.62,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.04044342041016,-42.82859802246094,33320493.53432004,369.0,2.0,13.0,007,01,1957.0,0.0,1768963.0,1768967.0,791.3201904296875,3.352675437927246,7.0523681640625,4.7043657302856445,8.6142578125,1.9177104234695435,,,,,,,71.0,236.0,30.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Herbáceas,1,1,1,1,0.6670618465805827,5–10 m,369_gt1l_1768963,333222.5,5256199.6,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,769.92,21.178,21.184,0.22,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.04055786132812,-42.82770538330078,33320493.54842141,369.0,2.0,13.0,007,01,1957.0,0.0,1768968.0,1768972.0,793.20263671875,3.554539918899536,8.55084228515625,4.921909332275391,8.71038818359375,2.0470526218414307,,,,,,,84.0,223.0,20.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Arbustos,1,1,1,1,0.5756052056789225,5–10 m,369_gt1l_1768968,333210.8,5256298.5,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,771.77,21.178,21.185,0.25,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.0406723022461,-42.82680892944336,33320493.562498007,369.0,2.0,13.0,007,01,1957.0,0.0,1768973.0,1768977.0,793.8720703125,2.8140807151794434,9.14385986328125,3.930159568786621,9.14385986328125,2.9403200149536133,,,,,,,21.0,282.0,30.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Herbáceas,1,1,1,1,0.42981406403316136,5–10 m,369_gt1l_1768973,333199.0,5256397.8,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,772.74,21.178,21.187,-0.05,PASA
ESTEPA_NW_02(3),ATL08_20190121153940_03690213_007_01.h5,2019-01-21T15:39:40Z,gt1l,-71.04125213623047,-42.82233810424805,33320493.632994227,369.0,2.0,13.0,007,01,1957.0,0.0,1768998.0,1769002.0,796.1082153320312,2.864689350128174,8.4764404296875,4.012542724609375,8.4764404296875,2.659670352935791,,,,,,,38.0,278.0,30.0,1.0,0.0,0.0,0.0,0.0,2019,1,Verano,Herbáceas,1,1,1,1,0.47337591267155343,5–10 m,369_gt1l_1768998,333139.6,5256893.1,ESTEPA_NW_02,operacional,SI,,2019-01-21,NO,774.71,21.179,21.192,0.22,PASA
