archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,motivo,detalle
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198852,-42.708892,-71.033448,333473.9,5269506.7,897.57605,1,0,0.90031546,-1.16,-0.14,0.78,2.02,2.47,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198853,-42.709178,-71.032875,333521.5,5269476.0,896.4569,1,0,0.9062534,-1.04,-0.03,1.01,2.47,2.99,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193378,-42.708434,-71.067326,330698.2,5269490.2,981.32715,1,0,0.92174256,-1.94,-0.18,1.45,3.36,4.0,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193379,-42.708720,-71.066753,330745.8,5269459.5,980.0365,1,0,0.9326278,-1.16,-0.14,0.78,2.02,2.5,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193380,-42.709008,-71.066178,330793.7,5269428.7,984.30066,1,0,0.93871444,-1.38,0.0,1.42,3.62,4.45,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193381,-42.709296,-71.065601,330841.7,5269397.8,992.63824,1,0,0.9458939,-1.42,-0.26,0.78,2.09,2.61,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193382,-42.709581,-71.065032,330889.1,5269367.4,983.9736,1,0,0.94186354,-1.9,-0.29,1.19,3.21,3.96,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193383,-42.709866,-71.064463,330936.4,5269336.9,974.9761,1,0,0.93579316,-1.16,-0.07,1.01,2.54,3.18,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193384,-42.710152,-71.063892,330984.0,5269306.3,970.83417,1,0,0.9526718,-1.3,-0.26,0.71,1.98,2.46,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193385,-42.710438,-71.063320,331031.6,5269275.7,968.55237,1,0,0.9275137,-1.23,-0.18,0.78,2.09,2.58,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193386,-42.710724,-71.062747,331079.3,5269245.0,967.1628,1,0,0.93954426,-1.23,-0.18,0.82,2.2,2.76,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193387,-42.711011,-71.062173,331127.1,5269214.3,968.54834,1,0,0.93261725,-1.34,-0.22,0.82,2.17,2.65,,fuera del DEM,sin pendiente disponible
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193420,-42.720487,-71.043200,332706.4,5268199.8,1027.8099,1,0,0.9153374,-2.05,0.26,2.76,6.69,8.0,21.09,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.1 > 20 grados
