archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192369,-42.556395,-71.415344,301713.8,5285617.4,973.5877,1,0,0.957664,-2.17,-0.44,1.15,3.18,3.92
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192370,-42.556684,-71.414772,301761.7,5285586.6,976.45337,1,0,0.95420444,-1.15,0.29,1.9,4.37,5.23
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192371,-42.556974,-71.414196,301809.9,5285555.7,986.7413,1,0,0.9571815,-1.83,0.37,2.73,6.54,8.0
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192372,-42.557264,-71.413621,301858.1,5285524.9,995.6801,1,0,0.95971465,-2.5,-0.67,0.93,2.91,3.66
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192373,-42.557553,-71.413048,301906.0,5285494.1,999.34155,1,0,0.9678785,-1.87,-0.18,1.38,3.32,4.0
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192374,-42.557842,-71.412477,301953.8,5285463.4,1000.76184,1,0,0.95617,-1.57,-0.14,1.27,3.21,3.92
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192375,-42.558131,-71.411904,302001.7,5285432.7,1004.9812,1,0,0.95816684,-1.04,0.48,2.24,4.71,5.53
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192376,-42.558420,-71.411332,302049.7,5285401.9,1009.4329,1,0,0.9665464,-2.02,-0.14,1.64,4.07,4.97
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192377,-42.558709,-71.410757,302097.7,5285371.1,1015.9737,1,0,0.95501584,-1.64,0.29,2.39,5.53,6.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192378,-42.558999,-71.410182,302145.9,5285340.3,1024.5067,1,0,0.95576614,-1.94,-0.41,0.86,2.58,3.21
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM1011,332031100400192379,-42.559286,-71.409616,302193.3,5285309.8,1017.41626,1,0,0.9602973,-1.12,0.0,1.19,3.06,3.96
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262725,-42.635609,-71.597691,287013.4,5276377.5,1393.0546,1,0,0.9116058,-0.67,0.67,2.76,6.13,6.88
