archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262726,-42.635897,-71.597119,287061.4,5276346.9,1392.447,0,0,0.8371285,-1.3,0.03,1.38,3.33,3.96,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262727,-42.636182,-71.596554,287108.6,5276316.6,1376.3396,0,0,0.94928366,2.99,5.46,8.75,12.64,13.62,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262728,-42.636469,-71.595987,287156.1,5276286.2,1365.866,0,0,0.93101734,1.87,4.79,6.54,8.68,9.28,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262729,-42.636755,-71.595420,287203.6,5276255.8,1354.7102,0,0,0.91620034,3.4,6.24,7.85,9.72,10.21,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262731,-42.637326,-71.594294,287297.8,5276195.4,1316.9675,0,0,0.8990769,4.0,7.74,10.29,13.65,14.51,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262732,-42.637610,-71.593732,287344.9,5276165.1,1297.478,0,0,0.9359448,1.16,9.46,14.7,19.01,19.68,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262733,-42.637898,-71.593161,287392.7,5276134.6,1294.02,0,0,0.92352223,2.2,4.71,6.69,9.05,9.8,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262734,-42.638182,-71.592600,287439.6,5276104.5,1270.5897,0,0,0.94941866,3.77,6.43,10.47,15.56,16.31,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262735,-42.638468,-71.592036,287486.9,5276074.2,1255.5417,0,0,0.9125269,2.02,5.91,9.28,13.35,14.03,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262736,-42.638760,-71.591451,287535.8,5276043.2,1276.6049,0,0,0.87127936,0.18,3.36,8.08,12.31,13.2,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262737,-42.639049,-71.590874,287584.1,5276012.6,1284.4325,0,0,0.85508007,0.78,5.87,10.14,13.5,14.22,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262738,-42.639338,-71.590299,287632.3,5275981.9,1289.489,0,0,0.9381816,5.76,10.36,13.47,16.27,17.17,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262739,-42.639628,-71.589721,287680.7,5275951.2,1299.874,0,0,0.83385974,-0.82,1.12,4.6,10.92,11.82,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262740,-42.639916,-71.589146,287728.8,5275920.6,1303.2096,0,0,0.98116165,-0.44,2.84,6.77,10.66,11.56,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262743,-42.640783,-71.587418,287873.4,5275828.6,1319.385,0,0,0.93368095,3.06,5.76,7.55,9.87,10.51,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262744,-42.641072,-71.586843,287921.5,5275798.0,1323.5709,0,0,0.94212806,5.05,7.89,9.87,12.53,13.95,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262745,-42.641362,-71.586266,287969.8,5275767.3,1331.7294,0,0,0.9392766,3.7,7.18,11.11,14.85,15.64,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262748,-42.642231,-71.584530,288115.0,5275675.2,1361.7529,0,0,0.94438815,5.61,11.37,15.45,18.82,19.64,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262751,-42.643107,-71.582771,288262.3,5275582.3,1436.6467,1,0,0.86191696,-2.28,-0.63,0.71,2.32,2.84,sensibilidad baja: el laser no llego al suelo,sensitivity=0.862 <= 0.90
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262752,-42.643392,-71.582207,288309.5,5275552.0,1419.5863,1,0,0.8927177,-0.74,0.37,1.9,5.31,6.24,sensibilidad baja: el laser no llego al suelo,sensitivity=0.893 <= 0.90
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262753,-42.643680,-71.581633,288357.5,5275521.5,1420.0441,0,0,0.82786626,0.0,2.35,6.39,9.43,10.25,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262755,-42.644255,-71.580490,288453.1,5275460.5,1413.1528,0,0,0.9277277,2.73,5.76,8.79,12.12,12.79,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262756,-42.644540,-71.579925,288500.5,5275430.2,1398.9828,0,0,0.9330769,1.72,7.18,14.14,17.85,18.71,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262757,-42.644823,-71.579366,288547.3,5275400.2,1371.7041,0,0,0.9376706,4.07,8.79,15.82,20.95,21.85,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262758,-42.645107,-71.578806,288594.1,5275370.1,1344.9598,0,0,0.86442435,0.18,2.54,6.06,8.23,8.45,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262759,-42.645390,-71.578247,288640.9,5275340.0,1318.7188,0,0,0.9679951,3.55,6.84,10.02,12.57,13.02,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262760,-42.645673,-71.577690,288687.6,5275310.0,1288.224,0,0,0.87978566,7.7,15.15,18.78,22.78,23.65,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262761,-42.645959,-71.577120,288735.2,5275279.7,1280.2533,0,0,0.94303197,4.9,9.16,11.63,14.48,15.41,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262762,-42.646233,-71.576591,288779.5,5275250.6,1196.5311,0,0,0.9215464,3.89,11.71,16.31,19.19,19.72,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262763,-42.646515,-71.576037,288825.9,5275220.7,1161.1552,0,0,0.914831,8.6,14.63,19.72,25.14,26.3,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262765,-42.647081,-71.574919,288919.4,5275160.6,1104.6304,0,0,0.94679654,12.38,17.92,22.3,26.6,27.43,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
