AOI,Nivel,Código cobertura,Cobertura,n,mean,sd,min,p25,median,p75,p90,p95,p99,max
Bosque,Operacional,116,Bosque cerrado desconocido,515,16.28573472106341,10.596069937360467,1.473876953125,9.497161865234375,15.2105712890625,21.79595947265625,26.4032470703125,29.05093994140625,37.59135253906253,132.5576171875
Bosque,Operacional,112,Bosque cerrado perennifolio latifolio,630,20.75174008324033,6.281003841425893,2.8587646484375,16.719146728515625,21.20166015625,24.656524658203125,27.694213867187504,30.993566894531245,35.1684979248047,48.1351318359375
Bosque,Operacional,126,Bosque abierto desconocido,375,12.30629150390625,6.600488023993513,2.9197998046875,7.2659912109375,11.225341796875,16.2020263671875,19.927062988281257,23.333074951171874,29.280026855468748,59.681884765625
Bosque,Operacional,20,Arbustos,215,13.202662268350291,6.517315431479635,2.09716796875,7.551849365234375,12.90692138671875,17.809295654296875,21.698901367187496,24.192102050781244,30.484077148437482,34.3966064453125
Bosque,Operacional,30,Herbáceas,102,13.724657245710784,7.4934354403837435,3.320556640625,7.57403564453125,13.5301513671875,19.3009033203125,22.87723388671875,27.333117675781228,30.331953125,32.4222412109375
Bosque,Operacional,114,Bosque cerrado caducifolio latifolio,91,18.235298575935783,6.704017006741223,3.5657958984375,14.34619140625,17.834228515625,22.3497314453125,27.94775390625,29.55621337890625,32.62176513671874,34.0
Bosque,Operacional,60,Vegetación escasa/suelo desnudo,1,18.4393310546875,0.0,18.4393310546875,18.4393310546875,18.4393310546875,18.4393310546875,18.4393310546875,18.4393310546875,18.4393310546875,18.4393310546875
Bosque,Operacional,122,Bosque abierto perennifolio latifolio,2,18.4854736328125,0.8030910024608934,17.9176025390625,18.2015380859375,18.4854736328125,18.7694091796875,18.9397705078125,18.9965576171875,19.0419873046875,19.0533447265625
Bosque,Operacional,40,Cultivos/manejo,15,17.2101318359375,7.781053560144319,3.024658203125,12.25732421875,19.10302734375,23.36785888671875,25.993994140625,26.8599365234375,26.9339013671875,26.952392578125
Bosque,Operacional,90,Humedal herbáceo,3,6.243916829427083,4.565779853624463,1.369384765625,4.15557861328125,6.9417724609375,8.681182861328125,9.7248291015625,10.072711181640624,10.351016845703125,10.42059326171875
