AOI,Grupo,n,mean,sd,min,p25,median,p75,p90,p95,p99,max
Bosque,2018,237,17.187590908903612,6.577304373846446,2.9552001953125,11.60980224609375,17.85791015625,22.024169921875,24.9933837890625,26.9390625,29.261015624999995,36.1129150390625
Bosque,2019,114,21.489764297217654,7.850608024563577,4.3692626953125,17.6346435546875,22.175750732421875,26.046554565429688,29.32691650390625,30.539746093749997,47.65526123046882,53.9595947265625
Bosque,2020,231,13.0262427391944,7.037886902655802,2.09716796875,6.21185302734375,12.4483642578125,18.24853515625,23.4293212890625,25.7724609375,28.145397949218744,35.2247314453125
Bosque,2021,349,18.692304988303636,9.630794074970858,3.782958984375,12.72265625,18.352294921875,23.5228271484375,27.631982421874998,29.908422851562484,43.545307617187326,118.3690185546875
Bosque,2022,621,16.78939598194067,8.862477129010667,1.369384765625,10.9447021484375,16.511474609375,21.9268798828125,26.611328125,29.874755859375,35.33879394531246,132.5576171875
Bosque,2023,70,14.203730119977678,5.3566222396624505,4.60693359375,11.041229248046875,14.119598388671875,17.25311279296875,21.239916992187503,24.306793212890625,26.865721435546874,26.952392578125
Bosque,2024,224,14.810870579310826,8.140564727545874,3.5318603515625,7.253265380859375,14.68603515625,21.138763427734375,26.166308593750003,29.319012451171872,33.92102539062502,36.1241455078125
Bosque,2025,100,14.599258422851562,7.153980959828493,3.3248291015625,8.81170654296875,13.2362060546875,20.19793701171875,24.791674804687503,26.78917236328125,30.987104492187505,32.2362060546875
Bosque,2026,3,17.265665690104168,5.008743274891228,12.3785400390625,14.704620361328125,17.03070068359375,19.709228515625,21.31634521484375,21.85205078125,22.280615234375,22.38775634765625
Estepa,2019,357,9.832793762036065,3.483957705458927,0.9239501953125,8.25262451171875,9.707763671875,11.89910888671875,13.5580810546875,14.286938476562499,21.60318603515624,26.59515380859375
Estepa,2020,503,11.466823084927933,8.088378070724927,1.3878173828125,7.806732177734375,11.29876708984375,13.47039794921875,17.72802734375,20.160852050781248,31.94316406250006,120.06396484375
Estepa,2021,52,10.92358163686899,6.753671622639843,1.51519775390625,4.2055816650390625,11.927276611328125,17.703704833984375,19.208270263671874,20.220361328125,20.88895202636719,21.2186279296875
Estepa,2022,251,12.982180409222485,6.993460257154227,1.96356201171875,9.1439208984375,13.10595703125,16.56671142578125,19.28369140625,21.98748779296875,25.91180419921875,82.9097900390625
Estepa,2023,241,11.619683609958507,5.377308333016479,1.87451171875,8.4383544921875,9.845947265625,13.7252197265625,19.960205078125,21.3818359375,27.05541992187499,36.18621826171875
Estepa,2024,151,9.423850356348304,4.10136952808792,1.894775390625,6.58929443359375,9.46234130859375,11.815673828125,13.936279296875,16.0181884765625,20.6385498046875,24.5892333984375
Estepa,2025,256,9.884329795837402,5.330310684494244,1.9708251953125,6.319732666015625,9.35711669921875,11.909988403320312,15.86761474609375,18.5419921875,23.971545410156235,50.8614501953125
Estepa,2026,112,9.637513296944755,6.936868184843021,1.9178466796875,3.7473297119140625,7.92681884765625,13.6376953125,19.712316894531256,23.12647094726562,29.59876953125,32.0477294921875
