AOI,granule,date,year,rgt,cycle,median_h_canopy_m,n_operational
Bosque,ATL08_20181124182732_08720113_007_02.h5,2018-11-24,2018,872,1,17.85791015625,237
Bosque,ATL08_20190223140731_08720213_007_01.h5,2019-02-23,2019,872,2,22.175750732421875,114
Bosque,ATL08_20200221204631_08720613_007_01.h5,2020-02-21,2020,872,6,14.4140625,141
Bosque,ATL08_20200522162622_08720713_007_01.h5,2020-05-22,2020,872,7,25.84637451171875,1
Bosque,ATL08_20200821120606_08720813_007_01.h5,2020-08-21,2020,872,8,8.17333984375,89
Bosque,ATL08_20210216151542_08341009_007_01.h5,2021-02-16,2021,834,10,20.20135498046875,216
Bosque,ATL08_20211118142535_08721313_007_01.h5,2021-11-18,2021,872,13,14.85443115234375,133
Bosque,ATL08_20220214215513_08341409_007_01.h5,2022-02-14,2022,834,14,15.3798828125,169
Bosque,ATL08_20220217100520_08721413_007_01.h5,2022-02-17,2022,872,14,15.1976318359375,173
Bosque,ATL08_20221114085445_08341709_007_01.h5,2022-11-14,2022,834,17,8.25262451171875,10
Bosque,ATL08_20221116210454_08721713_007_01.h5,2022-11-16,2022,872,17,19.2037353515625,269
Bosque,ATL08_20230115055833_03921809_007_01.h5,2023-01-15,2023,392,18,13.79632568359375,8
Bosque,ATL08_20230316152045_13141813_007_01.h5,2023-03-16,2023,1314,18,14.40576171875,52
Bosque,ATL08_20231112153308_08342109_007_01.h5,2023-11-12,2023,834,21,13.94415283203125,10
Bosque,ATL08_20240213232239_08722213_007_01.h5,2024-02-13,2024,872,22,14.50469970703125,202
Bosque,ATL08_20241109221128_08342509_007_01.h5,2024-11-09,2024,834,25,14.864471435546875,22
Bosque,ATL08_20250208175114_08342609_007_01.h5,2025-02-08,2025,834,26,11.1893310546875,15
Bosque,ATL08_20250510133034_08342709_007_01.h5,2025-05-10,2025,834,27,15.31719970703125,40
Bosque,ATL08_20251209153552_13142913_007_01.h5,2025-12-09,2025,1314,29,13.384765625,45
Bosque,ATL08_20260209123923_08723013_007_01.h5,2026-02-09,2026,872,30,17.03070068359375,3
Estepa,ATL08_20190121153940_03690213_007_01.h5,2019-01-21,2019,369,2,8.625579833984375,90
Estepa,ATL08_20190422111931_03690313_007_01.h5,2019-04-22,2019,369,3,2.433624267578125,18
Estepa,ATL08_20190620201301_12760309_007_01.h5,2019-06-20,2019,1276,3,6.592529296875,14
Estepa,ATL08_20191018142857_03310509_007_01.h5,2019-10-18,2019,331,5,10.16552734375,111
Estepa,ATL08_20191219113241_12760509_007_01.h5,2019-12-19,2019,1276,5,11.903076171875,124
Estepa,ATL08_20200321192235_13140613_007_01.h5,2020-03-21,2020,1314,6,16.51788330078125,48
Estepa,ATL08_20200419175838_03690713_007_01.h5,2020-04-19,2020,369,7,11.65692138671875,270
Estepa,ATL08_20201018091811_03690913_007_01.h5,2020-10-18,2020,369,9,2.8770751953125,66
Estepa,ATL08_20201216181154_12760909_007_01.h5,2020-12-16,2020,1276,9,11.81005859375,119
Estepa,ATL08_20210317135144_12761009_007_01.h5,2021-03-17,2021,1276,10,11.5780029296875,1
Estepa,ATL08_20210717201748_03691213_007_01.h5,2021-07-17,2021,369,12,12.27655029296875,51
Estepa,ATL08_20220115113740_03691413_007_01.h5,2022-01-15,2022,369,14,12.0128173828125,81
Estepa,ATL08_20220315203118_12761409_007_01.h5,2022-03-15,2022,1276,14,13.4974365234375,121
Estepa,ATL08_20220913115109_12761609_007_01.h5,2022-09-13,2022,1276,16,14.306640625,41
Estepa,ATL08_20221012102708_03311709_007_01.h5,2022-10-12,2022,331,17,3.960601806640625,8
Estepa,ATL08_20230113181657_03691813_007_01.h5,2023-01-13,2023,369,18,9.791748046875,215
Estepa,ATL08_20230414135645_03691913_007_01.h5,2023-04-14,2023,369,19,10.0086669921875,23
Estepa,ATL08_20231211140909_12762109_007_01.h5,2023-12-11,2023,1276,21,13.1917724609375,3
Estepa,ATL08_20240109124459_03312209_007_01.h5,2024-01-09,2024,331,22,11.17755126953125,48
Estepa,ATL08_20241211085733_13142513_007_01.h5,2024-12-11,2024,1314,25,8.3101806640625,103
Estepa,ATL08_20250309162709_12762609_007_01.h5,2025-03-09,2025,1276,26,10.384918212890625,106
Estepa,ATL08_20250608120624_12762709_007_01.h5,2025-06-08,2025,1276,27,7.397216796875,123
Estepa,ATL08_20250907074537_12762809_007_01.h5,2025-09-07,2025,1276,28,21.1253662109375,1
Estepa,ATL08_20251008183120_03692913_007_01.h5,2025-10-08,2025,369,29,11.05078125,26
Estepa,ATL08_20260310111526_13143013_007_01.h5,2026-03-10,2026,1314,30,13.6578369140625,51
Estepa,ATL08_20260408095131_03693113_007_01.h5,2026-04-08,2026,369,31,3.88299560546875,61
