AOI,Variable,n,Spearman rho,p
Bosque,h_te_best_fit_m,1949,0.35804685980752804,4.997619065415458e-60
Bosque,n_ca_photons,1949,-0.15630212335766602,3.959935519612709e-12
Bosque,n_te_photons,1949,-0.5728995415296679,2.0326813069233022e-170
Bosque,h_canopy_uncertainty_m,905,0.5973193937016938,1.3123585470432752e-88
Bosque,h_te_uncertainty_m,905,0.5162889060960022,8.383532874928616e-63
Estepa,h_te_best_fit_m,1923,0.17105795724239192,4.2833925155804016e-14
Estepa,n_ca_photons,1923,-0.10923394332688743,1.5756943303092778e-06
Estepa,n_te_photons,1923,-0.33986474579665443,3.361859706437737e-53
Estepa,h_canopy_uncertainty_m,1482,0.2345641337996463,5.67809192808897e-20
Estepa,h_te_uncertainty_m,1482,0.13446623148636921,2.0388711873888908e-07
