AOI,h_canopy_m,h_max_canopy_m,h_canopy_uncertainty_m,h_te_uncertainty_m,n_ca_photons,n_te_photons,granule,date,beam,longitude,latitude,landcover,umbral extremo 3IQR,extremo 3IQR
Bosque,132.5576171875,132.5576171875,,,24.0,1.0,ATL08_20221116210454_08721713_007_01.h5,2022-11-16,gt2l,-71.49756622314453,-42.691925048828125,Bosque cerrado desconocido,57.5001220703125,1
Bosque,118.3690185546875,118.3690185546875,,,24.0,2.0,ATL08_20211118142535_08721313_007_01.h5,2021-11-18,gt2r,-71.44102478027344,-42.61943435668945,Bosque cerrado desconocido,57.5001220703125,1
Bosque,59.681884765625,59.681884765625,,,27.0,4.0,ATL08_20210216151542_08341009_007_01.h5,2021-02-16,gt3l,-71.57710266113281,-42.682430267333984,Bosque abierto desconocido,57.5001220703125,1
Bosque,58.8623046875,64.7706298828125,,,60.0,2.0,ATL08_20210216151542_08341009_007_01.h5,2021-02-16,gt1l,-71.49546813964844,-42.673744201660156,Bosque cerrado desconocido,57.5001220703125,1
Bosque,53.9595947265625,53.9595947265625,,,33.0,2.0,ATL08_20190223140731_08720213_007_01.h5,2019-02-23,gt3r,-71.49761199951172,-42.6760368347168,Bosque cerrado desconocido,57.5001220703125,0
Bosque,49.6431884765625,49.6431884765625,,,27.0,2.0,ATL08_20190223140731_08720213_007_01.h5,2019-02-23,gt3r,-71.4991455078125,-42.66450881958008,Bosque abierto desconocido,57.5001220703125,0
Bosque,48.1351318359375,51.6741943359375,,,51.0,5.0,ATL08_20210216151542_08341009_007_01.h5,2021-02-16,gt1r,-71.49662017822266,-42.6756477355957,Bosque cerrado perennifolio latifolio,57.5001220703125,0
Bosque,39.1644287109375,39.1644287109375,,,32.0,4.0,ATL08_20221116210454_08721713_007_01.h5,2022-11-16,gt2l,-71.49828338623047,-42.68655776977539,Bosque cerrado desconocido,57.5001220703125,0
Bosque,38.572998046875,38.572998046875,,,40.0,2.0,ATL08_20210216151542_08341009_007_01.h5,2021-02-16,gt2r,-71.52909851074219,-42.60405731201172,Bosque cerrado perennifolio latifolio,57.5001220703125,0
Bosque,37.84375,38.29638671875,,,44.0,1.0,ATL08_20221116210454_08721713_007_01.h5,2022-11-16,gt1l,-71.54203796386719,-42.661319732666016,Bosque cerrado perennifolio latifolio,57.5001220703125,0
Bosque,37.8302001953125,40.0426025390625,,,53.0,4.0,ATL08_20221116210454_08721713_007_01.h5,2022-11-16,gt1l,-71.55170440673828,-42.58707046508789,Bosque cerrado desconocido,57.5001220703125,0
Bosque,37.13134765625,37.13134765625,,,20.0,4.0,ATL08_20210216151542_08341009_007_01.h5,2021-02-16,gt1l,-71.4908447265625,-42.62820053100586,Bosque cerrado perennifolio latifolio,57.5001220703125,0
Bosque,36.1241455078125,36.1241455078125,,,41.0,5.0,ATL08_20240213232239_08722213_007_01.h5,2024-02-13,gt2l,-71.49297332763672,-42.60329055786133,Bosque cerrado desconocido,57.5001220703125,0
