aoi,granule,acquisition_datetime,beam,longitude,latitude,delta_time,rgt,cycle,region,version,revision,orbit_number,sc_orient,segment_id_beg,segment_id_end,h_te_best_fit_m,h_te_uncertainty_m,h_canopy_m,h_canopy_uncertainty_m,h_max_canopy_m,canopy_openness_m,rh50_m,rh75_m,rh90_m,rh95_m,rh98_m,rh100_m,n_ca_photons,n_te_photons,segment_landcover,segment_snowcover,cloud_flag_atm,msw_flag,night_flag,terrain_flg,year,month,season,landcover_label,qa_valid_height,qa_operational,qa_uncertainty_available,qa_conservative,uncertainty_ratio,height_class,segment_key,este_utm19s,norte_utm19s,aoi_normalizado,nivel,dentro_aoi,fuera_del_borde_m,fecha,extremo_3iqr,fabdem_m,n_egm2008_m,n_geoide_ar16_m,delta_terreno_m,control_terreno
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54293060302734,-42.6911735534668,28319366.698607102,872.0,1.0,13.0,007,02,1073.0,1.0,1769717.0,1769720.0,1412.142822265625,,20.802978515625,,20.802978515625,4.364275932312012,,,,,,,36.0,4.0,116.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado desconocido,1,1,0,0,,20–30 m,872_gt1l_1769717,291689.3,5270343.5,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1394.07,21.740,21.969,-3.66,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54304504394531,-42.69028091430664,28319366.712696005,872.0,1.0,13.0,007,02,1073.0,1.0,1769722.0,1769726.0,1463.5933837890625,,27.14404296875,,27.6796875,6.715799331665039,,,,,,,96.0,4.0,116.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado desconocido,1,1,0,0,,20–30 m,872_gt1l_1769722,291676.9,5270442.3,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1449.58,21.738,21.967,-7.72,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54479217529297,-42.67686080932617,28319366.924147412,872.0,1.0,13.0,007,02,1073.0,1.0,1769797.0,1769801.0,1113.011962890625,,22.7833251953125,,22.921875,6.181380748748779,,,,,,,56.0,5.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,20–30 m,872_gt1l_1769797,291488.9,5271928.3,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1097.47,21.709,21.959,-6.17,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54491424560547,-42.675968170166016,28319366.938249398,872.0,1.0,13.0,007,02,1073.0,1.0,1769802.0,1769806.0,1102.8668212890625,,22.879150390625,,25.5819091796875,6.6544575691223145,,,,,,,60.0,2.0,116.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado desconocido,1,1,0,0,,20–30 m,872_gt1l_1769802,291475.9,5272027.1,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1091.91,21.707,21.960,-10.75,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54502868652344,-42.675071716308594,28319366.952354357,872.0,1.0,13.0,007,02,1073.0,1.0,1769808.0,1769811.0,1103.82666015625,,22.9801025390625,,26.0291748046875,6.338873863220215,,,,,,,55.0,4.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,20–30 m,872_gt1l_1769808,291463.5,5272126.4,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1088.99,21.705,21.960,-6.87,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54537963867188,-42.67238998413086,28319366.994622063,872.0,1.0,13.0,007,02,1073.0,1.0,1769822.0,1769826.0,1088.6737060546875,,23.582763671875,,24.0050048828125,6.509729385375977,,,,,,,69.0,2.0,126.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque abierto desconocido,1,1,0,0,,20–30 m,872_gt1l_1769822,291425.8,5272423.4,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1073.80,21.699,21.961,-6.82,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54549407958984,-42.67149353027344,28319367.008656565,872.0,1.0,13.0,007,02,1073.0,1.0,1769827.0,1769831.0,1089.466064453125,77.75824737548828,10.3958740234375,44.17817687988281,11.5216064453125,3.1328625679016113,,,,,,,34.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Arbustos,1,1,1,1,4.249587555628618,10–20 m,872_gt1l_1769827,291413.4,5272522.6,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1072.17,21.697,21.962,-4.40,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54561614990234,-42.67060089111328,28319367.022718955,872.0,1.0,13.0,007,02,1073.0,1.0,1769832.0,1769836.0,1087.4246826171875,,9.5958251953125,,9.764404296875,2.3465828895568848,,,,,,,51.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Herbáceas,1,1,0,0,,5–10 m,872_gt1l_1769832,291400.4,5272621.4,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1067.93,21.695,21.963,-2.20,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54573059082031,-42.66970443725586,28319367.03686562,872.0,1.0,13.0,007,02,1073.0,1.0,1769837.0,1769841.0,1079.499755859375,,17.4910888671875,,17.7095947265625,2.996006965637207,,,,,,,67.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Herbáceas,1,1,0,0,,10–20 m,872_gt1l_1769837,291388.0,5272720.7,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1062.97,21.693,21.963,-5.16,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54608154296875,-42.667022705078125,28319367.079190616,872.0,1.0,13.0,007,02,1073.0,1.0,1769852.0,1769856.0,1052.2972412109375,,19.45654296875,,21.1517333984375,4.890130043029785,,,,,,,95.0,2.0,116.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado desconocido,1,1,0,0,,10–20 m,872_gt1l_1769852,291350.3,5273017.7,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1030.06,21.687,21.965,0.55,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54642486572266,-42.664337158203125,28319367.12140686,872.0,1.0,13.0,007,02,1073.0,1.0,1769867.0,1769871.0,1107.3487548828125,,26.916259765625,,27.4964599609375,6.9582600593566895,,,,,,,70.0,3.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,20–30 m,872_gt1l_1769867,291313.2,5273315.0,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1092.92,21.681,21.952,-7.25,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54653930664062,-42.66344451904297,28319367.135484044,872.0,1.0,13.0,007,02,1073.0,1.0,1769872.0,1769876.0,1106.947021484375,,23.86669921875,,24.706787109375,6.831926345825195,,,,,,,68.0,5.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,20–30 m,872_gt1l_1769872,291300.8,5273413.9,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1087.51,21.678,21.948,-2.25,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.5466537475586,-42.66254806518555,28319367.149575923,872.0,1.0,13.0,007,02,1073.0,1.0,1769877.0,1769881.0,1102.4019775390625,39.389915466308594,16.274169921875,47.60184097290039,17.76904296875,4.194454669952393,,,,,,,56.0,28.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,1,1,2.924993483625617,10–20 m,872_gt1l_1769877,291288.4,5273513.2,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1082.54,21.676,21.943,-1.82,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54712677001953,-42.65896987915039,28319367.205933284,872.0,1.0,13.0,007,02,1073.0,1.0,1769897.0,1769901.0,1219.5059814453125,,17.5361328125,,18.4571533203125,4.557549953460693,,,,,,,53.0,1.0,114.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado caducifolio latifolio,1,1,0,0,,10–20 m,872_gt1l_1769897,291237.7,5273909.4,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1203.60,21.667,21.926,-5.76,DESCARTADO
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54735565185547,-42.65718078613281,28319367.23411214,872.0,1.0,13.0,007,02,1073.0,1.0,1769907.0,1769911.0,1199.9237060546875,,18.3970947265625,,19.2342529296875,4.636922836303711,,,,,,,41.0,1.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,10–20 m,872_gt1l_1769907,291212.9,5274107.5,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1178.94,21.662,21.917,-0.68,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54747009277344,-42.656288146972656,28319367.248281408,872.0,1.0,13.0,007,02,1073.0,1.0,1769912.0,1769916.0,1198.94140625,,16.9520263671875,,19.2449951171875,4.65606164932251,,,,,,,40.0,5.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,10–20 m,872_gt1l_1769912,291200.6,5274206.3,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1175.85,21.660,21.912,1.43,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.5475845336914,-42.655391693115234,28319367.262398627,872.0,1.0,13.0,007,02,1073.0,1.0,1769917.0,1769921.0,1194.50244140625,,22.26953125,,22.8946533203125,6.4364914894104,,,,,,,48.0,4.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,20–30 m,872_gt1l_1769917,291188.2,5274305.6,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1177.28,21.657,21.907,-4.44,PASA
BOSQUE_NW_02(3),ATL08_20181124182732_08720113_007_02.h5,2018-11-24T18:27:32Z,gt1l,-71.54782104492188,-42.653602600097656,28319367.290620595,872.0,1.0,13.0,007,02,1073.0,1.0,1769927.0,1769931.0,1205.39990234375,,21.7169189453125,,23.2052001953125,5.205355644226074,,,,,,,53.0,4.0,112.0,1.0,0.0,0.0,0.0,0.0,2018,11,Primavera,Bosque cerrado perennifolio latifolio,1,1,0,0,,20–30 m,872_gt1l_1769927,291162.8,5274503.7,BOSQUE_NW_02,operacional,SI,,2018-11-24,NO,1182.81,21.653,21.898,0.93,PASA
