shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
334320000400262730,-42.637040,-71.594858,1334.6172,1313.61,21.540,-0.53,PASA
334320000400262741,-42.640205,-71.588573,1303.4106,1285.05,21.555,-3.20,PASA
334320000400262742,-42.640493,-71.587999,1305.9578,1289.79,21.557,-5.39,FUERA_DE_UMBRAL
334320000400262746,-42.641651,-71.585689,1337.9109,1318.40,21.563,-2.05,PASA
334320000400262747,-42.641940,-71.585111,1347.4855,1331.52,21.564,-5.60,FUERA_DE_UMBRAL
334320000400262754,-42.643968,-71.581058,1423.0781,1401.17,21.575,0.33,PASA
334320000400262766,-42.647366,-71.574353,1091.0823,1079.24,21.593,-9.75,FUERA_DE_UMBRAL
334320000400262785,-42.653088,-71.562976,917.33813,896.70,21.625,-0.99,PASA
334320000400262792,-42.655113,-71.558922,994.0831,973.54,21.636,-1.09,PASA
334320000400262799,-42.657430,-71.554287,1084.1539,1055.35,21.650,7.16,FUERA_DE_UMBRAL
334320000400262858,-42.674468,-71.520394,1209.8843,1193.41,21.736,-5.27,FUERA_DE_UMBRAL
334320000400262859,-42.674757,-71.519820,1211.3269,1198.64,21.737,-9.06,FUERA_DE_UMBRAL
334320000400262866,-42.676783,-71.515787,1240.9305,1231.24,21.745,-12.05,FUERA_DE_UMBRAL
334320000400262877,-42.679983,-71.509412,1362.7559,1344.35,21.757,-3.36,PASA
334320000400262885,-42.682284,-71.504861,1298.7028,1280.30,21.765,-3.36,PASA
334320000400262886,-42.682573,-71.504289,1297.0762,1280.41,21.766,-5.10,FUERA_DE_UMBRAL
334320000400262908,-42.688886,-71.491779,1121.489,1103.50,21.782,-3.79,PASA
334320000400262910,-42.689460,-71.490635,1116.8303,1095.88,21.783,-0.83,PASA
334320000400262917,-42.691471,-71.486632,1098.0684,1081.59,21.786,-5.31,FUERA_DE_UMBRAL
334320000400262924,-42.693483,-71.482623,1085.5044,1067.94,21.789,-4.22,PASA
334320100400258132,-42.645724,-71.591012,1294.8032,1265.35,21.562,7.90,FUERA_DE_UMBRAL
334320100400258139,-42.647753,-71.586956,1379.3749,1356.31,21.572,1.49,PASA
334320100400258140,-42.648041,-71.586382,1380.7686,1362.97,21.574,-3.77,PASA
334320100400258143,-42.648904,-71.584667,1373.5646,1356.57,21.578,-4.59,PASA
334320100400258144,-42.649192,-71.584092,1375.8932,1360.40,21.580,-6.09,FUERA_DE_UMBRAL
