shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
332030300400193455,-42.712545,-71.039862,947.53046,925.47,21.213,0.85,PASA
332030300400193460,-42.713977,-71.036996,951.6454,929.05,21.204,1.39,PASA
332030500400193388,-42.711297,-71.061601,965.8925,943.30,21.285,1.31,PASA
332030500400193389,-42.711584,-71.061028,963.399,940.96,21.283,1.15,PASA
332030500400193390,-42.711869,-71.060457,957.578,935.60,21.281,0.69,PASA
332030500400193391,-42.712154,-71.059888,947.4775,927.40,21.279,-1.20,PASA
332030500400193392,-42.712440,-71.059315,945.8152,921.48,21.277,3.06,PASA
332030500400193393,-42.712724,-71.058747,934.2229,912.70,21.275,0.25,PASA
332030500400193394,-42.713012,-71.058170,940.61426,918.25,21.273,1.09,PASA
332030500400193395,-42.713302,-71.057589,954.42194,932.95,21.271,0.20,PASA
332030500400193396,-42.713591,-71.057012,961.3544,938.29,21.269,1.79,PASA
332030500400193397,-42.713878,-71.056437,964.3358,941.52,21.266,1.55,PASA
332030500400193398,-42.714165,-71.055862,964.81976,942.54,21.264,1.02,PASA
332030500400193399,-42.714454,-71.055284,973.44305,949.43,21.262,2.76,PASA
332030500400193400,-42.714741,-71.054709,974.6449,955.36,21.260,-1.98,PASA
332030500400193401,-42.715029,-71.054132,981.3444,959.54,21.258,0.54,PASA
332030500400193402,-42.715316,-71.053557,982.068,960.29,21.256,0.52,PASA
332030500400193403,-42.715603,-71.052983,983.55334,961.08,21.254,1.22,PASA
332030500400193404,-42.715890,-71.052408,985.3727,962.56,21.252,1.56,PASA
332030500400193405,-42.716177,-71.051833,985.15826,962.60,21.249,1.31,PASA
332030500400193406,-42.716463,-71.051261,981.3389,960.48,21.247,-0.38,PASA
332030500400193407,-42.716750,-71.050685,985.0508,962.91,21.245,0.90,PASA
332030500400193408,-42.717037,-71.050111,984.314,962.35,21.243,0.72,PASA
332030500400193409,-42.717324,-71.049537,983.96906,962.22,21.241,0.51,PASA
332030500400193410,-42.717610,-71.048963,984.0344,962.03,21.239,0.76,PASA
332030500400193411,-42.717898,-71.048387,988.31067,964.53,21.237,2.54,PASA
332030500400193412,-42.718186,-71.047811,992.23676,969.97,21.235,1.04,PASA
332030500400193413,-42.718473,-71.047235,995.8692,973.36,21.233,1.28,PASA
332030500400193414,-42.718760,-71.046660,997.33374,975.74,21.231,0.36,PASA
332030500400193415,-42.719046,-71.046087,994.7689,974.36,21.228,-0.82,PASA
332030500400193416,-42.719335,-71.045509,1002.83606,977.18,21.226,4.43,PASA
332030500400193417,-42.719621,-71.044935,1002.51495,980.20,21.224,1.09,PASA
332030500400193418,-42.719909,-71.044359,1004.59406,981.21,21.222,2.16,PASA
