shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
334320000400262730,-42.637040,-71.594858,16.05,19.38,DBT_SA,hoja_caida,57.162918,169
334320000400262741,-42.640205,-71.588573,15.79,6.96,DBT_SA,hoja_caida,55.68749,181
334320000400262742,-42.640493,-71.587999,19.16,8.61,DBT_SA,hoja_caida,85.34315,202
334320000400262746,-42.641651,-71.585689,17.73,10.09,DBT_SA,hoja_caida,60.52808,203
334320000400262747,-42.641940,-71.585111,21.1,18.24,DBT_SA,hoja_caida,100.37145,176
334320000400262754,-42.643968,-71.581058,5.35,7.14,DBT_SA,hoja_caida,0.36578357,195
334320000400262766,-42.647366,-71.574353,23.5,12.46,DBT_SA,hoja_caida,141.81273,200
334320000400262785,-42.653088,-71.562976,7.89,17.60,DBT_SA,hoja_caida,3.4054728,205
334320000400262792,-42.655113,-71.558922,6.66,11.53,DBT_SA,hoja_caida,1.7247169,0
334320000400262799,-42.657430,-71.554287,2.73,9.48,DBT_SA,hoja_caida,0.0,197
334320000400262858,-42.674468,-71.520394,17.62,17.42,DBT_SA,hoja_caida,66.54872,86
334320000400262859,-42.674757,-71.519820,20.35,9.35,DBT_SA,hoja_caida,106.49631,114
334320000400262866,-42.676783,-71.515787,25.55,14.14,DBT_SA,hoja_caida,173.39348,201
334320000400262877,-42.679983,-71.509412,10.81,8.04,DBT_SA,hoja_caida,16.005497,151
334320000400262885,-42.682284,-71.504861,11.26,15.40,DBT_SA,hoja_caida,21.004143,194
334320000400262886,-42.682573,-71.504289,12.23,14.22,DBT_SA,hoja_caida,11.680699,194
334320000400262908,-42.688886,-71.491779,15.75,13.24,DBT_SA,hoja_caida,21.553598,142
334320000400262910,-42.689460,-71.490635,13.8,5.96,DBT_SA,hoja_caida,40.134487,183
334320000400262917,-42.691471,-71.486632,24.62,11.06,DBT_SA,hoja_caida,162.39902,177
334320000400262924,-42.693483,-71.482623,21.21,3.32,DBT_SA,hoja_caida,55.66497,0
