shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
332030300400193455,-42.712545,-71.039862,2.88,5.23,,,,0
332030300400193460,-42.713977,-71.036996,4.52,6.86,,,,0
332030500400193388,-42.711297,-71.061601,2.39,3.16,,,,0
332030500400193389,-42.711584,-71.061028,2.43,5.15,,,,0
332030500400193390,-42.711869,-71.060457,2.61,8.06,,,,0
332030500400193391,-42.712154,-71.059888,3.06,8.05,,,,0
332030500400193392,-42.712440,-71.059315,3.18,10.66,,,,7
332030500400193393,-42.712724,-71.058747,2.65,6.82,,,,7
332030500400193394,-42.713012,-71.058170,6.13,14.36,,,,8
332030500400193395,-42.713302,-71.057589,4.86,12.23,,,,8
332030500400193396,-42.713591,-71.057012,2.54,6.31,,,,8
332030500400193397,-42.713878,-71.056437,2.8,6.10,,,,7
332030500400193398,-42.714165,-71.055862,2.73,6.57,,,,11
332030500400193399,-42.714454,-71.055284,4.26,8.38,,,,11
332030500400193400,-42.714741,-71.054709,8.38,6.25,,,,0
332030500400193401,-42.715029,-71.054132,2.73,3.22,,,,0
332030500400193402,-42.715316,-71.053557,2.54,1.65,,,,0
332030500400193403,-42.715603,-71.052983,2.8,3.14,,,,0
332030500400193404,-42.715890,-71.052408,2.65,4.27,,,,0
332030500400193405,-42.716177,-71.051833,2.43,3.80,,,,0
332030500400193406,-42.716463,-71.051261,3.33,2.88,,,,0
332030500400193407,-42.716750,-71.050685,2.58,2.89,,,,0
332030500400193408,-42.717037,-71.050111,2.5,1.49,,,,0
332030500400193409,-42.717324,-71.049537,2.54,1.81,,,,0
332030500400193410,-42.717610,-71.048963,2.69,2.64,,,,0
332030500400193411,-42.717898,-71.048387,4.0,6.04,,,,0
332030500400193412,-42.718186,-71.047811,2.69,5.44,,,,0
332030500400193413,-42.718473,-71.047235,2.8,4.28,,,,0
332030500400193414,-42.718760,-71.046660,2.73,2.56,,,,0
332030500400193415,-42.719046,-71.046087,2.73,2.39,,,,0
332030500400193416,-42.719335,-71.045509,3.06,6.01,,,,0
332030500400193417,-42.719621,-71.044935,3.14,4.94,,,,0
332030500400193418,-42.719909,-71.044359,2.84,5.69,,,,0
332030500400193419,-42.720196,-71.043783,6.99,14.74,,,,0
332030500400193421,-42.720777,-71.042618,3.14,12.76,,,,0
332030500400193422,-42.721062,-71.042047,4.79,13.85,,,,0
332030500400193423,-42.721346,-71.041480,5.42,16.09,,,,0
332030500400193424,-42.721632,-71.040907,3.74,7.09,,,,0
332030500400193425,-42.721919,-71.040331,2.58,6.62,,,,0
332030500400193426,-42.722204,-71.039759,3.4,6.35,,,,0
332030500400193427,-42.722491,-71.039185,3.21,7.67,,,,0
332030500400193428,-42.722779,-71.038608,3.21,8.18,,,,0
332030500400193429,-42.723065,-71.038035,3.33,6.92,,,,1
332030500400193430,-42.723352,-71.037460,3.59,11.53,,,,1
332030500400193431,-42.723639,-71.036883,7.55,15.85,,,,0
332030500400193432,-42.723929,-71.036303,4.75,16.92,,,,0
332030500400193433,-42.724218,-71.035724,2.54,11.97,,,,0
332030500400193434,-42.724504,-71.035151,3.21,6.11,,,,0
332030500400193435,-42.724789,-71.034578,3.66,7.72,,,,0
332030500400193436,-42.725075,-71.034007,3.48,7.84,,,,0
332030500400193437,-42.725361,-71.033434,3.06,6.46,,,,0
332030500400193438,-42.725647,-71.032861,3.25,6.35,,,,0
332030500400193439,-42.725933,-71.032288,2.91,6.89,,,,0
332030500400193440,-42.726218,-71.031716,2.65,5.51,,,,0
332030500400193441,-42.726504,-71.031143,2.58,5.51,,,,0
