aoi,franja_rh98_m,n,L4A_mediana,CCI_mediana,razon_CCI_L4A
BOSQUE_NW_02,0-3,25,0.0,71.0,
BOSQUE_NW_02,3-6,188,2.1,130.5,62.5
BOSQUE_NW_02,6-9,87,4.0,143.0,35.8
BOSQUE_NW_02,9-12,47,15.6,158.0,10.1
BOSQUE_NW_02,12-15,27,29.5,160.0,5.4
BOSQUE_NW_02,15-18,24,53.2,168.5,3.2
BOSQUE_NW_02,18-25,69,105.7,181.0,1.7
BOSQUE_NW_02,25-60,28,175.0,174.5,1.0
BOSQUE_NW_02,TODAS,495,15.0,146.0,
ESTEPA_NW_02,0-3,352,1.3,0.0,0.0
ESTEPA_NW_02,3-6,572,4.3,0.0,0.0
ESTEPA_NW_02,6-60,205,18.4,0.0,0.0
ESTEPA_NW_02,TODAS,1129,3.4,0.0,
