recinto,ventana,celda_col,celda_fil,este_centro,norte_centro,n_gedi,n_atl08,mediana_gedi_rh98_m,mediana_atl08_hcanopy_m,diferencia_m
BOSQUE_NW_02,todo,1,0,287950.0,5270450.0,7,3,6.17,9.50,3.33
BOSQUE_NW_02,todo,1,3,287950.0,5271950.0,7,4,2.95,6.11,3.16
BOSQUE_NW_02,todo,6,6,290450.0,5273450.0,8,3,6.29,6.37,0.07
BOSQUE_NW_02,todo,6,29,290450.0,5284950.0,4,4,11.30,18.46,7.16
BOSQUE_NW_02,todo,8,2,291450.0,5271450.0,4,4,19.29,18.05,-1.24
BOSQUE_NW_02,todo,9,2,291950.0,5271450.0,4,5,12.76,22.40,9.64
BOSQUE_NW_02,todo,12,24,293450.0,5282450.0,7,5,4.53,7.27,2.74
BOSQUE_NW_02,todo,13,23,293950.0,5281950.0,4,6,5.12,12.42,7.29
BOSQUE_NW_02,todo,13,24,293950.0,5282450.0,4,4,6.64,16.84,10.20
BOSQUE_NW_02,todo,13,25,293950.0,5282950.0,4,3,5.87,9.91,4.04
BOSQUE_NW_02,todo,16,23,295450.0,5281950.0,5,3,6.17,8.05,1.88
BOSQUE_NW_02,todo,17,20,295950.0,5280450.0,6,5,6.06,14.58,8.52
BOSQUE_NW_02,todo,17,21,295950.0,5280950.0,4,7,6.44,9.13,2.69
BOSQUE_NW_02,todo,17,22,295950.0,5281450.0,6,10,5.14,11.35,6.20
BOSQUE_NW_02,todo,20,20,297450.0,5280450.0,10,3,4.54,5.17,0.62
BOSQUE_NW_02,todo,23,20,298950.0,5280450.0,8,3,5.22,21.90,16.68
BOSQUE_NW_02,todo,26,18,300450.0,5279450.0,3,3,3.70,16.87,13.17
BOSQUE_NW_02,todo,27,21,300950.0,5280950.0,10,4,19.06,15.81,-3.25
BOSQUE_NW_02,todo,27,22,300950.0,5281450.0,3,3,21.04,27.14,6.10
BOSQUE_NW_02,todo,28,13,301450.0,5276950.0,7,4,4.75,9.26,4.51
BOSQUE_NW_02,todo,29,16,301950.0,5278450.0,9,3,3.81,6.26,2.45
ESTEPA_NW_02,todo,0,13,319350.0,5260950.0,7,3,7.13,20.03,12.90
ESTEPA_NW_02,todo,2,5,320350.0,5256950.0,6,4,8.20,14.97,6.77
ESTEPA_NW_02,todo,2,6,320350.0,5257450.0,10,6,4.93,20.52,15.60
ESTEPA_NW_02,todo,2,8,320350.0,5258450.0,3,6,4.89,13.23,8.34
ESTEPA_NW_02,todo,2,9,320350.0,5258950.0,4,6,12.59,15.19,2.60
ESTEPA_NW_02,todo,2,12,320350.0,5260450.0,3,3,15.13,10.68,-4.45
ESTEPA_NW_02,todo,2,17,320350.0,5262950.0,5,3,5.11,4.12,-0.99
ESTEPA_NW_02,todo,3,24,320850.0,5266450.0,3,3,3.93,11.61,7.68
ESTEPA_NW_02,todo,3,25,320850.0,5266950.0,4,4,5.20,16.69,11.49
ESTEPA_NW_02,todo,3,26,320850.0,5267450.0,3,3,2.84,15.43,12.59
ESTEPA_NW_02,todo,6,12,322350.0,5260450.0,4,4,4.20,15.92,11.72
ESTEPA_NW_02,todo,9,10,323850.0,5259450.0,10,5,5.09,8.50,3.40
ESTEPA_NW_02,todo,9,12,323850.0,5260450.0,9,8,4.14,6.93,2.79
ESTEPA_NW_02,todo,9,13,323850.0,5260950.0,8,4,3.86,11.45,7.59
ESTEPA_NW_02,todo,9,14,323850.0,5261450.0,3,8,3.25,9.67,6.42
ESTEPA_NW_02,todo,9,15,323850.0,5261950.0,5,12,3.62,10.29,6.67
ESTEPA_NW_02,todo,9,20,323850.0,5264450.0,5,3,3.85,6.44,2.59
ESTEPA_NW_02,todo,10,9,324350.0,5258950.0,9,3,3.32,6.36,3.04
ESTEPA_NW_02,todo,10,10,324350.0,5259450.0,3,3,2.83,4.51,1.68
ESTEPA_NW_02,todo,10,16,324350.0,5262450.0,8,5,2.73,11.13,8.40
ESTEPA_NW_02,todo,11,10,324850.0,5259450.0,9,3,5.79,4.65,-1.14
ESTEPA_NW_02,todo,11,11,324850.0,5259950.0,7,6,6.38,6.00,-0.38
ESTEPA_NW_02,todo,11,12,324850.0,5260450.0,3,6,6.68,9.22,2.54
ESTEPA_NW_02,todo,12,16,325350.0,5262450.0,9,3,4.48,5.20,0.72
ESTEPA_NW_02,todo,13,16,325850.0,5262450.0,11,3,4.07,6.98,2.91
ESTEPA_NW_02,todo,14,13,326350.0,5260950.0,9,3,3.81,11.19,7.38
ESTEPA_NW_02,todo,14,15,326350.0,5261950.0,18,5,3.44,10.71,7.27
ESTEPA_NW_02,todo,16,19,327350.0,5263950.0,5,5,3.37,8.06,4.69
ESTEPA_NW_02,todo,16,20,327350.0,5264450.0,3,3,2.88,10.14,7.26
ESTEPA_NW_02,todo,17,13,327850.0,5260950.0,11,3,3.21,4.34,1.13
ESTEPA_NW_02,todo,17,15,327850.0,5261950.0,13,4,2.54,10.79,8.25
ESTEPA_NW_02,todo,17,16,327850.0,5262450.0,12,6,3.10,9.32,6.22
ESTEPA_NW_02,todo,18,22,328350.0,5265450.0,5,4,2.54,11.05,8.51
ESTEPA_NW_02,todo,18,28,328350.0,5268450.0,10,7,3.14,5.18,2.04
ESTEPA_NW_02,todo,18,29,328350.0,5268950.0,5,8,4.00,5.26,1.26
ESTEPA_NW_02,todo,19,10,328850.0,5259450.0,7,7,2.62,4.27,1.65
ESTEPA_NW_02,todo,19,11,328850.0,5259950.0,3,3,2.88,10.24,7.36
ESTEPA_NW_02,todo,19,12,328850.0,5260450.0,10,4,2.99,7.45,4.46
ESTEPA_NW_02,todo,19,19,328850.0,5263950.0,19,4,3.06,3.56,0.50
ESTEPA_NW_02,todo,19,20,328850.0,5264450.0,11,3,2.76,3.88,1.12
ESTEPA_NW_02,todo,19,21,328850.0,5264950.0,13,4,2.65,2.38,-0.27
ESTEPA_NW_02,todo,20,10,329350.0,5259450.0,10,4,2.73,2.77,0.04
ESTEPA_NW_02,todo,20,11,329350.0,5259950.0,10,6,2.88,10.84,7.96
ESTEPA_NW_02,todo,20,13,329350.0,5260950.0,9,6,2.62,7.01,4.39
ESTEPA_NW_02,todo,20,15,329350.0,5261950.0,9,3,2.84,4.67,1.83
ESTEPA_NW_02,todo,20,16,329350.0,5262450.0,9,4,2.80,7.41,4.61
ESTEPA_NW_02,todo,20,18,329350.0,5263450.0,11,3,3.10,6.93,3.83
ESTEPA_NW_02,todo,20,19,329350.0,5263950.0,6,3,2.46,8.04,5.58
ESTEPA_NW_02,todo,20,20,329350.0,5264450.0,16,9,2.83,10.11,7.28
ESTEPA_NW_02,todo,20,21,329350.0,5264950.0,11,11,2.72,10.62,7.90
ESTEPA_NW_02,todo,20,22,329350.0,5265450.0,5,6,2.80,10.81,8.01
ESTEPA_NW_02,todo,21,11,329850.0,5259950.0,7,5,3.55,14.75,11.20
ESTEPA_NW_02,todo,21,14,329850.0,5261450.0,11,5,2.73,13.02,10.29
ESTEPA_NW_02,todo,21,27,329850.0,5267950.0,3,3,2.58,9.12,6.54
ESTEPA_NW_02,todo,22,8,330350.0,5258450.0,5,3,2.62,13.46,10.84
ESTEPA_NW_02,todo,22,10,330350.0,5259450.0,11,3,2.77,7.55,4.78
ESTEPA_NW_02,todo,23,8,330850.0,5258450.0,11,9,2.77,12.04,9.27
ESTEPA_NW_02,todo,23,9,330850.0,5258950.0,8,8,2.43,12.28,9.85
ESTEPA_NW_02,todo,23,11,330850.0,5259950.0,8,4,3.04,11.12,8.07
ESTEPA_NW_02,todo,23,12,330850.0,5260450.0,3,4,3.78,11.76,7.98
ESTEPA_NW_02,todo,23,28,330850.0,5268450.0,9,7,3.33,5.92,2.59
ESTEPA_NW_02,todo,23,29,330850.0,5268950.0,3,8,2.73,6.21,3.48
ESTEPA_NW_02,todo,24,14,331350.0,5261450.0,3,7,3.07,14.28,11.21
ESTEPA_NW_02,todo,24,19,331350.0,5263950.0,10,10,3.53,12.32,8.79
ESTEPA_NW_02,todo,24,20,331350.0,5264450.0,3,14,2.76,11.67,8.91
ESTEPA_NW_02,todo,24,21,331350.0,5264950.0,8,7,4.28,10.31,6.04
ESTEPA_NW_02,todo,24,22,331350.0,5265450.0,6,7,2.54,9.12,6.59
ESTEPA_NW_02,todo,24,23,331350.0,5265950.0,9,10,3.32,13.32,10.00
ESTEPA_NW_02,todo,24,24,331350.0,5266450.0,21,12,2.76,9.84,7.08
ESTEPA_NW_02,todo,24,25,331350.0,5266950.0,6,4,2.69,8.87,6.18
ESTEPA_NW_02,todo,24,26,331350.0,5267450.0,16,3,2.93,7.78,4.85
ESTEPA_NW_02,todo,24,27,331350.0,5267950.0,6,5,2.93,11.32,8.39
ESTEPA_NW_02,todo,25,11,331850.0,5259950.0,4,10,2.50,10.38,7.88
ESTEPA_NW_02,todo,25,23,331850.0,5265950.0,18,3,2.97,3.04,0.07
ESTEPA_NW_02,todo,25,25,331850.0,5266950.0,23,6,3.14,9.86,6.72
ESTEPA_NW_02,todo,25,26,331850.0,5267450.0,4,3,3.13,7.65,4.51
ESTEPA_NW_02,todo,25,27,331850.0,5267950.0,22,6,2.78,7.93,5.15
ESTEPA_NW_02,todo,25,28,331850.0,5268450.0,4,9,2.62,9.30,6.69
ESTEPA_NW_02,todo,25,29,331850.0,5268950.0,8,7,2.76,4.97,2.21
ESTEPA_NW_02,todo,26,6,332350.0,5257450.0,7,3,3.07,14.37,11.30
ESTEPA_NW_02,todo,26,8,332350.0,5258450.0,4,6,2.60,5.41,2.81
ESTEPA_NW_02,todo,26,9,332350.0,5258950.0,6,4,2.67,17.02,14.35
ESTEPA_NW_02,todo,26,10,332350.0,5259450.0,3,4,3.33,4.80,1.47
ESTEPA_NW_02,todo,26,20,332350.0,5264450.0,5,5,4.85,6.49,1.64
ESTEPA_NW_02,todo,26,21,332350.0,5264950.0,5,5,6.09,8.14,2.05
ESTEPA_NW_02,todo,26,24,332350.0,5266450.0,20,4,2.93,9.46,6.53
ESTEPA_NW_02,todo,26,28,332350.0,5268450.0,20,3,2.76,13.04,10.27
ESTEPA_NW_02,todo,27,5,332850.0,5256950.0,9,4,5.31,11.67,6.36
ESTEPA_NW_02,todo,27,6,332850.0,5257450.0,3,11,4.68,11.22,6.54
ESTEPA_NW_02,todo,27,7,332850.0,5257950.0,9,10,2.43,10.62,8.19
ESTEPA_NW_02,todo,27,9,332850.0,5258950.0,10,5,2.86,6.36,3.50
ESTEPA_NW_02,todo,27,10,332850.0,5259450.0,8,5,2.76,9.52,6.76
ESTEPA_NW_02,todo,27,12,332850.0,5260450.0,3,6,3.07,9.60,6.53
ESTEPA_NW_02,todo,27,22,332850.0,5265450.0,11,4,2.84,8.06,5.22
ESTEPA_NW_02,todo,28,4,333350.0,5256450.0,3,6,3.10,8.24,5.14
ESTEPA_NW_02,todo,28,9,333350.0,5258950.0,3,4,2.62,13.46,10.84
ESTEPA_NW_02,todo,28,10,333350.0,5259450.0,8,5,2.58,10.02,7.44
ESTEPA_NW_02,todo,29,4,333850.0,5256450.0,9,11,2.50,9.17,6.67
ESTEPA_NW_02,todo,29,6,333850.0,5257450.0,5,3,2.35,12.49,10.14
ESTEPA_NW_02,todo,29,23,333850.0,5265950.0,12,6,2.95,8.49,5.54
ESTEPA_NW_02,todo,29,27,333850.0,5267950.0,11,4,3.55,9.78,6.23
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,6,12,322350.0,5260450.0,4,4,4.20,15.92,11.72
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,9,12,323850.0,5260450.0,9,4,4.14,6.65,2.51
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,10,9,324350.0,5258950.0,9,3,3.32,6.36,3.04
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,10,10,324350.0,5259450.0,3,3,2.83,4.51,1.68
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,19,10,328850.0,5259450.0,7,4,2.62,7.29,4.67
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,19,11,328850.0,5259950.0,3,3,2.88,10.24,7.36
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,20,16,329350.0,5262450.0,9,3,2.80,8.21,5.41
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,20,20,329350.0,5264450.0,16,4,2.83,9.83,7.00
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,20,21,329350.0,5264950.0,11,4,2.72,9.18,6.46
ESTEPA_NW_02,ventana_gedi_2024-10-22_a_2025-03-30,21,27,329850.0,5267950.0,3,3,2.58,9.12,6.54
