recinto,ventana,celda_col,celda_fil,este_centro,norte_centro,n_gedi,n_atl08,mediana_gedi_rh98_m,mediana_atl08_hcanopy_m,diferencia_m
BOSQUE_NW_02,todo,1,3,287950.0,5271950.0,7,4,2.95,6.11,3.16
BOSQUE_NW_02,todo,6,6,290450.0,5273450.0,8,3,6.29,6.37,0.07
BOSQUE_NW_02,todo,12,24,293450.0,5282450.0,7,4,4.53,7.02,2.49
BOSQUE_NW_02,todo,13,23,293950.0,5281950.0,4,6,5.12,12.42,7.29
BOSQUE_NW_02,todo,13,24,293950.0,5282450.0,4,4,6.64,16.84,10.20
BOSQUE_NW_02,todo,17,21,295950.0,5280950.0,4,7,6.44,9.13,2.69
BOSQUE_NW_02,todo,17,22,295950.0,5281450.0,6,4,5.14,8.16,3.02
BOSQUE_NW_02,todo,26,18,300450.0,5279450.0,3,3,3.70,16.87,13.17
BOSQUE_NW_02,todo,28,13,301450.0,5276950.0,7,3,4.75,11.46,6.71
BOSQUE_NW_02,todo,29,16,301950.0,5278450.0,9,3,3.81,6.26,2.45
ESTEPA_NW_02,todo,2,6,320350.0,5257450.0,10,5,4.93,19.06,14.13
ESTEPA_NW_02,todo,2,8,320350.0,5258450.0,3,4,4.89,11.97,7.08
ESTEPA_NW_02,todo,2,9,320350.0,5258950.0,4,3,12.59,14.06,1.47
ESTEPA_NW_02,todo,2,12,320350.0,5260450.0,3,3,15.13,10.68,-4.45
ESTEPA_NW_02,todo,2,17,320350.0,5262950.0,5,3,5.11,4.12,-0.99
ESTEPA_NW_02,todo,3,25,320850.0,5266950.0,4,3,5.20,18.06,12.86
ESTEPA_NW_02,todo,6,12,322350.0,5260450.0,4,3,4.20,16.17,11.97
ESTEPA_NW_02,todo,9,10,323850.0,5259450.0,10,5,5.09,8.50,3.40
ESTEPA_NW_02,todo,9,12,323850.0,5260450.0,9,7,4.14,7.27,3.13
ESTEPA_NW_02,todo,9,13,323850.0,5260950.0,8,3,3.86,14.40,10.54
ESTEPA_NW_02,todo,9,14,323850.0,5261450.0,3,7,3.25,9.83,6.58
