celda_col,celda_fil,este_centro,norte_centro,n_huellas,agbd_gedi_Mg_ha,agbd_cci2024_Mg_ha,dif_cci_menos_gedi_Mg_ha
0,0,287450.0,5270450.0,3,2.4,108.3,105.9
0,1,287450.0,5270950.0,4,0.0,184.7,184.7
0,2,287450.0,5271450.0,6,34.0,170.4,136.4
1,0,287950.0,5270450.0,7,0.8,129.4,128.6
1,1,287950.0,5270950.0,5,4.4,129.5,125.0
1,9,287950.0,5274950.0,3,5.4,120.4,115.1
1,11,287950.0,5275950.0,4,72.9,183.6,110.6
2,0,288450.0,5270450.0,4,5.7,197.1,191.4
2,1,288450.0,5270950.0,5,0.9,185.4,184.5
2,2,288450.0,5271450.0,4,0.3,175.4,175.1
2,3,288450.0,5271950.0,3,0.0,35.3,35.3
2,4,288450.0,5272450.0,7,0.0,85.7,85.7
3,0,288950.0,5270450.0,4,10.7,182.4,171.7
3,3,288950.0,5271950.0,4,0.0,136.2,136.2
3,5,288950.0,5272950.0,3,4.5,186.0,181.5
4,1,289450.0,5270950.0,4,189.1,137.0,-52.1
4,2,289450.0,5271450.0,3,1.5,159.7,158.2
4,6,289450.0,5273450.0,3,2.0,131.5,129.5
4,9,289450.0,5274950.0,3,19.5,134.0,114.5
5,0,289950.0,5270450.0,7,10.8,159.3,148.4
5,2,289950.0,5271450.0,8,28.9,67.2,38.2
6,0,290450.0,5270450.0,8,2.2,145.9,143.7
6,1,290450.0,5270950.0,10,51.9,153.6,101.7
6,3,290450.0,5271950.0,4,19.1,110.0,90.9
6,4,290450.0,5272450.0,3,5.9,182.2,176.3
6,5,290450.0,5272950.0,3,3.0,183.9,180.9
6,6,290450.0,5273450.0,6,2.8,183.2,180.4
6,27,290450.0,5283950.0,4,30.0,137.0,107.1
6,29,290450.0,5284950.0,4,52.5,95.2,42.7
7,3,290950.0,5271950.0,3,127.7,177.9,50.2
8,2,291450.0,5271450.0,4,77.6,202.1,124.5
8,5,291450.0,5272950.0,3,0.1,123.8,123.7
9,3,291950.0,5271950.0,5,89.9,183.6,93.7
11,24,292950.0,5282450.0,4,27.4,139.9,112.5
12,24,293450.0,5282450.0,5,19.7,124.4,104.7
13,23,293950.0,5281950.0,4,20.8,161.3,140.5
13,24,293950.0,5282450.0,3,26.7,156.7,130.1
13,25,293950.0,5282950.0,4,23.1,126.1,103.0
14,0,294450.0,5270450.0,3,37.6,158.8,121.2
14,24,294450.0,5282450.0,9,23.8,148.9,125.1
15,23,294950.0,5281950.0,3,20.8,153.9,133.1
16,23,295450.0,5281950.0,5,24.6,84.2,59.6
17,20,295950.0,5280450.0,5,1.3,116.2,114.9
17,21,295950.0,5280950.0,4,0.9,169.6,168.7
17,22,295950.0,5281450.0,6,19.8,130.3,110.5
18,21,296450.0,5280950.0,9,20.4,161.9,141.5
18,23,296450.0,5281950.0,3,17.0,80.0,62.9
18,25,296450.0,5282950.0,4,23.1,71.5,48.4
19,19,296950.0,5279950.0,3,0.0,167.6,167.6
19,21,296950.0,5280950.0,3,26.8,187.1,160.3
19,23,296950.0,5281950.0,4,16.8,102.8,86.0
19,24,296950.0,5282450.0,3,27.5,37.3,9.8
20,20,297450.0,5280450.0,9,0.0,121.8,121.8
21,19,297950.0,5279950.0,3,0.0,144.1,144.1
21,21,297950.0,5280950.0,3,0.0,167.3,167.3
22,22,298450.0,5281450.0,5,0.1,156.1,156.0
23,20,298950.0,5280450.0,7,0.6,138.0,137.4
23,21,298950.0,5280950.0,3,170.3,135.9,-34.5
24,19,299450.0,5279950.0,6,130.3,123.3,-6.9
24,20,299450.0,5280450.0,3,173.7,147.3,-26.4
24,21,299450.0,5280950.0,5,0.0,126.7,126.7
24,23,299450.0,5281950.0,3,0.1,142.7,142.6
25,19,299950.0,5279950.0,8,0.0,75.9,75.9
25,20,299950.0,5280450.0,5,88.8,106.2,17.3
25,24,299950.0,5282450.0,3,0.0,155.4,155.4
26,19,300450.0,5279950.0,4,21.3,65.7,44.4
26,20,300450.0,5280450.0,6,0.0,77.7,77.6
27,14,300950.0,5277450.0,3,133.4,67.0,-66.4
27,15,300950.0,5277950.0,4,5.9,58.2,52.3
28,13,301450.0,5276950.0,7,6.2,56.8,50.6
28,14,301450.0,5277450.0,4,3.9,13.2,9.4
28,15,301450.0,5277950.0,6,4.2,44.3,40.1
28,20,301450.0,5280450.0,4,128.1,152.1,24.0
28,21,301450.0,5280950.0,3,105.2,84.4,-20.8
28,22,301450.0,5281450.0,4,81.1,122.0,40.9
29,13,301950.0,5276950.0,8,3.4,67.9,64.6
29,14,301950.0,5277450.0,8,3.9,77.3,73.5
29,16,301950.0,5278450.0,4,3.8,88.7,84.9
