celda_col,celda_fil,este_centro,norte_centro,n_huellas,agbd_gedi_Mg_ha,agbd_cci2024_Mg_ha,dif_cci_menos_gedi_Mg_ha
0,2,319350.0,5255450.0,7,70.3,82.3,12.0
0,4,319350.0,5256450.0,7,8.2,23.8,15.6
0,6,319350.0,5257450.0,5,11.0,0.0,-11.0
0,7,319350.0,5257950.0,3,79.2,56.4,-22.7
0,8,319350.0,5258450.0,5,16.4,25.7,9.3
0,24,319350.0,5266450.0,5,9.8,46.0,36.2
1,4,319850.0,5256450.0,9,13.6,50.3,36.7
1,5,319850.0,5256950.0,10,14.8,69.6,54.8
1,6,319850.0,5257450.0,3,12.1,21.0,8.9
1,8,319850.0,5258450.0,12,23.2,70.1,46.9
1,27,319850.0,5267950.0,3,4.8,0.6,-4.2
2,5,320350.0,5256950.0,6,24.0,8.9,-15.2
2,6,320350.0,5257450.0,10,6.8,22.0,15.2
2,7,320350.0,5257950.0,5,10.2,26.0,15.8
2,9,320350.0,5258950.0,3,112.9,29.9,-83.0
2,21,320350.0,5264950.0,5,12.8,6.1,-6.8
3,6,320850.0,5257450.0,7,7.9,0.2,-7.7
3,8,320850.0,5258450.0,3,6.8,7.6,0.9
3,10,320850.0,5259450.0,3,2.8,3.1,0.4
3,21,320850.0,5264950.0,5,6.8,0.2,-6.6
4,6,321350.0,5257450.0,6,5.3,2.2,-3.1
4,7,321350.0,5257950.0,6,10.3,2.3,-8.1
4,8,321350.0,5258450.0,7,3.1,4.0,0.9
4,12,321350.0,5260450.0,3,12.3,5.9,-6.4
5,6,321850.0,5257450.0,3,2.4,3.7,1.3
5,7,321850.0,5257950.0,7,8.4,1.1,-7.3
5,9,321850.0,5258950.0,12,6.7,0.5,-6.2
5,10,321850.0,5259450.0,5,5.4,5.5,0.1
5,19,321850.0,5263950.0,4,2.7,2.8,0.1
6,6,322350.0,5257450.0,4,19.9,0.5,-19.4
6,8,322350.0,5258450.0,4,7.9,2.7,-5.2
6,9,322350.0,5258950.0,5,6.6,0.2,-6.4
6,10,322350.0,5259450.0,5,3.1,2.9,-0.2
6,11,322350.0,5259950.0,9,4.3,4.9,0.6
7,7,322850.0,5257950.0,4,13.6,0.7,-12.9
7,8,322850.0,5258450.0,4,8.9,2.6,-6.3
7,9,322850.0,5258950.0,5,15.8,0.2,-15.6
7,10,322850.0,5259450.0,4,5.0,0.3,-4.7
7,12,322850.0,5260450.0,5,1.4,2.6,1.2
8,9,323350.0,5258950.0,5,23.3,0.0,-23.3
8,11,323350.0,5259950.0,3,1.5,0.9,-0.6
8,13,323350.0,5260950.0,3,3.4,4.1,0.7
8,17,323350.0,5262950.0,3,4.6,2.7,-1.9
8,21,323350.0,5264950.0,3,3.6,1.6,-2.0
9,8,323850.0,5258450.0,6,15.5,0.0,-15.5
