shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
334320000400262730,287250.7,5276225.6,15.34,16.05,0.86589545,4.0283723,2.649114,19.38
334320000400262741,287776.7,5275890.0,15.08,15.79,0.832541,3.5812595,2.5946863,6.96
334320000400262742,287824.8,5275859.4,18.44,19.16,0.84492195,3.73579,2.9372244,8.61
334320000400262746,288018.1,5275736.7,16.98,17.73,0.8592626,3.9311304,2.7859378,10.09
334320000400262747,288066.5,5275706.0,20.32,21.1,0.8388103,3.658015,2.9825199,18.24
334320000400262754,288405.6,5275490.9,4.6,5.35,0.22224572,0.50276715,1.8293065,7.14
334320000400262766,288966.8,5275130.3,22.75,23.5,0.80341744,3.2589264,3.1238093,12.46
334320000400262785,289918.8,5274523.3,7.03,7.89,0.22509372,0.5101066,1.9636139,17.60
334320000400262792,290257.9,5274308.4,5.87,6.66,0.33504927,0.8163016,1.8477969,11.53
334320000400262799,290645.6,5274062.6,2.28,2.73,0.00787494,0.015812293,1.1618276,9.48
334320000400262858,293480.1,5272254.0,16.91,17.62,0.7830971,3.0613337,2.8113256,17.42
334320000400262859,293528.2,5272223.3,19.64,20.35,0.8253821,3.497079,2.847344,9.35
334320000400262866,293865.3,5272008.1,24.84,25.55,0.7640784,2.8925807,3.1357567,14.14
334320000400262877,294398.2,5271668.3,10.06,10.81,0.6246156,1.9611595,2.3359659,8.04
334320000400262885,294778.7,5271423.8,10.59,11.26,0.6973466,2.3928478,2.246402,15.40
334320000400262886,294826.5,5271393.2,11.11,12.23,0.47899526,1.3045977,2.4505193,14.22
334320000400262908,295872.2,5270722.4,14.25,15.75,0.47704056,1.2971005,2.7442594,13.24
334320000400262910,295967.8,5270661.4,12.98,13.8,0.82951486,3.5452464,2.5159097,5.96
334320000400262917,296302.3,5270447.8,23.61,24.62,0.89045644,4.4363313,3.0911849,11.06
334320000400262924,296637.4,5270233.9,20.43,21.21,0.51602834,1.4522293,3.0489526,3.32
334320100400258132,287595.5,5275271.0,10.62,11.71,0.5780636,1.7269207,2.306556,17.98
334320100400258139,287934.9,5275055.8,2.35,2.95,0.07672617,0.15966605,1.4325758,8.83
334320100400258140,287983.0,5275025.2,8.15,8.94,0.43131748,1.1292939,2.2025645,5.12
334320100400258143,288126.5,5274933.7,10.7,11.6,0.7964324,3.1886446,2.332261,12.11
334320100400258144,288174.6,5274903.1,11.48,12.19,0.36742613,0.9161877,2.3993149,10.76
334320100400258145,288222.7,5274872.5,7.03,7.89,0.2714164,0.63342905,2.1359897,9.79
334320100400258157,288784.5,5274511.1,23.65,24.51,0.8521368,3.8314607,3.1231604,18.00
334320100400258158,288832.4,5274480.6,14.33,15.26,0.5027275,1.3979236,2.7479188,13.17
334320100400258180,289929.8,5273781.2,9.09,9.76,0.6482223,2.091274,2.2060218,14.09
334320100400258188,290367.8,5273504.4,2.35,2.84,0.01921989,0.038814407,1.2603475,6.39
334320100400258197,290800.7,5273229.1,6.47,7.14,0.18598647,0.41160667,1.9975317,14.28
334320100400258205,291182.7,5272985.0,7.55,8.49,0.33697912,0.8221123,2.1536248,18.68
334320100400258208,291328.1,5272892.7,4.26,4.82,0.097800575,0.20585148,1.7376562,14.38
334320100400258210,291423.2,5272831.7,7.82,8.45,0.473587,1.2839079,2.053261,13.72
334320100400258211,291471.5,5272801.0,3.81,4.6,0.17316055,0.38033202,1.6708672,14.27
334320100400258216,291712.2,5272647.6,9.01,9.76,0.6285542,1.9822546,2.2421548,15.66
334320100400258221,291953.7,5272493.8,10.89,11.48,0.72147775,2.559414,2.3109097,14.32
334320100400258227,292240.4,5272310.5,7.85,8.53,0.550818,1.6015948,2.1124184,2.72
334320100400258228,292288.4,5272279.8,9.01,9.72,0.6179731,1.9259758,2.1917205,1.57
334320100400258229,292336.3,5272249.2,4.75,5.46,0.20365563,0.45550892,1.7386589,5.16
334320100400258250,293354.3,5271601.9,5.95,6.58,0.17958272,0.3959306,1.8015198,17.98
334320100400258263,293977.1,5271203.5,13.92,14.85,0.77763265,3.0112572,2.616676,15.78
334320100400258266,294121.1,5271111.3,3.36,4.07,0.0028343715,0.005676801,0.7831452,10.74
334320100400258283,294931.7,5270590.9,23.61,24.51,0.8616062,3.9647136,3.2064147,19.46
334320100400258295,295502.1,5270224.6,14.93,15.71,0.89095306,4.4451604,2.5703866,9.83
334320200400263202,288477.9,5274169.0,19.57,20.39,0.81163496,3.3435361,2.9440022,18.30
334320200400263203,288524.7,5274138.8,21.26,22.15,0.90675455,4.7584147,3.0209,16.85
334320200400263209,288809.1,5273956.4,19.57,20.69,0.85587585,3.8814268,2.9756799,14.16
334320200400263218,289236.8,5273682.5,2.02,2.5,0.017038738,0.034371406,1.2466002,1.18
334320200400263220,289332.6,5273621.4,6.47,7.18,0.35247174,0.8693844,1.9628024,2.47
334320200400263230,289816.4,5273314.8,10.4,11.64,0.6570607,2.1419365,2.300181,13.63
334320200400263233,289962.8,5273222.5,4.9,5.76,0.026203677,0.053106867,1.8522432,14.80
334320200400263235,290059.9,5273161.2,3.18,3.74,0.05159629,0.10595261,1.5252862,10.49
334320200400263239,290251.7,5273039.1,8.57,9.24,0.58118767,1.7416021,2.2080333,12.59
334320200400263242,290395.4,5272947.6,5.2,5.91,0.18269958,0.40353653,1.8014998,7.09
334320200400263243,290443.2,5272917.2,7.03,7.71,0.37771368,0.9489502,1.9929897,11.25
334320200400263258,291167.0,5272458.4,3.59,4.22,0.012723634,0.025610695,1.4204875,13.02
334320200400263262,291358.4,5272336.6,20.36,21.11,0.68947953,2.340916,2.9584754,9.91
334320200400263263,291405.9,5272306.2,21.41,22.42,0.5553304,1.6216419,3.0413728,9.44
334320200400263270,291742.1,5272092.5,7.03,7.67,0.5634974,1.6587592,2.009572,13.37
334320200400263272,291838.9,5272031.2,23.16,24.36,0.90959513,4.8208528,3.0872579,16.74
334320200400263274,291935.8,5271969.8,18.82,19.57,0.8058789,3.283105,2.9269557,13.73
334320200400263275,291984.4,5271939.1,13.54,14.29,0.90595174,4.7411213,2.550398,16.14
334320200400263277,292079.8,5271878.2,25.9,26.76,0.8871585,4.37387,3.195532,14.46
334320200400263279,292176.4,5271816.8,21.59,22.57,0.7220645,2.5631218,3.091517,19.18
334320200400263280,292225.0,5271786.1,27.28,28.44,0.8902489,4.429812,3.2570028,19.46
334320200400263281,292273.8,5271755.3,16.88,17.77,0.39201266,0.9954691,2.9106252,17.52
334320200400263282,292322.2,5271724.6,25.07,26.53,0.7214082,2.5583932,3.1969662,19.28
334320200400263285,292468.2,5271632.2,25.67,26.46,0.8996693,4.6106954,3.207591,16.88
334320200400263304,293387.9,5271048.1,3.18,4.15,0.08118673,0.1693514,1.6930311,12.24
334320200400263320,294151.9,5270559.1,13.4,14.03,0.61214596,1.8953965,2.5260625,10.09
334320200400263322,294247.7,5270497.8,14.67,15.38,0.76853836,2.930051,2.5859928,5.94
334320200400263325,294391.2,5270406.0,13.69,14.56,0.8217655,3.4545496,2.5258784,9.75
334320200400263327,294487.1,5270344.8,14.29,15.34,0.807463,3.2995555,2.483898,5.66
334320300400258248,287531.6,5274038.4,11.86,12.87,0.5168669,1.4555335,2.5260534,18.70
334320300400258249,287579.5,5274007.8,12.91,13.81,0.88206863,4.284811,2.4806192,19.38
334320300400258251,287675.4,5273946.7,16.2,16.99,0.8740144,4.151831,2.7608857,13.95
334320300400258253,287771.3,5273885.5,11.0,11.9,0.9055597,4.7324514,2.30463,17.85
334320300400258259,288055.9,5273702.9,26.38,27.32,0.92465544,5.1886435,3.2487001,12.53
334320300400258260,288104.0,5273672.2,14.33,15.57,0.42757496,1.1160823,2.6968887,17.14
334320300400258267,288438.6,5273458.5,23.84,25.45,0.90911037,4.8097677,3.1432378,15.23
334320300400258275,288816.0,5273215.5,8.57,9.17,0.5736562,1.7058933,2.113922,2.10
334320300400258279,289007.7,5273093.3,5.57,6.25,0.31574503,0.7589948,1.7871754,0.53
334320300400258280,289055.6,5273062.8,6.84,7.48,0.54634833,1.5815858,1.9016876,2.39
334320300400258282,289151.8,5273001.6,12.23,13.32,0.79117745,3.1364894,2.4391394,16.50
334320300400258290,289541.8,5272755.7,8.64,9.5,0.3159729,0.7596612,2.3014743,10.64
334320300400258293,289684.9,5272664.3,6.4,7.14,0.3454345,0.8477516,1.8848382,8.05
334320300400258294,289733.2,5272633.6,4.97,5.98,0.05355314,0.11008365,1.9577403,9.81
334320300400258305,290261.2,5272297.8,8.01,8.98,0.28195173,0.6625459,2.1816108,17.16
334320300400258310,290504.4,5272144.4,11.26,12.16,0.75921196,2.8507478,2.3677473,18.90
334320300400258319,290939.8,5271869.0,27.73,28.67,0.9129048,4.8958387,3.318416,13.92
334320300400258320,290987.5,5271838.6,22.27,23.35,0.7408106,2.7030704,3.0058293,13.44
334320300400258324,291178.9,5271716.7,19.95,20.99,0.82456833,3.4862726,2.938173,9.87
334320300400258328,291372.7,5271594.2,18.9,19.72,0.74487007,2.734724,2.8549807,13.61
334320300400258330,291469.4,5271533.0,17.81,18.86,0.81049234,3.3312962,2.8862462,15.02
334320300400258332,291565.8,5271471.9,24.51,25.26,0.910078,4.83137,3.0799456,12.69
334320300400258333,291614.5,5271441.2,14.86,15.64,0.8369592,3.6334114,2.6798663,17.55
334320300400258335,291711.3,5271379.9,24.81,25.93,0.80630225,3.2873933,3.1269147,17.34
334320300400258338,291857.8,5271287.7,5.5,6.36,0.062162533,0.12836097,1.943922,17.61
334320300400258339,291905.6,5271257.2,18.11,19.16,0.7027084,2.4281268,2.931766,15.05
334320300400258340,291954.6,5271226.4,4.19,5.01,0.0109641235,0.022049453,1.7969954,11.07
334320300400258343,292099.5,5271134.5,16.76,17.7,0.89848214,4.586731,2.8524039,14.30
334320300400258345,292196.7,5271073.1,8.9,9.76,0.4693638,1.2678022,2.1172216,12.32
334320300400258346,292244.9,5271042.4,9.69,10.66,0.5286847,1.5051115,2.253386,7.89
334320300400258347,292293.3,5271011.7,5.42,6.28,0.12404004,0.26488605,1.791501,6.43
334320300400258350,292437.8,5270919.8,6.43,7.41,0.16195421,0.35339445,1.854208,16.47
334320300400258363,293064.9,5270521.0,10.63,12.01,0.54872197,1.5920892,2.3954084,19.37
334320300400258365,293162.1,5270459.5,2.76,3.33,0.053193778,0.10932436,1.2815437,6.07
334320300400258366,293210.2,5270428.8,3.55,4.19,0.11252244,0.23875724,1.44968,7.54
334320500400258177,287244.1,5273192.6,12.64,14.25,0.3214985,0.7759407,2.704455,9.40
334320500400258178,287292.7,5273161.9,12.68,13.58,0.42366374,1.1025636,2.5676618,12.88
334320500400258181,287439.0,5273069.7,5.35,6.43,0.09199639,0.19302522,2.087855,17.30
334320500400258182,287487.0,5273039.2,6.02,7.22,0.31479046,0.75625384,1.965008,12.55
334320500400258183,287534.8,5273008.7,12.23,12.94,0.82111406,3.4488244,2.369157,13.39
334320500400258198,288231.8,5272556.7,6.21,7.03,0.4044814,1.0370263,1.9305245,7.21
334320500400258199,288279.8,5272526.2,2.24,2.76,0.037374955,0.07618435,1.2285601,2.21
