shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
332030300400193455,332958.4,5269088.4,2.39,2.88,0.059561443,0.12282118,1.2440224,5.23
332030300400193460,333196.9,5268934.9,3.85,4.52,0.16380937,0.3578261,1.5360725,6.86
332030500400193388,331174.8,5269183.6,1.94,2.39,0.0248217,0.05027062,1.4141548,3.16
332030500400193389,331222.4,5269153.0,1.98,2.43,0.01925281,0.038881544,1.0154983,5.15
332030500400193390,331270.0,5269122.4,2.13,2.61,0.023119103,0.0467817,0.87350476,8.06
332030500400193391,331317.3,5269092.0,2.5,3.06,0.024026806,0.048640985,0.9771366,8.05
332030500400193392,331365.0,5269061.3,2.61,3.18,0.011724527,0.02358776,0.9508612,10.66
332030500400193393,331412.3,5269030.9,2.13,2.65,0.03964041,0.08089685,1.4279795,6.82
332030500400193394,331460.3,5269000.0,4.82,6.13,0.123934545,0.26464948,2.0509744,14.36
332030500400193395,331508.7,5268969.0,4.0,4.86,0.13530613,0.2907844,1.7450163,12.23
332030500400193396,331556.8,5268938.1,2.05,2.54,0.048370536,0.099161886,1.4538691,6.31
332030500400193397,331604.7,5268907.4,2.24,2.8,0.023779448,0.04813414,1.5644782,6.10
332030500400193398,331652.5,5268876.7,2.17,2.73,0.021203417,0.042863395,0.9179159,6.57
332030500400193399,331700.6,5268845.7,3.59,4.26,0.03391055,0.06899905,1.4493668,8.38
332030500400193400,331748.4,5268815.0,7.63,8.38,0.5850442,1.760357,2.0002935,6.25
332030500400193401,331796.5,5268784.1,2.2,2.73,0.022256665,0.04501674,1.5270821,3.22
332030500400193402,331844.3,5268753.4,2.05,2.54,0.035417728,0.07212178,1.3930956,1.65
332030500400193403,331892.2,5268722.7,2.28,2.8,0.05166883,0.106106214,1.2277259,3.14
332030500400193404,331940.0,5268691.9,2.17,2.65,0.02053551,0.04149908,1.3257455,4.27
332030500400193405,331987.8,5268661.2,1.98,2.43,0.00704131,0.01413249,1.479007,3.80
332030500400193406,332035.4,5268630.6,2.65,3.33,0.08900868,0.18645388,1.473409,2.88
332030500400193407,332083.4,5268599.9,2.05,2.58,0.049924288,0.102430195,1.283582,2.89
332030500400193408,332131.1,5268569.2,2.02,2.5,0.025964148,0.052615117,1.2817931,1.49
332030500400193409,332178.9,5268538.5,2.02,2.54,0.032654773,0.06640093,1.4066138,1.81
332030500400193410,332226.7,5268507.8,2.17,2.69,0.036307838,0.0739683,1.4646589,2.64
332030500400193411,332274.7,5268477.0,3.33,4.0,0.116496325,0.2477376,1.4970998,6.04
332030500400193412,332322.6,5268446.2,2.2,2.69,0.060242355,0.12427094,1.3496726,5.44
332030500400193413,332370.6,5268415.4,2.28,2.8,0.049856838,0.1022882,1.4937601,4.28
332030500400193414,332418.4,5268384.7,2.2,2.73,0.0546279,0.112356946,1.258792,2.56
332030500400193415,332466.1,5268354.0,2.2,2.73,0.0389467,0.079452604,1.4899507,2.39
332030500400193416,332514.2,5268323.1,2.5,3.06,0.009276841,0.018640375,0.6365142,6.01
332030500400193417,332562.0,5268292.5,2.43,3.14,0.07707107,0.1604135,1.4448948,4.94
332030500400193418,332609.9,5268261.7,2.32,2.84,0.026564838,0.05384894,1.3767941,5.69
332030500400193419,332657.8,5268230.9,5.8,6.99,0.2266042,0.5140095,2.0571995,14.74
332030500400193421,332754.8,5268168.7,2.54,3.14,0.01269961,0.025562061,0.66950095,12.76
332030500400193422,332802.3,5268138.2,3.92,4.79,0.009992208,0.020085046,0.755172,13.85
332030500400193423,332849.5,5268107.8,4.52,5.42,0.1557541,0.338657,1.750465,16.09
332030500400193424,332897.2,5268077.2,2.99,3.74,0.107491344,0.2274532,1.5635719,7.09
332030500400193425,332945.1,5268046.4,2.09,2.58,0.018572576,0.03749482,1.0781589,6.62
332030500400193426,332992.7,5268015.9,2.8,3.4,0.075855896,0.15778169,1.4354179,6.35
332030500400193427,333040.5,5267985.2,2.58,3.21,0.07126728,0.14787486,1.5511736,7.67
332030500400193428,333088.5,5267954.4,2.65,3.21,0.08232561,0.1718338,1.3672134,8.18
332030500400193429,333136.2,5267923.7,2.73,3.33,0.0047691637,0.00956117,1.5829716,6.92
332030500400193430,333184.0,5267893.0,2.84,3.59,0.08000396,0.16677985,1.6025808,11.53
332030500400193431,333232.0,5267862.2,6.58,7.55,0.30234262,0.72021884,1.9866556,15.85
332030500400193432,333280.3,5267831.2,3.85,4.75,0.08723538,0.18256412,1.8642645,16.92
332030500400193433,333328.5,5267800.3,2.05,2.54,0.018692626,0.037739486,0.9327278,11.97
332030500400193434,333376.2,5267769.7,2.65,3.21,0.08307956,0.17347784,1.4255646,6.11
332030500400193435,333423.8,5267739.1,3.03,3.66,0.02233926,0.0451857,1.2967259,7.72
332030500400193436,333471.4,5267708.5,2.76,3.48,0.077416874,0.16116306,1.5887222,7.84
332030500400193437,333519.1,5267677.9,2.46,3.06,0.06355275,0.13132912,1.6225238,6.46
332030500400193438,333566.8,5267647.2,2.65,3.25,0.051605955,0.105973616,1.5891815,6.35
332030500400193439,333614.4,5267616.6,2.35,2.91,0.03863918,0.078812726,1.475412,6.89
332030500400193440,333662.0,5267586.0,2.13,2.65,0.045394726,0.09291716,1.3335779,5.51
332030500400193441,333709.7,5267555.4,2.05,2.58,0.025097042,0.05083542,1.4524466,5.51
332030500400193442,333757.4,5267524.7,3.7,4.64,0.12801342,0.2739845,1.7596143,7.43
332030500400193443,333805.4,5267493.9,2.09,2.58,0.049170617,0.10084418,1.2062808,9.41
332030500400193444,333853.2,5267463.2,2.09,2.58,0.036375333,0.07410838,1.4894056,5.79
332030500400193445,333900.9,5267432.5,2.54,3.14,0.0493748,0.10127373,1.6479845,6.51
332030500400193446,333948.6,5267401.8,2.84,3.51,0.050576854,0.10380446,1.7281141,9.29
332030500400193447,333996.4,5267371.1,3.44,4.3,0.058391556,0.12033565,1.8194201,11.26
332030500400193448,334044.2,5267340.3,4.15,5.12,0.106123924,0.22439092,1.8254951,15.03
332030500400193449,334092.0,5267309.6,3.7,4.67,0.059040044,0.12171362,1.9354849,17.08
332030600401033899,330026.2,5269175.2,2.05,2.54,0.0057914443,0.011616596,1.4922538,3.82
332030600401033900,330073.9,5269144.5,2.8,3.51,0.048238818,0.09888496,1.7217934,5.26
332030600401033901,330121.6,5269113.8,2.32,2.95,0.03775001,0.07696361,1.6849735,3.95
332030600401033902,330169.5,5269083.0,2.09,2.58,0.030939898,0.062858365,1.440205,3.51
332030600401033903,330216.8,5269052.5,2.46,3.1,0.028500302,0.057829555,1.6768304,7.95
332030600401033904,330264.2,5269022.0,2.32,2.88,0.04806776,0.09852552,1.4812874,8.14
332030600401033905,330311.7,5268991.4,2.24,2.76,0.036847323,0.07508822,1.3668274,7.51
332030600401033906,330359.2,5268960.8,2.02,2.5,0.027532775,0.055838663,1.4687452,6.65
332030600401033907,330406.7,5268930.2,1.94,2.39,0.025593761,0.051854692,1.4021944,6.08
332030600401033908,330454.3,5268899.6,2.32,2.88,0.076965064,0.16018352,1.4419286,5.86
332030600401033909,330501.8,5268869.0,2.09,2.61,0.04041368,0.08250788,1.47408,7.43
332030600401033910,330549.4,5268838.4,2.24,2.76,0.04443085,0.09089856,1.2605305,4.77
332030600401033911,330597.0,5268807.7,2.05,2.54,0.02264438,0.045809977,1.1427475,3.44
332030600401033912,330644.6,5268777.1,2.09,2.58,0.025481924,0.05162515,1.333414,3.53
332030600401033913,330692.2,5268746.5,2.2,2.73,0.018331602,0.037003793,0.9752111,4.41
332030600401033914,330739.7,5268715.9,2.35,2.88,0.016310254,0.032889754,1.1899078,3.94
332030600401033915,330787.3,5268685.3,2.73,3.33,0.10953158,0.23203044,1.3315015,3.84
332030600401033916,330834.8,5268654.7,2.99,3.89,0.07051646,0.1462583,1.8217131,5.50
332030600401033917,330882.3,5268624.1,2.91,3.63,0.089223176,0.18692455,1.6142796,8.15
332030600401033918,330929.7,5268593.6,2.24,2.88,0.0569485,0.11727257,1.4547852,6.65
332030600401033919,330977.7,5268562.7,2.58,3.18,0.048181083,0.09876364,1.5681072,7.74
332030600401033920,331025.7,5268531.9,2.46,3.1,0.07581627,0.1576957,1.3482187,5.73
332030600401033921,331073.7,5268501.1,2.88,3.63,0.0989683,0.20844184,1.5809364,9.71
332030600401033922,331121.9,5268470.2,2.17,2.69,0.021253083,0.042964865,1.498465,7.55
332030600401033923,331169.6,5268439.5,2.28,2.8,0.05916561,0.12198041,1.3193253,4.52
332030600401033924,331217.7,5268408.6,2.46,3.03,0.04556806,0.09328028,1.3197343,5.53
332030600401033925,331265.5,5268377.9,2.35,2.88,0.04608647,0.09436695,1.4228214,3.11
332030600401033926,331313.3,5268347.1,2.69,3.4,0.08562828,0.17904513,1.59546,4.60
332030600401033927,331361.3,5268316.3,2.17,2.69,0.048982278,0.10044794,1.2905724,4.93
332030600401033928,331409.2,5268285.5,2.17,2.69,0.032861356,0.06682806,1.5120347,3.42
332030600401033930,331505.0,5268224.0,2.61,3.33,0.08800035,0.18424082,1.5788622,3.92
332030600401033931,331552.9,5268193.3,2.02,2.5,0.043056887,0.08802479,1.3761481,2.18
332030600401033932,331600.6,5268162.6,2.35,2.88,0.060569808,0.12496784,1.3591748,3.67
332030600401033933,331648.6,5268131.8,2.2,2.69,0.028161027,0.057131197,1.1374986,4.32
332030600401033934,331696.4,5268101.1,2.24,2.8,0.069245756,0.14352572,1.4293896,3.11
332030600401033935,331744.2,5268070.3,2.2,2.69,0.045843996,0.093858615,1.4393265,3.58
332030600401033936,331792.1,5268039.6,2.17,2.69,0.02723127,0.05521866,1.3583329,5.14
332030600401033937,331840.0,5268008.8,2.39,2.99,0.08549861,0.1787615,1.2851722,5.08
332030600401033938,331888.1,5267978.0,3.4,4.11,0.12934951,0.2770511,1.6285844,7.30
332030600401033939,331936.1,5267947.1,1.98,2.46,0.018769238,0.037895624,1.2860988,5.85
332030600401033940,331984.0,5267916.4,2.2,2.73,0.049189657,0.10088413,1.4010056,2.32
332030600401033941,332031.8,5267885.7,2.24,2.76,0.039502837,0.08061028,1.1761825,4.19
332030600401033942,332079.8,5267854.8,3.21,4.0,0.10668508,0.22564653,1.6139576,9.83
332030600401033943,332128.1,5267823.9,5.5,6.51,0.23811466,0.5440063,1.9104028,14.06
332030600401033944,332176.0,5267793.1,4.93,6.21,0.11377987,0.24159627,2.1065154,8.67
332030600401033945,332224.1,5267762.2,2.69,3.25,0.025936713,0.052558757,1.3081971,4.87
332030600401033946,332271.7,5267731.7,3.4,4.37,0.1346081,0.2891694,1.6645069,5.97
332030600401033947,332319.9,5267700.7,2.73,3.33,0.023904782,0.048390914,1.1008091,9.17
332030600401033948,332367.9,5267669.9,2.69,3.29,0.04143566,0.084639154,1.6449859,4.49
332030600401033949,332415.5,5267639.3,2.2,2.76,0.031977955,0.06500199,1.5137273,4.04
332030600401033950,332463.3,5267608.6,2.32,2.88,0.03635325,0.07406249,1.5578839,9.28
332030600401033953,332608.6,5267515.5,2.73,3.33,0.012773107,0.025710948,0.89248586,15.26
332030600401033954,332656.1,5267484.9,4.11,5.12,0.021986822,0.044464808,1.6943626,17.47
332030600401033958,332845.3,5267363.2,2.84,3.59,0.019387946,0.03915713,1.5581939,18.65
332030600401033959,332892.9,5267332.6,2.76,3.48,0.07219912,0.14988253,1.6031755,14.84
332030600401033960,332940.6,5267302.0,2.28,2.8,0.01931683,0.03901209,0.9682785,11.37
332030600401033961,332988.2,5267271.4,2.2,2.76,0.03762238,0.076698355,1.544437,9.60
332030600401033962,333227.0,5267118.1,2.39,2.95,0.026362896,0.053434037,1.1833752,9.03
332030600401033963,333274.5,5267087.5,2.91,3.55,0.04285351,0.087599754,1.5608596,12.19
332030600401033964,333322.1,5267056.9,2.95,3.66,0.08769359,0.18356813,1.6583548,13.91
332030600401033965,333369.9,5267026.2,2.65,3.29,0.049381655,0.10128806,1.4870856,12.39
332030600401033966,333417.7,5266995.5,2.39,2.95,0.0461279,0.09445382,1.4712051,10.15
332030600401033967,333465.6,5266964.8,2.65,3.29,0.06614371,0.13687062,1.5459237,9.11
332030600401033968,333513.4,5266934.1,2.91,3.55,0.044889763,0.09185935,1.5264113,10.38
332030600401033969,333561.1,5266903.4,3.63,4.64,0.11177253,0.23707065,1.8397901,11.75
332030600401033970,333608.5,5266872.9,2.5,3.1,0.064160526,0.1326275,1.5224518,10.60
332030600401033971,333656.6,5266842.1,3.06,3.74,0.051541895,0.1058384,1.6242696,10.94
332030600401033972,333704.4,5266811.3,3.63,4.45,0.13519672,0.2905304,1.6710899,11.03
332030600401033973,333752.1,5266780.7,2.84,3.55,0.07073912,0.14673749,1.6546267,12.88
332030600401033974,333799.9,5266750.0,3.21,3.92,0.09487574,0.1993772,1.6381414,14.44
332030600401033975,333847.6,5266719.3,2.99,3.85,0.04886564,0.10020265,1.8811306,15.33
332030600401033976,333895.2,5266688.7,2.65,3.29,0.060380317,0.12456445,1.5512812,16.15
332030600401033977,333942.9,5266658.0,2.84,3.51,0.06276947,0.12965664,1.7131534,15.75
332030600401033978,333990.5,5266627.4,2.65,3.29,0.06222079,0.12848604,1.5894845,14.28
332030600401033979,334038.1,5266596.7,2.54,3.18,0.0465978,0.09543937,1.7120867,11.65
332030600401033980,334085.8,5266566.1,2.61,3.25,0.10072759,0.21235119,1.4166833,9.24
