AOI,COBERTURA_N3,PREDICT_STRATUM,N,RH95_MEDIANA,RH50_MEDIANA,COVER_MEDIANA,PAI_MEDIANA,AGBD_MEDIANA,AGBD_MEDIA
BOSQUE_NW_02,Ñire Bajo,DBT_SA,151,4.52,0.14,0.121,0.258,0.259,6.62
BOSQUE_NW_02,Ñire Bajo,GSW_SA,44,3.065,-0.14,0.036,0.074,3.527,5.25
BOSQUE_NW_02,Ñire Bajo,ENT_SA,30,4.915,0.16,0.157,0.341,22.631,33.56
BOSQUE_NW_02,Lenga,DBT_SA,125,19.57,11.86,0.822,3.455,89.911,95.26
BOSQUE_NW_02,Lenga,ENT_SA,1,3.4,-0.37,0.006,0.012,17.825,17.83
BOSQUE_NW_02,Ñire,ENT_SA,57,4.3,0.03,0.101,0.213,20.794,32.51
BOSQUE_NW_02,Ñire,DBT_SA,27,6.84,1.31,0.352,0.869,3.405,7.07
BOSQUE_NW_02,Estepa,DBT_SA,11,2.05,-0.18,0.023,0.047,0.0,6.44
BOSQUE_NW_02,Estepa,GSW_SA,6,2.86,-0.125,0.04,0.081,2.894,2.96
BOSQUE_NW_02,Lenga Baja,DBT_SA,10,7.085,1.325,0.373,0.943,3.543,37.79
BOSQUE_NW_02,Lenga Baja,GSW_SA,5,18.01,8.64,0.627,1.974,129.251,97.56
BOSQUE_NW_02,Cipres,ENT_SA,11,9.5,2.73,0.462,1.241,49.404,44.19
BOSQUE_NW_02,Lenga Achaparrada,DBT_SA,9,4.26,0.29,0.182,0.401,0.145,15.3
BOSQUE_NW_02,Arbustal Nativo,DBT_SA,2,10.835,3.855,0.467,2.48,34.378,34.38
BOSQUE_NW_02,Arbustal Nativo,ENT_SA,2,6.34,2.53,0.359,1.091,39.846,39.85
BOSQUE_NW_02,Arbustal Nativo,GSW_SA,1,3.78,-0.07,0.036,0.073,5.943,5.94
BOSQUE_NW_02,Matorral Mixto,ENT_SA,2,5.815,0.965,0.284,0.739,27.985,27.99
BOSQUE_NW_02,Mallin,DBT_SA,1,14.29,6.88,0.807,3.3,37.625,37.62
ESTEPA_NW_02,Estepa,GSW_SA,871,2.8,-0.14,0.028,0.058,2.837,5.42
ESTEPA_NW_02,Estepa,ENT_SA,3,5.84,0.82,0.244,0.559,28.165,29.53
ESTEPA_NW_02,Mallin,GSW_SA,80,2.405,-0.14,0.027,0.054,1.942,3.08
ESTEPA_NW_02,Lenga,GSW_SA,63,7.02,0.85,0.291,0.687,21.779,45.44
ESTEPA_NW_02,Ñire Bajo,GSW_SA,35,3.96,-0.07,0.074,0.154,6.784,10.54
ESTEPA_NW_02,Ñire,GSW_SA,28,4.65,0.16,0.161,0.351,9.975,13.08
ESTEPA_NW_02,Ñire,ENT_SA,2,6.305,1.01,0.249,0.682,30.702,30.7
ESTEPA_NW_02,Forestacion,ENT_SA,13,5.99,0.56,0.228,0.517,25.77,38.62
ESTEPA_NW_02,Erial,GSW_SA,8,2.925,-0.18,0.028,0.057,3.023,4.9
ESTEPA_NW_02,Arbustal Nativo,GSW_SA,7,5.26,0.37,0.236,0.54,12.113,16.33
ESTEPA_NW_02,Ñire-Lenga,GSW_SA,6,4.01,-0.2,0.017,0.035,6.801,8.48
ESTEPA_NW_02,Lenga Achaparrada,GSW_SA,4,6.675,0.45,0.147,0.346,21.073,21.57
ESTEPA_NW_02,Lenga Marginal,GSW_SA,3,10.23,0.22,0.066,0.137,49.74,39.98
ESTEPA_NW_02,Matorral Mixto,GSW_SA,2,2.31,-0.18,0.013,0.027,1.69,1.69
ESTEPA_NW_02,Lenga-Ñire,GSW_SA,2,4.2,-0.31,0.02,0.04,7.992,7.99
ESTEPA_NW_02,Lenga Baja,GSW_SA,2,6.975,-0.35,0.027,0.054,23.45,23.45
