AOI,COBERTURA_N3,N_HUELLAS,CON_AGBD,RETENCION_PCT,RECH_l2_quality,RECH_sensitivity,RECH_SIN_EXPLICAR,PCT_SIN_EXPLICAR_DE_LA_CLASE,RH95_MED_ACEPTADAS,RH95_MED_SIN_EXPLICAR,SIN_EXPL_algorithm_run_flag,SIN_EXPL_predictor_limit_flag,SIN_EXPL_response_limit_flag,SIN_EXPL_surface_flag,SIN_EXPL_hoja_caida,ACEPTADAS_hoja_caida
BOSQUE_NW_02,Ñire Bajo,324,135,41.7,0,99,90,27.8,3.78,5.215,90,90,90,0,90,0
BOSQUE_NW_02,Lenga,162,33,20.4,0,36,93,57.4,18.94,19.64,93,93,93,0,93,0
BOSQUE_NW_02,Ñire,114,68,59.6,0,30,16,14.0,4.375,6.935,16,16,16,0,16,0
BOSQUE_NW_02,Lenga Baja,21,8,38.1,0,6,7,33.3,18.14,5.35,7,7,7,0,7,0
BOSQUE_NW_02,Estepa,20,7,35.0,0,3,10,50.0,2.92,2.05,10,10,10,0,10,0
BOSQUE_NW_02,Cipres,19,11,57.9,0,8,0,0.0,9.5,,0,0,0,0,0,0
BOSQUE_NW_02,Lenga Achaparrada,15,4,26.7,0,6,5,33.3,9.005,3.89,5,5,5,0,5,0
BOSQUE_NW_02,Arbustal Nativo,10,3,30.0,0,5,2,20.0,3.78,10.835,2,2,2,0,2,0
BOSQUE_NW_02,Matorral Mixto,3,2,66.7,0,1,0,0.0,5.815,,0,0,0,0,0,0
BOSQUE_NW_02,Mallin,2,0,0.0,0,1,1,50.0,,14.29,1,1,1,0,1,0
ESTEPA_NW_02,Estepa,2626,874,33.3,0,1752,0,0.0,2.8,,0,0,0,0,0,0
ESTEPA_NW_02,Mallin,136,80,58.8,0,56,0,0.0,2.405,,0,0,0,0,0,0
ESTEPA_NW_02,Lenga,94,63,67.0,0,31,0,0.0,7.02,,0,0,0,0,0,0
ESTEPA_NW_02,Ñire Bajo,85,35,41.2,0,50,0,0.0,3.96,,0,0,0,0,0,0
ESTEPA_NW_02,Ñire,45,30,66.7,0,15,0,0.0,4.65,,0,0,0,0,0,0
ESTEPA_NW_02,Forestacion,26,13,50.0,0,13,0,0.0,5.99,,0,0,0,0,0,0
ESTEPA_NW_02,Erial,25,8,32.0,0,17,0,0.0,2.925,,0,0,0,0,0,0
ESTEPA_NW_02,Lenga Baja,13,2,15.4,0,11,0,0.0,6.975,,0,0,0,0,0,0
ESTEPA_NW_02,Lenga Achaparrada,8,4,50.0,0,4,0,0.0,6.675,,0,0,0,0,0,0
ESTEPA_NW_02,Ñire-Lenga,7,6,85.7,0,1,0,0.0,4.01,,0,0,0,0,0,0
ESTEPA_NW_02,Arbustal Nativo,7,7,100.0,0,0,0,0.0,5.26,,0,0,0,0,0,0
ESTEPA_NW_02,Lenga Marginal,3,3,100.0,0,0,0,0.0,10.23,,0,0,0,0,0,0
ESTEPA_NW_02,Matorral Mixto,3,2,66.7,0,1,0,0.0,2.31,,0,0,0,0,0,0
ESTEPA_NW_02,Infraestructura,3,0,0.0,0,3,0,0.0,,,0,0,0,0,0,0
ESTEPA_NW_02,Lenga-Ñire,2,2,100.0,0,0,0,0.0,4.2,,0,0,0,0,0,0
