sitio,shot,este,norte,rh95,cover,pai,NDVI,EVI,NDMI,NBR
Bosque,334320000400262730,287250.7,5276225.6,15.34,0.86589545,4.0283723,0.9321677684783936,0.7438899278640747,0.4542864263057709,0.7476251125335693
Bosque,334320000400262741,287776.7,5275890.0,15.08,0.832541,3.5812595,0.9222193956375122,0.6561238765716553,0.41798239946365356,0.7201254963874817
Bosque,334320000400262742,287824.8,5275859.4,18.44,0.84492195,3.73579,0.919219434261322,0.6433436274528503,0.4243394434452057,0.7209070324897766
Bosque,334320000400262746,288018.1,5275736.7,16.98,0.8592626,3.9311304,0.9185781478881836,0.6574264168739319,0.4181844890117645,0.7194352149963379
Bosque,334320000400262747,288066.5,5275706.0,20.32,0.8388103,3.658015,0.916591227054596,0.6691881418228149,0.4346563220024109,0.7315617799758911
Bosque,334320000400262754,288405.6,5275490.9,4.6,0.22224572,0.50276715,0.7762253284454346,0.4465382397174835,0.15208272635936737,0.4417649507522583
Bosque,334320000400262766,288966.8,5275130.3,22.75,0.80341744,3.2589264,0.9138073325157166,0.5632838606834412,0.383156955242157,0.6872632503509521
Bosque,334320000400262785,289918.8,5274523.3,7.03,0.22509372,0.5101066,0.8186213970184326,0.46435362100601196,0.23694351315498352,0.5243523120880127
Bosque,334320000400262792,290257.9,5274308.4,5.87,0.33504927,0.8163016,0.8642368316650391,0.5501483678817749,0.28884297609329224,0.5900906324386597
Bosque,334320000400262799,290645.6,5274062.6,2.28,0.00787494,0.015812293,0.7640430331230164,0.4538816213607788,0.18264421820640564,0.46285977959632874
Bosque,334320000400262858,293480.1,5272254.0,16.91,0.7830971,3.0613337,0.640978217124939,0.394653856754303,0.16533666849136353,0.3679901659488678
Bosque,334320000400262859,293528.2,5272223.3,19.64,0.8253821,3.497079,0.8843743801116943,0.5324944257736206,0.31271591782569885,0.5905929207801819
Bosque,334320000400262866,293865.3,5272008.1,24.84,0.7640784,2.8925807,0.878753125667572,0.516188383102417,0.32200589776039124,0.6205977201461792
Bosque,334320000400262877,294398.2,5271668.3,10.06,0.6246156,1.9611595,0.871598482131958,0.5554407835006714,0.3066923916339874,0.5979917645454407
Bosque,334320000400262885,294778.7,5271423.8,10.59,0.6973466,2.3928478,0.8952506184577942,0.6202834844589233,0.3736023008823395,0.66765296459198
Bosque,334320000400262886,294826.5,5271393.2,11.11,0.47899526,1.3045977,0.8475806713104248,0.5216824412345886,0.26498138904571533,0.5640679597854614
Bosque,334320000400262908,295872.2,5270722.4,14.25,0.47704056,1.2971005,0.8576065897941589,0.5025017857551575,0.323802649974823,0.6101952195167542
Bosque,334320000400262910,295967.8,5270661.4,12.98,0.82951486,3.5452464,0.8202220797538757,0.4936251640319824,0.2735021412372589,0.5650660395622253
Bosque,334320000400262917,296302.3,5270447.8,23.61,0.89045644,4.4363313,0.9202772974967957,0.5799239277839661,0.4149772524833679,0.6985800862312317
Bosque,334320000400262924,296637.4,5270233.9,20.43,0.51602834,1.4522293,0.8748511075973511,0.4883041977882385,0.30749475955963135,0.6046669483184814
Bosque,334320100400258132,287595.5,5275271.0,10.62,0.5780636,1.7269207,0.9174196720123291,0.6843775510787964,0.42737525701522827,0.7299531102180481
Bosque,334320100400258139,287934.9,5275055.8,2.35,0.07672617,0.15966605,0.5410549640655518,0.32944250106811523,0.11885901540517807,0.31576406955718994
Bosque,334320100400258140,287983.0,5275025.2,8.15,0.43131748,1.1292939,0.5840983390808105,0.353349506855011,0.08507293462753296,0.3055332899093628
Bosque,334320100400258143,288126.5,5274933.7,10.7,0.7964324,3.1886446,0.8539918065071106,0.5634836554527283,0.2981635630130768,0.6020538806915283
Bosque,334320100400258144,288174.6,5274903.1,11.48,0.36742613,0.9161877,0.8135488033294678,0.48292240500450134,0.20859169960021973,0.5098440647125244
Bosque,334320100400258145,288222.7,5274872.5,7.03,0.2714164,0.63342905,0.6493446826934814,0.3948896527290344,0.1118091493844986,0.37694111466407776
Bosque,334320100400258157,288784.5,5274511.1,23.65,0.8521368,3.8314607,0.891524612903595,0.6076529622077942,0.3652983605861664,0.6660828590393066
Bosque,334320100400258158,288832.4,5274480.6,14.33,0.5027275,1.3979236,0.8444189429283142,0.4940541684627533,0.2631264925003052,0.5536213517189026
Bosque,334320100400258180,289929.8,5273781.2,9.09,0.6482223,2.091274,0.7758174538612366,0.48959997296333313,0.21769525110721588,0.49598586559295654
Bosque,334320100400258188,290367.8,5273504.4,2.35,0.01921989,0.038814407,0.8394584655761719,0.5199320316314697,0.25210392475128174,0.5472604632377625
Bosque,334320100400258197,290800.7,5273229.1,6.47,0.18598647,0.41160667,0.8401719331741333,0.5550334453582764,0.31193917989730835,0.5956956744194031
Bosque,334320100400258205,291182.7,5272985.0,7.55,0.33697912,0.8221123,0.7976290583610535,0.45439666509628296,0.1880282163619995,0.47660133242607117
Bosque,334320100400258208,291328.1,5272892.7,4.26,0.097800575,0.20585148,0.7725711464881897,0.4212475121021271,0.14201340079307556,0.43058741092681885
Bosque,334320100400258210,291423.2,5272831.7,7.82,0.473587,1.2839079,0.6178370714187622,0.3167235851287842,0.012184439226984978,0.25170251727104187
Bosque,334320100400258211,291471.5,5272801.0,3.81,0.17316055,0.38033202,0.8092971444129944,0.4856378138065338,0.17338141798973083,0.4509325623512268
Bosque,334320100400258216,291712.2,5272647.6,9.01,0.6285542,1.9822546,0.7175324559211731,0.40174147486686707,0.12445119768381119,0.39979133009910583
