coleccion,nivel,aoi,tipo,fecha,id_producto
C2237824918-ORNL_CLOUD,?,BOSQUE_NW_02,,2025-05-31,G4158876699-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,BOSQUE_NW_02,,2025-06-22,G4158914457-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,ESTEPA_NW_02,,2025-05-29,G4158762851-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,ESTEPA_NW_02,,2025-05-31,G4158876699-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-04-29,G4158806679-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-01,G4158785255-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-02,G4158769471-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-02,G4158910209-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-03,G4158915555-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-05,G4158872306-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-09,G4158852832-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-10,G4158898234-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-10,G4158794433-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-11,G4158826183-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-13,G4158776449-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-14,G4158890490-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-14,G4158815942-ORNL_CLOUD
C2237824918-ORNL_CLOUD,?,REGION_ANDINA_CHUBUT,,2025-05-15,G4158833676-ORNL_CLOUD
