producto,sensor,fecha,magnitud,fuente_formula,pendiente,R2,RMSE,n
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,gamma0_HV_dB,-,0.10567,0.1749,1.7294,914
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,Trudel et al. (2012),0.00124,0.0095,0.0956,914
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RFDI,SAR Handbook 5.3,-0.00062,0.0095,0.0478,914
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260110_14465476.dim,SAOCOM,20260110,gamma0_HV_dB,-,0.09335,0.1412,1.7348,914
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260110_14465476.dim,SAOCOM,20260110,RVI_dual_HH_HV,Trudel et al. (2012),0.00043,0.0014,0.0880,914
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260110_14465476.dim,SAOCOM,20260110,RFDI,SAR Handbook 5.3,-0.00022,0.0014,0.0440,914
SAOCOM\03_post_incendio_2026\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260227_14489260.dim,SAOCOM,20260227,gamma0_HV_dB,-,0.22322,0.3877,2.1135,914
SAOCOM\03_post_incendio_2026\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260227_14489260.dim,SAOCOM,20260227,RVI_dual_HH_HV,Trudel et al. (2012),0.00717,0.1608,0.1234,914
SAOCOM\03_post_incendio_2026\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260227_14489260.dim,SAOCOM,20260227,RFDI,SAR Handbook 5.3,-0.00359,0.1608,0.0617,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20231017_050811_R164_E344.dim,Sentinel_1,20231017,gamma0_VH_dB,-,0.07774,0.1705,1.2919,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20231017_050811_R164_E344.dim,Sentinel_1,20231017,RVI_dual_VV_VH,Trudel et al. (2012),0.00168,0.0109,0.1209,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20231204_051511_R164_8045.dim,Sentinel_1,20231204,gamma0_VH_dB,-,0.02612,0.0407,0.9555,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20231204_051511_R164_8045.dim,Sentinel_1,20231204,RVI_dual_VV_VH,Trudel et al. (2012),-0.00051,0.0017,0.0917,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20240109_052036_R164_7CD5.dim,Sentinel_1,20240109,gamma0_VH_dB,-,0.03296,0.0546,1.0329,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20240109_052036_R164_7CD5.dim,Sentinel_1,20240109,RVI_dual_VV_VH,Trudel et al. (2012),0.00044,0.0011,0.0970,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20240226_052736_R164_C6A4.dim,Sentinel_1,20240226,gamma0_VH_dB,-,0.03393,0.0502,1.1118,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20240226_052736_R164_C6A4.dim,Sentinel_1,20240226,RVI_dual_VV_VH,Trudel et al. (2012),-0.00001,0.0000,0.0959,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20231017_050811_R164_C2DB.dim,Sentinel_1,20231017,gamma0_VH_dB,-,0.07672,0.1899,1.1938,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20231017_050811_R164_C2DB.dim,Sentinel_1,20231017,RVI_dual_VV_VH,Trudel et al. (2012),0.00119,0.0053,0.1236,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20231204_051511_R164_BE8D.dim,Sentinel_1,20231204,gamma0_VH_dB,-,0.02671,0.0478,0.8984,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20231204_051511_R164_BE8D.dim,Sentinel_1,20231204,RVI_dual_VV_VH,Trudel et al. (2012),-0.00039,0.0010,0.0959,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20240109_052036_R164_2BDC.dim,Sentinel_1,20240109,gamma0_VH_dB,-,0.03567,0.0731,0.9570,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20240109_052036_R164_2BDC.dim,Sentinel_1,20240109,RVI_dual_VV_VH,Trudel et al. (2012),0.00087,0.0034,0.1112,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20240226_052736_R164_F83D.dim,Sentinel_1,20240226,gamma0_VH_dB,-,0.03566,0.0641,1.0267,914
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20240226_052736_R164_F83D.dim,Sentinel_1,20240226,RVI_dual_VV_VH,Trudel et al. (2012),0.00044,0.0011,0.1016,914
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20251123_062011_R164_B6B6.dim,Sentinel_1,20251123,gamma0_VH_dB,-,0.02298,0.0289,1.0033,914
