shot_number,rh95,fuente,gamma0_dB
334320000400262741,15.08,S1 VH,-15.054
334320000400262742,18.44,S1 VH,-15.596
334320000400262746,16.98,S1 VH,-15.294
334320000400262747,20.32,S1 VH,-15.761
334320000400262749,19.16,S1 VH,-16.196
334320000400262750,15.79,S1 VH,-15.853
334320000400262754,4.6,S1 VH,-15.696
334320000400262764,14.25,S1 VH,-15.056
334320000400262766,22.75,S1 VH,-14.694
334320000400262773,12.12,S1 VH,-15.533
334320000400262785,7.03,S1 VH,-14.784
334320000400262792,5.87,S1 VH,-15.169
334320000400262799,2.28,S1 VH,-14.678
334320000400262809,14.18,S1 VH,-14.998
334320000400262812,27.28,S1 VH,-15.126
334320000400262814,5.27,S1 VH,-13.918
334320000400262815,25.29,S1 VH,-14.431
334320000400262856,10.32,S1 VH,-15.608
334320000400262858,16.91,S1 VH,-16.686
334320000400262859,19.64,S1 VH,-16.187
334320000400262865,13.02,S1 VH,-16.421
334320000400262866,24.84,S1 VH,-15.927
334320000400262877,10.06,S1 VH,-16.014
334320000400262880,22.0,S1 VH,-15.117
334320000400262881,24.88,S1 VH,-15.423
334320000400262885,10.59,S1 VH,-16.163
334320000400262886,11.11,S1 VH,-16.288
334320000400262903,10.29,S1 VH,-15.274
334320000400262904,13.02,S1 VH,-15.139
334320000400262905,16.09,S1 VH,-15.346
334320000400262908,14.25,S1 VH,-15.311
334320000400262910,12.98,S1 VH,-15.197
334320000400262917,23.61,S1 VH,-15.507
334320100400258132,10.62,S1 VH,-15.1
334320100400258139,2.35,S1 VH,-15.985
334320100400258140,8.15,S1 VH,-15.854
334320100400258143,10.7,S1 VH,-15.386
334320100400258144,11.48,S1 VH,-15.192
334320100400258145,7.03,S1 VH,-15.589
334320100400258154,13.54,S1 VH,-14.752
334320100400258156,30.42,S1 VH,-15.193
334320100400258157,23.65,S1 VH,-15.33
334320100400258158,14.33,S1 VH,-14.576
334320100400258159,12.61,S1 VH,-14.59
334320100400258160,23.83,S1 VH,-14.606
334320100400258161,12.53,S1 VH,-14.507
334320100400258163,10.14,S1 VH,-14.282
334320100400258166,7.52,S1 VH,-16.026
334320100400258180,9.09,S1 VH,-15.974
334320100400258185,9.5,S1 VH,-14.809
334320100400258186,9.35,S1 VH,-14.881
334320100400258188,2.35,S1 VH,-14.6
334320100400258197,6.47,S1 VH,-15.512
334320100400258200,11.03,S1 VH,-14.714
334320100400258201,11.82,S1 VH,-14.367
334320100400258205,7.55,S1 VH,-15.051
334320100400258208,4.26,S1 VH,-14.767
334320100400258210,7.82,S1 VH,-15.851
334320100400258211,3.81,S1 VH,-15.053
334320100400258216,9.01,S1 VH,-15.657
334320100400258221,10.89,S1 VH,-15.773
334320100400258227,7.85,S1 VH,-15.153
334320100400258228,9.01,S1 VH,-15.211
334320100400258229,4.75,S1 VH,-15.82
334320100400258235,23.01,S1 VH,-15.159
334320100400258239,6.69,S1 VH,-14.224
334320100400258241,11.6,S1 VH,-16.168
334320100400258244,8.27,S1 VH,-16.203
334320100400258250,5.95,S1 VH,-15.555
334320100400258263,13.92,S1 VH,-16.425
334320100400258266,3.36,S1 VH,-15.121
334320100400258279,16.42,S1 VH,-15.787
334320100400258280,22.37,S1 VH,-15.791
334320100400258281,8.08,S1 VH,-15.664
334320100400258283,23.61,S1 VH,-15.231
334320100400258291,21.44,S1 VH,-15.214
334320100400258292,25.03,S1 VH,-15.647
334320200400263183,14.03,S1 VH,-15.18
334320200400263184,15.53,S1 VH,-14.717
334320200400263185,4.94,S1 VH,-16.261
334320200400263198,27.32,S1 VH,-14.425
334320200400263200,18.56,S1 VH,-15.257
334320200400263202,19.57,S1 VH,-14.72
334320200400263203,21.26,S1 VH,-14.93
334320200400263206,16.58,S1 VH,-15.14
334320200400263209,19.57,S1 VH,-15.204
334320200400263211,25.11,S1 VH,-14.365
334320200400263218,2.02,S1 VH,-16.614
334320200400263220,6.47,S1 VH,-16.245
334320200400263223,9.46,S1 VH,-15.197
334320200400263225,17.1,S1 VH,-14.899
334320200400263226,10.25,S1 VH,-14.558
334320200400263230,10.4,S1 VH,-14.882
334320200400263233,4.9,S1 VH,-15.776
334320200400263235,3.18,S1 VH,-15.256
334320200400263239,8.57,S1 VH,-15.172
334320200400263242,5.2,S1 VH,-14.66
334320200400263243,7.03,S1 VH,-15.24
334320200400263258,3.59,S1 VH,-15.118
334320200400263262,20.36,S1 VH,-15.234
334320200400263263,21.41,S1 VH,-14.687
334320200400263270,7.03,S1 VH,-14.884
334320200400263272,23.16,S1 VH,-15.138
334320200400263274,18.82,S1 VH,-14.714
334320200400263275,13.54,S1 VH,-15.149
334320200400263277,25.9,S1 VH,-15.721
334320200400263279,21.59,S1 VH,-15.68
334320200400263280,27.28,S1 VH,-15.64
334320200400263281,16.88,S1 VH,-15.594
334320200400263282,25.07,S1 VH,-15.285
334320200400263283,19.65,S1 VH,-14.943
334320200400263285,25.67,S1 VH,-15.247
334320200400263286,25.26,S1 VH,-15.954
334320200400263287,32.71,S1 VH,-16.329
334320200400263292,8.79,S1 VH,-14.898
334320200400263304,3.18,S1 VH,-15.004
334320200400263320,13.4,S1 VH,-16.438
334320200400263322,14.67,S1 VH,-15.918
334320200400263325,13.69,S1 VH,-16.132
334320200400263327,14.29,S1 VH,-15.678
334320300400258245,14.63,S1 VH,-15.408
334320300400258247,6.06,S1 VH,-15.454
334320300400258248,11.86,S1 VH,-15.263
334320300400258249,12.91,S1 VH,-15.042
334320300400258251,16.2,S1 VH,-15.57
334320300400258253,11.0,S1 VH,-16.031
334320300400258254,6.99,S1 VH,-15.639
334320300400258255,23.61,S1 VH,-15.524
334320300400258256,19.12,S1 VH,-14.963
334320300400258259,26.38,S1 VH,-15.049
