aoi,producto,banda_pol,ENL
BOSQUE_NW_02,S1_GRD_20231017,C_VH,2.94
BOSQUE_NW_02,S1_GRD_20231017,C_VV,3.22
BOSQUE_NW_02,S1_GRD_20231204,C_VH,3.36
BOSQUE_NW_02,S1_GRD_20231204,C_VV,3.54
BOSQUE_NW_02,S1_GRD_20240109,C_VH,3.34
BOSQUE_NW_02,S1_GRD_20240109,C_VV,3.61
BOSQUE_NW_02,S1_GRD_20240226,C_VH,3.21
BOSQUE_NW_02,S1_GRD_20240226,C_VV,3.46
BOSQUE_NW_02,S1_GRD_20251123,C_VH,3.37
BOSQUE_NW_02,S1_GRD_20251123,C_VV,3.70
BOSQUE_NW_02,S1_GRD_20260110,C_VH,3.31
BOSQUE_NW_02,S1_GRD_20260110,C_VV,3.60
BOSQUE_NW_02,S1_GRD_20260227,C_VH,1.28
BOSQUE_NW_02,S1_GRD_20260227,C_VV,1.70
BOSQUE_NW_02,SAOCOM_20251123,L_HH,2.79
BOSQUE_NW_02,SAOCOM_20251123,L_HV,3.29
BOSQUE_NW_02,SAOCOM_20260110,L_HH,3.16
BOSQUE_NW_02,SAOCOM_20260110,L_HV,3.26
BOSQUE_NW_02,SAOCOM_20260227,L_HH,1.70
BOSQUE_NW_02,SAOCOM_20260227,L_HV,1.63
BOSQUE_NW_02,NISAR_20251204,L_HH,1.27
BOSQUE_NW_02,NISAR_20251204,L_HV,1.25
BOSQUE_NW_02,NISAR_20251228,L_HH,1.75
BOSQUE_NW_02,NISAR_20251228,L_HV,1.71
BOSQUE_NW_02,NISAR_20260108,L_HH,0.62
BOSQUE_NW_02,NISAR_20260108,L_HV,0.51
BOSQUE_NW_02,PALSAR2_2023,L_HH,2.62
BOSQUE_NW_02,PALSAR2_2023,L_HV,2.93
BOSQUE_NW_02,PALSAR2_2024,L_HH,2.12
BOSQUE_NW_02,PALSAR2_2024,L_HV,2.43
BOSQUE_NW_02,PALSAR2_2025,L_HH,1.94
BOSQUE_NW_02,PALSAR2_2025,L_HV,2.12
ESTEPA_NW_02,S1_GRD_20231017,C_VH,1.29
ESTEPA_NW_02,S1_GRD_20231017,C_VV,1.79
ESTEPA_NW_02,S1_GRD_20231204,C_VH,1.64
ESTEPA_NW_02,S1_GRD_20231204,C_VV,1.81
ESTEPA_NW_02,S1_GRD_20240109,C_VH,1.55
ESTEPA_NW_02,S1_GRD_20240109,C_VV,1.76
ESTEPA_NW_02,S1_GRD_20240226,C_VH,1.34
ESTEPA_NW_02,S1_GRD_20240226,C_VV,1.65
ESTEPA_NW_02,S1_GRD_20251123,C_VH,1.37
ESTEPA_NW_02,S1_GRD_20251123,C_VV,1.63
ESTEPA_NW_02,S1_GRD_20260110,C_VH,1.27
ESTEPA_NW_02,S1_GRD_20260110,C_VV,1.58
ESTEPA_NW_02,S1_GRD_20260227,C_VH,1.22
ESTEPA_NW_02,S1_GRD_20260227,C_VV,1.56
ESTEPA_NW_02,SAOCOM_20251123,L_HH,0.55
ESTEPA_NW_02,SAOCOM_20251123,L_HV,0.37
ESTEPA_NW_02,SAOCOM_20260110,L_HH,0.49
ESTEPA_NW_02,SAOCOM_20260110,L_HV,0.42
ESTEPA_NW_02,SAOCOM_20260227,L_HH,0.56
ESTEPA_NW_02,SAOCOM_20260227,L_HV,0.41
ESTEPA_NW_02,NISAR_20251204,L_HH,0.49
ESTEPA_NW_02,NISAR_20251204,L_HV,0.40
ESTEPA_NW_02,NISAR_20251228,L_HH,0.42
ESTEPA_NW_02,NISAR_20251228,L_HV,0.40
ESTEPA_NW_02,NISAR_20260108,L_HH,0.41
ESTEPA_NW_02,NISAR_20260108,L_HV,0.36
ESTEPA_NW_02,PALSAR2_2023,L_HH,0.71
ESTEPA_NW_02,PALSAR2_2023,L_HV,0.34
ESTEPA_NW_02,PALSAR2_2024,L_HH,0.63
ESTEPA_NW_02,PALSAR2_2024,L_HV,0.30
ESTEPA_NW_02,PALSAR2_2025,L_HH,0.48
ESTEPA_NW_02,PALSAR2_2025,L_HV,0.30
