producto,sensor,fecha,indice,shot_number,rh95,valor
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262741,15.08,0.90171
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262742,18.44,0.87096
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262746,16.98,0.86117
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262747,20.32,0.87266
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262749,19.16,0.82739
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262750,15.79,0.67159
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262754,4.60,0.73372
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262764,14.25,0.78954
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262766,22.75,0.90321
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262773,12.12,0.56522
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,RVI_dual_HH_HV,334320000400262785,7.03,0.89948
