producto,sensor,fecha,polarizaciones,formato,indices
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20251123_13870600.dim,SAOCOM,20251123,HH+HV,dim,"RVI_dual_HH_HV, RFDI"
SAOCOM\02_pre_incendio_2025_26\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260110_14465476.dim,SAOCOM,20260110,HH+HV,dim,"RVI_dual_HH_HV, RFDI"
SAOCOM\03_post_incendio_2026\BOSQUE_NW_02\SAOCOM_L1A\SAO1B_L1A_20260227_14489260.dim,SAOCOM,20260227,HH+HV,dim,"RVI_dual_HH_HV, RFDI"
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20231017_050811_R164_E344.dim,Sentinel_1,20231017,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20231204_051511_R164_8045.dim,Sentinel_1,20231204,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20240109_052036_R164_7CD5.dim,Sentinel_1,20240109,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20240226_052736_R164_C6A4.dim,Sentinel_1,20240226,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20231017_050811_R164_C2DB.dim,Sentinel_1,20231017,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20231204_051511_R164_BE8D.dim,Sentinel_1,20231204,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20240109_052036_R164_2BDC.dim,Sentinel_1,20240109,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\01_linea_base_2023_24\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20240226_052736_R164_F83D.dim,Sentinel_1,20240226,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20251123_062011_R164_B6B6.dim,Sentinel_1,20251123,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20260110_062711_R164_4F77.dim,Sentinel_1,20260110,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20251123_062011_R164_2611.dim,Sentinel_1,20251123,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\02_pre_incendio_2025_26\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20260110_062711_R164_7E2D.dim,Sentinel_1,20260110,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\03_post_incendio_2026\BOSQUE_NW_02\S1_GRD\S1A_IW_GRD_20260227_063411_R164_6569.dim,Sentinel_1,20260227,VH+VV,dim,RVI_dual_VV_VH
Sentinel_1\03_post_incendio_2026\BOSQUE_NW_02\S1_SLC\S1A_IW_SLC_20260227_063411_R164_93A9.dim,Sentinel_1,20260227,VH+VV,dim,RVI_dual_VV_VH
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2023.tif,ALOS_PALSAR_2,,HH+HV,tif,"RVI_dual_HH_HV, RFDI"
ALOS_PALSAR_2\01_linea_base_2023_24\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2024.tif,ALOS_PALSAR_2,,HH+HV,tif,"RVI_dual_HH_HV, RFDI"
ALOS_PALSAR_2\02_pre_incendio_2025_26\BOSQUE_NW_02\PALSAR2_MOSAIC\PALSAR2_2025.tif,ALOS_PALSAR_2,,HH+HV,tif,"RVI_dual_HH_HV, RFDI"
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251204.tif,NISAR,20251204,HH+HV,tif,"RVI_dual_HH_HV, RFDI"
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20251228.tif,NISAR,20251228,HH+HV,tif,"RVI_dual_HH_HV, RFDI"
NISAR\02_pre_incendio_2025_26\BOSQUE_NW_02\NISAR_GCOV\NISAR_GCOV_20260108.tif,NISAR,20260108,HH+HV,tif,"RVI_dual_HH_HV, RFDI"
