producto,banda_pol,r2_3x3,r2_5x5,r2_9x9,r2_15x15,r2_21x21,r2_31x31
S1_GRD_20231017,C_VH,0.098,0.113,0.143,0.171,0.182,0.183
S1_GRD_20231204,C_VH,0.018,0.029,0.040,0.041,0.040,0.038
S1_GRD_20240109,C_VH,0.026,0.042,0.055,0.055,0.055,0.054
S1_GRD_20240226,C_VH,0.034,0.044,0.053,0.050,0.052,0.051
S1_GRD_20251123,C_VH,0.015,0.022,0.029,0.029,0.031,0.030
S1_GRD_20260110,C_VH,0.011,0.018,0.028,0.027,0.027,0.025
S1_GRD_20260227,C_VH,0.302,0.354,0.376,0.371,0.360,0.342
SAOCOM_20251123,L_HV,0.120,0.134,0.153,0.175,0.186,0.190
SAOCOM_20260110,L_HV,0.092,0.103,0.120,0.141,0.153,0.161
SAOCOM_20260227,L_HV,0.353,0.364,0.374,0.388,0.389,0.376
NISAR_20251204,L_HV,0.147,0.168,0.201,0.220,0.225,0.221
NISAR_20251228,L_HV,0.177,0.204,0.236,0.251,0.252,0.245
NISAR_20260108,L_HV,0.166,0.220,0.253,0.273,0.275,0.269
PALSAR2_2023,L_HV,0.132,0.151,0.181,0.200,0.206,0.213
PALSAR2_2024,L_HV,0.133,0.147,0.173,0.187,0.192,0.205
PALSAR2_2025,L_HV,0.114,0.137,0.164,0.177,0.188,0.195
