shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV
334320000400262730,BOSQUE_NW_02,bosque,-42.637040,-71.594858,287250.7,5276225.6,entrenamiento,15.34,10.44,4.0283723,0.86589545,2.649114,19.38,57.162918,13.096606,DBT_SA,hoja_caida,1,0.93217,0.74389,0.45429,0.74763,,,,,,,,
334320000400262741,BOSQUE_NW_02,bosque,-42.640205,-71.588573,287776.7,5275890.0,entrenamiento,15.08,10.4,3.5812595,0.832541,2.5946863,6.96,55.68749,13.097266,DBT_SA,hoja_caida,1,0.92222,0.65612,0.41798,0.72013,-15.909,-9.691,-11.818,-16.158,-6.028,-11.425,-7.617,-12.549
334320000400262742,BOSQUE_NW_02,bosque,-42.640493,-71.587999,287824.8,5275859.4,entrenamiento,18.44,12.46,3.73579,0.84492195,2.9372244,8.61,85.34315,13.091854,DBT_SA,hoja_caida,1,0.91922,0.64334,0.42434,0.72091,-15.472,-9.807,-11.556,-16.107,-5.987,-11.301,-7.647,-11.818
334320000400262746,BOSQUE_NW_02,bosque,-42.641651,-71.585689,288018.1,5275736.7,entrenamiento,16.98,9.46,3.9311304,0.8592626,2.7859378,10.09,60.52808,13.0916605,DBT_SA,hoja_caida,1,0.91858,0.65743,0.41818,0.71944,-15.209,-9.355,-10.904,-15.364,-5.672,-11.043,-7.014,-11.673
334320000400262747,BOSQUE_NW_02,bosque,-42.641940,-71.585111,288066.5,5275706.0,entrenamiento,20.32,12.94,3.658015,0.8388103,2.9825199,18.24,100.37145,13.088659,DBT_SA,hoja_caida,1,0.91659,0.66919,0.43466,0.73156,-15.442,-9.582,-11.308,-15.699,-5.904,-11.091,-7.296,-11.993
334320000400262754,BOSQUE_NW_02,bosque,-42.643968,-71.581058,288405.6,5275490.9,entrenamiento,4.6,0.52,0.50276715,0.22224572,1.8293065,7.14,0.36578357,13.118273,DBT_SA,hoja_caida,1,0.77623,0.44654,0.15208,0.44176,-16.634,-9.931,-10.757,-16.177,-6.095,-11.758,-6.260,-11.255
334320000400262766,BOSQUE_NW_02,bosque,-42.647366,-71.574353,288966.8,5275130.3,entrenamiento,22.75,16.39,3.2589264,0.80341744,3.1238093,12.46,141.81273,13.088741,DBT_SA,hoja_caida,1,0.91381,0.56328,0.38316,0.68726,-15.169,-9.041,-12.283,-16.699,-5.726,-10.197,-6.457,-11.018
334320000400262785,BOSQUE_NW_02,bosque,-42.653088,-71.562976,289918.8,5274523.3,entrenamiento,7.03,1.6,0.5101066,0.22509372,1.9636139,17.60,3.4054728,13.110445,DBT_SA,hoja_caida,1,0.81862,0.46435,0.23694,0.52435,-14.012,-9.500,-11.752,-16.628,-7.575,-13.641,-7.346,-11.921
334320000400262792,BOSQUE_NW_02,bosque,-42.655113,-71.558922,290257.9,5274308.4,entrenamiento,5.87,1.27,0.8163016,0.33504927,1.8477969,11.53,1.7247169,13.114258,DBT_SA,hoja_caida,1,0.86424,0.55015,0.28884,0.59009,-15.322,-10.090,-11.823,-17.026,-7.623,-12.569,-7.065,-12.212
334320000400262799,BOSQUE_NW_02,bosque,-42.657430,-71.554287,290645.6,5274062.6,entrenamiento,2.28,-0.14,0.015812293,0.00787494,1.1618276,9.48,0.0,13.128464,DBT_SA,hoja_caida,1,0.76404,0.45388,0.18264,0.46286,-15.202,-9.322,-11.754,-16.366,-7.516,-12.669,-7.051,-11.628
334320000400262858,BOSQUE_NW_02,bosque,-42.674468,-71.520394,293480.1,5272254.0,entrenamiento,16.91,10.7,3.0613337,0.7830971,2.8113256,17.42,66.54872,13.09305,DBT_SA,hoja_caida,1,0.64098,0.39465,0.16534,0.36799,-16.004,-10.795,-11.912,-17.005,-8.089,-13.436,-7.134,-11.590
334320000400262859,BOSQUE_NW_02,bosque,-42.674757,-71.519820,293528.2,5272223.3,entrenamiento,19.64,14.59,3.497079,0.8253821,2.847344,9.35,106.49631,13.092437,DBT_SA,hoja_caida,1,0.88437,0.53249,0.31272,0.59059,-15.619,-10.390,-10.874,-15.976,-6.777,-11.696,-6.399,-10.462
334320000400262866,BOSQUE_NW_02,bosque,-42.676783,-71.515787,293865.3,5272008.1,entrenamiento,24.84,18.29,2.8925807,0.7640784,3.1357567,14.14,173.39348,13.088105,DBT_SA,hoja_caida,1,0.87875,0.51619,0.32201,0.62060,-15.958,-8.831,-10.920,-16.269,-6.115,-11.658,-6.368,-10.640
334320000400262877,BOSQUE_NW_02,bosque,-42.679983,-71.509412,294398.2,5271668.3,entrenamiento,10.06,5.01,1.9611595,0.6246156,2.3359659,8.04,16.005497,13.104545,DBT_SA,hoja_caida,1,0.87160,0.55544,0.30669,0.59799,-16.133,-9.861,-11.987,-16.670,-6.513,-11.569,-6.225,-11.031
334320000400262885,BOSQUE_NW_02,bosque,-42.682284,-71.504861,294778.7,5271423.8,entrenamiento,10.59,6.28,2.3928478,0.6973466,2.246402,15.40,21.004143,13.104759,DBT_SA,hoja_caida,1,0.89525,0.62028,0.37360,0.66765,-16.037,-10.323,-12.158,-16.575,-6.671,-11.603,-6.733,-11.347
334320000400262886,BOSQUE_NW_02,bosque,-42.682573,-71.504289,294826.5,5271393.2,entrenamiento,11.11,1.94,1.3045977,0.47899526,2.4505193,14.22,11.680699,13.100277,DBT_SA,hoja_caida,1,0.84758,0.52168,0.26498,0.56407,-16.096,-9.914,-11.891,-16.719,-6.303,-11.456,-6.916,-11.421
334320000400262908,BOSQUE_NW_02,bosque,-42.688886,-71.491779,295872.2,5270722.4,validacion,14.25,2.13,1.2971005,0.47704056,2.7442594,13.24,21.553598,13.096693,DBT_SA,hoja_caida,1,0.85761,0.50250,0.32380,0.61020,-16.468,-9.030,-11.786,-17.330,-6.066,-11.126,-6.580,-11.143
334320000400262910,BOSQUE_NW_02,bosque,-42.689460,-71.490635,295967.8,5270661.4,validacion,12.98,8.98,3.5452464,0.82951486,2.5159097,5.96,40.134487,13.100857,DBT_SA,hoja_caida,1,0.82022,0.49363,0.27350,0.56507,-15.627,-9.507,-11.461,-16.572,-6.436,-11.611,-6.684,-11.008
