shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV,COB_N3,COB_GRUPO,COB_FRAC,COB_NCLASES,COB_BORDE,COB_FRAC_BOSQUE
332030300400193455,ESTEPA_NW_02,estepa,-42.712545,-71.039862,332958.4,5269088.4,validacion,2.39,-0.07,0.12282118,0.059561443,1.2440224,5.23,,,,,,0.16540,0.08085,-0.25859,-0.21993,-22.480,-14.967,-23.665,-32.511,-18.332,-24.943,-18.955,-28.124,Estepa,estepa,1.0,1,NO,0.0
332030300400193460,ESTEPA_NW_02,estepa,-42.713977,-71.036996,333196.9,5268934.9,entrenamiento,3.85,0.18,0.3578261,0.16380937,1.5360725,6.86,,,,,,0.15457,0.07729,-0.26029,-0.22297,-23.257,-15.218,-24.165,-31.860,-18.695,-25.088,-19.373,-27.741,Estepa,estepa,1.0,1,NO,0.0
332030500400193388,ESTEPA_NW_02,estepa,-42.711297,-71.061601,331174.8,5269183.6,validacion,1.94,-0.18,0.05027062,0.0248217,1.4141548,3.16,,,,,,0.16836,0.08068,-0.26416,-0.22392,,,,,,,,,Estepa,estepa,1.0,1,NO,0.0
332030500400193389,ESTEPA_NW_02,estepa,-42.711584,-71.061028,331222.4,5269153.0,validacion,1.98,-0.22,0.038881544,0.01925281,1.0154983,5.15,,,,,,0.17419,0.08884,-0.23114,-0.19643,,,,,,,,,Estepa,estepa,1.0,1,NO,0.0
332030500400193390,ESTEPA_NW_02,estepa,-42.711869,-71.060457,331270.0,5269122.4,validacion,2.13,-0.37,0.0467817,0.023119103,0.87350476,8.06,,,,,,0.18489,0.09659,-0.20803,-0.16480,-21.766,-14.576,-20.658,-31.454,-17.443,-24.648,-17.452,-26.896,Estepa,estepa,1.0,1,NO,0.0
332030500400193391,ESTEPA_NW_02,estepa,-42.712154,-71.059888,331317.3,5269092.0,validacion,2.5,-0.22,0.048640985,0.024026806,0.9771366,8.05,,,,,,0.19666,0.10299,-0.20474,-0.14688,-20.717,-14.354,-17.267,-30.161,-16.595,-24.483,-16.460,-25.827,Estepa,estepa,1.0,1,NO,0.0
332030500400193392,ESTEPA_NW_02,estepa,-42.712440,-71.059315,331365.0,5269061.3,validacion,2.61,-0.48,0.02358776,0.011724527,0.9508612,10.66,,,,,,0.11662,0.08049,-0.09752,-0.03309,-20.450,-13.963,-16.513,-29.344,-15.289,-22.879,-15.558,-24.453,Estepa,estepa,1.0,1,NO,0.0
332030500400193393,ESTEPA_NW_02,estepa,-42.712724,-71.058747,331412.3,5269030.9,validacion,2.13,-0.11,0.08089685,0.03964041,1.4279795,6.82,,,,,,0.40260,0.25434,-0.04327,0.13648,-20.468,-13.573,-16.992,-28.684,-14.451,-22.505,-15.058,-23.248,Estepa,estepa,1.0,1,NO,0.0
332030500400193394,ESTEPA_NW_02,estepa,-42.713012,-71.058170,331460.3,5269000.0,validacion,4.82,0.11,0.26464948,0.123934545,2.0509744,14.36,,,,,,0.23158,0.12173,-0.18852,-0.07416,-20.155,-13.400,-20.763,-28.415,-13.929,-22.664,-14.913,-23.079,Estepa,estepa,1.0,1,NO,0.0
332030500400193395,ESTEPA_NW_02,estepa,-42.713302,-71.057589,331508.7,5268969.0,validacion,4.0,0.14,0.2907844,0.13530613,1.7450163,12.23,,,,,,0.19632,0.10154,-0.22213,-0.14235,-20.416,-13.583,-21.401,-28.967,-15.567,-24.058,-15.522,-23.940,Estepa,estepa,1.0,1,NO,0.0
