AOI,COBERTURA_N3,GRUPO,BOSQUE_BAP,SUP_HA,PCT_AOI,N_HUELLAS,N_CON_AGBD,RETENCION_L4A_PCT,RH95_MEDIANA,COVER_MEDIANA,AGBD_MEDIA,AGBD_MEDIANA,AGBD_EE,STOCK_Mg
BOSQUE_NW_02,Arbustal Nativo,arbustonat,NO,653.0159,2.902293,10,5,50.0,3.63,0.061,30.88,15.0,14.84,20164
BOSQUE_NW_02,Cipres,cipres,SI,1103.519,4.904529,19,11,57.9,5.99,0.223,44.19,49.4,4.84,48760
BOSQUE_NW_02,Estepa,estepa,NO,828.6318,3.682808,20,17,85.0,2.13,0.036,5.21,0.0,4.12,4320
BOSQUE_NW_02,Lenga,lenga,SI,7429.2179,33.018746,162,126,77.8,19.25,0.8,94.64,89.88,5.82,703110
BOSQUE_NW_02,Lenga Achaparrada,lenga,SI,518.6638,2.305173,15,9,60.0,3.89,0.119,15.3,0.14,7.82,7933
BOSQUE_NW_02,Lenga Baja,lenga,SI,708.9483,3.150881,21,15,71.4,11.75,0.321,57.71,38.95,15.95,40914
BOSQUE_NW_02,Mallin,humedal,NO,271.7143,1.207619,2,1,50.0,16.26,0.661,37.62,37.62,,10223
BOSQUE_NW_02,Matorral Mixto,matorral,SI,223.3378,0.992612,3,2,66.7,3.96,0.099,27.99,27.99,8.06,6250
BOSQUE_NW_02,Ñire,nire,SI,2602.2848,11.56571,114,84,73.7,4.54,0.115,24.33,19.85,3.22,63316
BOSQUE_NW_02,Ñire Bajo,nire,SI,7838.5659,34.83807,324,225,69.4,3.81,0.083,9.94,2.38,1.57,77915
ESTEPA_NW_02,Arbustal Nativo,arbustonat,NO,113.65,0.505111,7,7,100.0,5.26,0.236,16.33,12.11,4.93,1856
ESTEPA_NW_02,Erial,estepa,NO,612.0932,2.720414,25,8,32.0,2.24,0.015,4.9,3.02,1.66,3002
ESTEPA_NW_02,Estepa,estepa,NO,19044.5397,84.642399,2626,874,33.3,2.54,0.035,5.51,2.84,0.26,104891
ESTEPA_NW_02,Forestacion,exotico,NO,252.324,1.12144,26,13,50.0,6.37,0.232,38.62,25.77,4.78,9744
ESTEPA_NW_02,Infraestructura,infra,NO,79.8256,0.354781,3,0,0.0,2.2,0.031,,,,
ESTEPA_NW_02,Lenga,lenga,SI,460.1112,2.044939,94,63,67.0,6.86,0.232,45.44,21.78,5.58,20906
ESTEPA_NW_02,Lenga Achaparrada,lenga,SI,137.0194,0.608975,8,4,50.0,5.21,0.154,21.57,21.07,6.9,2956
ESTEPA_NW_02,Lenga Baja,lenga,SI,291.0288,1.293461,13,2,15.4,7.26,0.338,23.45,23.45,3.29,6825
ESTEPA_NW_02,Lenga Marginal,lenga,SI,25.3547,0.112688,3,3,100.0,10.23,0.066,39.98,49.74,16.95,1014
ESTEPA_NW_02,Lenga-Ñire,lenga,SI,37.7076,0.167589,2,2,100.0,4.2,0.02,7.99,7.99,2.21,301
ESTEPA_NW_02,Mallin,humedal,NO,528.9294,2.350797,136,80,58.8,2.37,0.033,3.08,1.94,0.42,1628
ESTEPA_NW_02,Matorral Mixto,matorral,SI,13.8761,0.061671,3,2,66.7,2.2,0.008,1.69,1.69,0.25,23
ESTEPA_NW_02,Ñire,nire,SI,250.3388,1.112617,45,30,66.7,4.68,0.153,14.26,11.48,2.16,3569
ESTEPA_NW_02,Ñire Bajo,nire,SI,537.2818,2.387919,85,35,41.2,4.03,0.085,10.54,6.78,1.77,5665
ESTEPA_NW_02,Ñire-Lenga,nire,SI,20.4954,0.091091,7,6,85.7,4.07,0.02,8.48,6.8,3.01,174
