aoi,clase,hectareas,huellas,perdida_Mg_ha,biomasa_perdida_Mg,incertidumbre_Mg,s_total_Mg_ha
BOSQUE_NW_02,Regeneración baja,257.0,5,-15.03,-3862,3138,27.31
BOSQUE_NW_02,Sin cambio,4170.5,87,-10.25,-42742,12397,27.73
BOSQUE_NW_02,Severidad baja,1842.7,50,11.50,21195,5780,22.18
BOSQUE_NW_02,Severidad moderada-baja,2825.5,39,15.54,43898,9849,21.77
BOSQUE_NW_02,Severidad moderada-alta,3672.0,106,12.81,47021,7533,21.12
BOSQUE_NW_02,Severidad alta,9668.2,388,15.21,147039,11563,23.56
ESTEPA_NW_02,Regeneración baja,377.2,30,-0.05,-18,634,9.20
ESTEPA_NW_02,Sin cambio,21583.8,2946,1.00,21537,2628,6.61
ESTEPA_NW_02,Severidad baja,397.0,57,3.73,1482,422,8.04
ESTEPA_NW_02,Severidad moderada-baja,15.5,3,3.95,61,69,7.66
