aoi,juego,n_variables,s1_altura_m,n_sin_cambio,h_pre_mediana_m,h_post_mediana_m,delta_h_mediana_m,piso_Mg_ha,senal_quemado_Mg_ha,razon_senal_piso
BOSQUE_NW_02,OPTICO,4,4.345,87,10.542,11.991,2.038,-8.482,11.094,1.308
BOSQUE_NW_02,OPTICO sin EVI,3,4.361,87,10.314,11.224,1.223,-4.818,11.078,2.300
BOSQUE_NW_02,SAR,4,5.135,87,11.714,10.346,-0.438,2.345,-17.336,7.393
BOSQUE_NW_02,RFDI C y L,2,6.272,87,8.995,8.059,-0.814,2.657,-0.605,0.228
BOSQUE_NW_02,Span C y L,2,4.958,87,11.109,11.022,0.033,-0.133,-8.466,63.766
BOSQUE_NW_02,RFDI + Span,4,5.120,87,11.751,10.517,-0.410,2.311,-16.627,7.194
BOSQUE_NW_02,OPTICO+SAR,8,4.317,87,12.389,13.446,1.485,-5.011,7.664,1.529
BOSQUE_NW_02,sin EVI + SAR,7,4.307,87,12.171,11.900,0.184,-0.475,7.240,15.250
ESTEPA_NW_02,OPTICO,4,1.348,2946,2.754,2.754,0.010,-0.023,4.653,202.764
ESTEPA_NW_02,OPTICO sin EVI,3,1.342,2946,2.748,2.779,0.045,-0.097,4.464,46.027
ESTEPA_NW_02,SAR,4,1.301,2946,2.782,2.542,-0.228,0.508,0.917,1.805
ESTEPA_NW_02,RFDI C y L,2,1.613,2946,3.105,2.769,-0.344,0.730,1.129,1.547
ESTEPA_NW_02,Span C y L,2,1.353,2946,2.909,2.809,-0.085,0.189,0.266,1.405
ESTEPA_NW_02,RFDI + Span,4,1.308,2946,2.782,2.570,-0.209,0.460,0.849,1.844
ESTEPA_NW_02,OPTICO+SAR,8,1.311,2946,2.730,2.487,-0.286,0.575,3.395,5.904
ESTEPA_NW_02,sin EVI + SAR,7,1.287,2946,2.727,2.581,-0.157,0.340,2.924,8.612
