AOI,ESCENARIO,COBERTURA_N3,N,AGBD_MEDIA,AGBD_MEDIANA,PCT_AOI
BOSQUE_NW_02,A. solo hoja presente,Ñire Bajo,135,11.81,3.27,34.83807
BOSQUE_NW_02,A. solo hoja presente,Ñire,68,28.57,20.59,11.56571
BOSQUE_NW_02,A. solo hoja presente,Lenga,33,91.33,90.07,33.018746
BOSQUE_NW_02,A. solo hoja presente,Cipres,11,44.19,49.4,4.904529
BOSQUE_NW_02,A. solo hoja presente,Lenga Baja,8,89.0,94.62,3.150881
BOSQUE_NW_02,A. solo hoja presente,Estepa,7,2.54,2.16,3.682808
BOSQUE_NW_02,A. solo hoja presente,Lenga Achaparrada,4,26.48,23.6,2.305173
BOSQUE_NW_02,A. solo hoja presente,Arbustal Nativo,3,28.54,15.0,2.902293
BOSQUE_NW_02,A. solo hoja presente,Matorral Mixto,2,27.99,27.99,0.992612
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Ñire Bajo,225,9.94,2.38,34.83807
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Lenga,126,94.64,89.88,33.018746
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Ñire,84,24.33,19.85,11.56571
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Estepa,17,5.21,0.0,3.682808
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Lenga Baja,15,57.71,38.95,3.150881
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Cipres,11,44.19,49.4,4.904529
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Lenga Achaparrada,9,15.3,0.14,2.305173
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Arbustal Nativo,5,30.88,15.0,2.902293
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Matorral Mixto,2,27.99,27.99,0.992612
BOSQUE_NW_02,"B. + hoja caida, AGBD de la NASA",Mallin,1,37.62,37.62,1.207619
BOSQUE_NW_02,C. B + Nothofagus solo DBT_SA,Ñire Bajo,151,6.62,0.26,34.83807
BOSQUE_NW_02,C. B + Nothofagus solo DBT_SA,Lenga,125,95.26,89.91,33.018746
