comparacion,objetivo,unidad,modelo,n_entrena,n_valida,R2_entrena_lineal,R2_valida_lineal,RMSE_valida_lineal,R2_entrena_RF,R2_valida_RF,RMSE_valida_RF
los dos sitios juntos,rh95,m,optico,3018,695,0.4108,0.4643,2.371,0.7780,0.6049,2.036
los dos sitios juntos,rh95,m,SAR,3018,695,0.4085,0.3459,2.620,0.8522,0.6007,2.047
los dos sitios juntos,rh95,m,optico+SAR,3018,695,0.4399,0.4366,2.432,0.8723,0.6350,1.957
los dos sitios juntos,rh95,m,optico+SAR+LiDAR,3018,695,0.8797,0.8320,1.328,0.9905,0.9644,0.611
los dos sitios juntos,rh95,m,solo LiDAR (control),3018,695,0.8704,0.8209,1.371,0.9862,0.9561,0.679
solo bosque,rh95,m,optico,560,115,0.2801,0.4837,4.345,0.7115,0.5454,4.077
solo bosque,rh95,m,SAR,560,115,0.4756,0.4289,4.570,0.8256,0.5325,4.134
solo bosque,rh95,m,optico+SAR,560,115,0.5156,0.5521,4.047,0.8468,0.5935,3.855
solo bosque,rh95,m,optico+SAR+LiDAR,560,115,0.9082,0.8509,2.335,0.9905,0.9772,0.913
solo bosque,rh95,m,solo LiDAR (control),560,115,0.8988,0.8510,2.334,0.9884,0.9772,0.913
solo estepa,rh95,m,optico,2458,580,0.3652,0.3950,1.348,0.6556,0.3521,1.395
solo estepa,rh95,m,SAR,2458,580,0.4070,0.4481,1.288,0.7464,0.3895,1.354
solo estepa,rh95,m,optico+SAR,2458,580,0.4294,0.4529,1.282,0.7619,0.4492,1.287
solo estepa,rh95,m,optico+SAR+LiDAR,2458,580,0.8574,0.7637,0.843,0.9761,0.9099,0.520
solo estepa,rh95,m,solo LiDAR (control),2458,580,0.8138,0.6866,0.970,0.9595,0.8790,0.603
entrena bosque -> valida estepa,rh95,m,optico,675,3038,0.3155,-17.0252,8.155,0.7262,0.2710,1.640
entrena bosque -> valida estepa,rh95,m,SAR,675,3038,0.4776,-110.9225,20.321,0.8266,0.0844,1.838
entrena bosque -> valida estepa,rh95,m,optico+SAR,675,3038,0.5275,-89.4270,18.266,0.8492,0.2503,1.663
entrena bosque -> valida estepa,rh95,m,optico+SAR+LiDAR,675,3038,0.9033,-4.1721,4.368,0.9909,0.9120,0.570
entrena bosque -> valida estepa,rh95,m,solo LiDAR (control),675,3038,0.8944,-0.0667,1.984,0.9887,0.8815,0.661
entrena estepa -> valida bosque,rh95,m,optico,3038,675,0.3713,0.0884,6.769,0.6606,0.2071,6.313
entrena estepa -> valida bosque,rh95,m,SAR,3038,675,0.4152,0.0434,6.934,0.7490,0.0963,6.740
entrena estepa -> valida bosque,rh95,m,optico+SAR,3038,675,0.4354,0.0701,6.837,0.7646,0.1496,6.538
entrena estepa -> valida bosque,rh95,m,optico+SAR+LiDAR,3038,675,0.8444,0.7339,3.657,0.9739,0.8839,2.415
entrena estepa -> valida bosque,rh95,m,solo LiDAR (control),3038,675,0.7952,0.7308,3.678,0.9544,0.8870,2.383
