comparacion,objetivo,unidad,modelo,n_entrena,n_valida,R2_entrena_lineal,R2_valida_lineal,RMSE_valida_lineal,R2_entrena_RF,R2_valida_RF,RMSE_valida_RF
los dos sitios juntos,agbd_Mg_ha,Mg/ha,optico,1273,326,0.3030,0.3013,22.763,0.7410,0.4111,20.898
los dos sitios juntos,agbd_Mg_ha,Mg/ha,SAR,1273,326,0.2729,0.1542,25.044,0.7735,0.3813,21.420
los dos sitios juntos,agbd_Mg_ha,Mg/ha,optico+SAR,1273,326,0.3391,0.2865,23.002,0.8148,0.3330,22.240
los dos sitios juntos,agbd_Mg_ha,Mg/ha,optico+SAR+LiDAR,1273,326,0.9255,0.8862,9.185,0.9653,0.8987,8.666
los dos sitios juntos,agbd_Mg_ha,Mg/ha,solo LiDAR (control),1273,326,0.9220,0.8728,9.712,0.9542,0.8580,10.263
solo bosque,agbd_Mg_ha,Mg/ha,optico,397,87,0.2545,0.3612,37.286,0.6985,0.3056,38.877
solo bosque,agbd_Mg_ha,Mg/ha,SAR,397,87,0.3073,0.2147,41.343,0.7445,0.2751,39.720
solo bosque,agbd_Mg_ha,Mg/ha,optico+SAR,397,87,0.3685,0.3447,37.764,0.7942,0.2038,41.629
solo bosque,agbd_Mg_ha,Mg/ha,optico+SAR+LiDAR,397,87,0.9445,0.9210,13.116,0.9617,0.9010,14.680
solo bosque,agbd_Mg_ha,Mg/ha,solo LiDAR (control),397,87,0.9245,0.9115,13.879,0.9521,0.8982,14.883
solo estepa,agbd_Mg_ha,Mg/ha,optico,876,239,0.3230,0.2902,9.564,0.6325,0.3018,9.485
solo estepa,agbd_Mg_ha,Mg/ha,SAR,876,239,0.3023,0.3891,8.872,0.6636,0.3848,8.903
solo estepa,agbd_Mg_ha,Mg/ha,optico+SAR,876,239,0.3499,0.3692,9.015,0.7092,0.4360,8.525
solo estepa,agbd_Mg_ha,Mg/ha,optico+SAR+LiDAR,876,239,0.9691,0.8647,4.175,0.9849,0.8562,4.305
solo estepa,agbd_Mg_ha,Mg/ha,solo LiDAR (control),876,239,0.9678,0.8751,4.012,0.9849,0.8575,4.285
entrena bosque -> valida estepa,agbd_Mg_ha,Mg/ha,optico,484,1115,0.2765,-9.3794,52.444,0.7039,0.3401,13.223
entrena bosque -> valida estepa,agbd_Mg_ha,Mg/ha,SAR,484,1115,0.3075,-66.6299,133.868,0.7410,0.2833,13.781
entrena bosque -> valida estepa,agbd_Mg_ha,Mg/ha,optico+SAR,484,1115,0.3763,-37.6498,101.200,0.7922,0.4027,12.581
entrena bosque -> valida estepa,agbd_Mg_ha,Mg/ha,optico+SAR+LiDAR,484,1115,0.9428,-2.5537,30.687,0.9626,0.7440,8.237
entrena bosque -> valida estepa,agbd_Mg_ha,Mg/ha,solo LiDAR (control),484,1115,0.9239,0.6917,9.039,0.9526,0.7159,8.676
entrena estepa -> valida bosque,agbd_Mg_ha,Mg/ha,optico,1115,484,0.3212,0.1065,51.159,0.6289,0.3117,44.901
entrena estepa -> valida bosque,agbd_Mg_ha,Mg/ha,SAR,1115,484,0.3129,0.0641,52.358,0.6728,0.1866,48.811
entrena estepa -> valida bosque,agbd_Mg_ha,Mg/ha,optico+SAR,1115,484,0.3546,0.1064,51.162,0.7168,0.3312,44.261
entrena estepa -> valida bosque,agbd_Mg_ha,Mg/ha,optico+SAR+LiDAR,1115,484,0.9619,0.7675,26.098,0.9790,0.6879,30.235
entrena estepa -> valida bosque,agbd_Mg_ha,Mg/ha,solo LiDAR (control),1115,484,0.9592,0.7731,25.778,0.9775,0.6923,30.022
